Rango,Barrio,Renta_anual,Hombre,Mujer
36,San Francisco,12.892,75.04,84.25
34,Bilbao la Vieja,13.846,75.04,84.25
37,Otxarkoaga,11.172,75.74,86.22
5,Casco Viejo,22.83,76.15,87.82
3,Casta–os,28.702,77.98,86.45
24,Atxuri,15.761,78.25,84.39
27,Zorrotza,14.788,78.45,87.26
26,Olabeaga,15.413,78.45,87.26
28,Larraskitu,14.756,78.47,86.33
25,Errekaldeberri,15.708,78.47,86.33
29,La Pe–a,14.525,78.68,85.22
13,Txurdinaga,18.378,79.05,83.59
18,Zurbaran,17.865,79.14,87.09
4,Miribilla,24.71,79.17,84.68
14,San Ignacio,18.143,79.22,87.17
11,Ibarrekolanda,20.19,79.48,85.94
20,San Adri‡n,17.247,79.61,86.56
7,Basurtu,22.38,79.74,85.71
9,Bego–a,21.829,79.89,89.18
22,Uribarri,16.072,80.15,95.5
30,Bolueta,14.26,80.2,89.29
23,La Ribera,15.84,80.21,87.5
6,San Pedro de Deustu,22.799,80.21,87.5
1,Abando,34.844,80.24,86.39
19,Solokoetxe,17.581,80.63,87.18
12,Iturralde,18.51,80.63,87.18
21,Santutxu,16.113,80.83,86.27
16,Matiko,18.083,81.07,87.51
8,Ciudad Jard’n,22.139,81.07,87.51
10,Ametzola,20.979,81.26,87.34
2,Indautxu,33.958,81.44,87.27
