id,entrevista,sexo,codigo,codigo.corto,texto
4612303,Jannik Sinner,M,agradecimientos personales,personal,thanks it’s always to my team because they they always try to help me and so it’s all part of the process
4612357,Nick Kyrgios,M,agradecimientos personales,personal,i’m doing it for my team as well you know we’re we’re we’ve all been away from home now for a while
4612377,Novak Djokovic,M,agradecimientos personales,personal,i love her she’s my great support well
4612238,Bianca Andreescu,F,Gratitud hacia el público,publico,this kind of stage in front of all of you it’s it’s an honor
4612251,Casper Ruud,M,Gratitud hacia el público,publico,I’m so happy to get a win on this special Court in front of an amazing crowd I think everyone were I know I was playing in American but they were very fair and a very nice crowd so thanks for the the support
4612287,Iga Swiatek,F,Gratitud hacia el público,publico,it’s so fun to play with you know almost full stadium i really love it so the atmosphere is great
4612293,Iga Swiatek,F,Gratitud hacia el público,publico,i’m pretty happy that that people like my game and they want to come because i always wanted to attract more people in tennis
4612298,Jannik Sinner,M,Gratitud hacia el público,publico,thanks everyone for staying so long it’s a very it’s uh i knew that i play against um an american today but it was very very nice to have you because it’s a very very fair atmosphere so thank you so much
4612353,Nick Kyrgios,M,Gratitud hacia el público,publico,yeah amazing thank you for hanging around i know it’s late
4612367,Nick Kyrgios,M,Gratitud hacia el público,publico,i just appreciate what she’s done i’m sure everyone in this building uh does as well
4612369,Novak Djokovic,M,Gratitud hacia el público,publico,thank you so much appreciate your your contribution to this match
4612390,Ons Jabeur,F,Gratitud hacia el público,publico,the crowd is always here to cheer for me so it’s unbelievable small or because they’re always here so thank you guys
4612396,Rafael Nadal,M,Gratitud hacia el público,publico,sessions here in new york are the best in the world without a doubt now so play play here is amazing of you so thank you for very much
4612207,Ajla Tomljanović,F,reconocimiento al rival,rival,i love sereno just as much as you guys do and what she’s done for me for the sport of tennis is incredible and i never thought that i’d have a chance to play her in in her last match when i remember watching her as a kid in all those finals so this is a surreal moment for me
4612227,Ajla Tomljanović,F,reconocimiento al rival,rival,that’s just who she is and she’s the greatest of all time period she threw everything at you even down 5-1
4612231,Ajla Tomljanović,F,reconocimiento al rival,rival,i think she’s embodies that no dream is too big and doesn’t matter where you come from
4612221,Ajla Tomljanović,F,reconocimiento al rival,rival,i will definitely miss seeing her on the courts it will not be the same
4612245,Bianca Andreescu,F,reconocimiento al rival,rival,she played like she was top 10 and i’m sure she’s going to get there she’s an incredible player
4612285,Iga Swiatek,F,reconocimiento al rival,rival,she played pretty smart
4612295,Jannik Sinner,M,reconocimiento al rival,rival,it was a very very tough match against him for me was the first time that we play against so i didn’t know exactly what to expect but i knew that i had to play very very well and i raised my level
4612304,Jessica Pegula,F,reconocimiento al rival,rival,after second serve but I could tell she was maybe a little bit tired um you know she’s played a lot of matches the last couple weeks
4612305,Jessica Pegula,F,reconocimiento al rival,rival,I played her last two years ago I think um so gonna be tough
4612359,Nick Kyrgios,M,reconocimiento al rival,rival,i know you appreciate what she’s done for the sport what you were trying to do in your own unique way
4612360,Nick Kyrgios,M,reconocimiento al rival,rival,nadal serena federer novak these these are once in generation athletes and i wouldn’t even put myself in the same category
4612367,Nick Kyrgios,M,reconocimiento al rival,rival,i just appreciate what she’s done i’m sure everyone in this building uh does as well
4612370,Novak Djokovic,M,reconocimiento al rival,rival,big credit to 2k who played on a very very high level today tough luck for him
4612371,Novak Djokovic,M,reconocimiento al rival,rival,i always knew that he he possesses a lot of quality he’s been on the tour for quite a few years but uh i must say that he he did surprise me um with his level today he was he was playing very quick it was it was uh it was tough you know even though i won
4612372,Novak Djokovic,M,reconocimiento al rival,rival,all the sets were quite close a few points decided really a winner today so you know a huge congratulations for the great fight to him
4612374,Novak Djokovic,M,reconocimiento al rival,rival,he was dictating the play i was still trying to find find the rhythm find the tempo obviously he played much quicker and more aggressive than than my opponents in the opening rounds
4612379,Novak Djokovic,M,reconocimiento al rival,rival,i think he’s a very intelligent player he uses the court very well
4612382,Novak Djokovic,M,reconocimiento al rival,rival,is one of the best players in the world this year
4612383,Ons Jabeur,F,reconocimiento al rival,rival,shelby plays really well
4612399,Rafael Nadal,M,reconocimiento al rival,rival,i wish him all the very best
4612403,Rafael Nadal,M,reconocimiento al rival,rival,he’s a great player no he’s very charismatic uh very fast he can play very aggressive
4612220,Ajla Tomljanović,F,Reflexión sobre el esfuerzo,esfuerzo,you can do anything if you believe in yourself you love what you do and you have an incredible support system and family around you
4612234,Bianca Andreescu,F,Reflexión sobre el esfuerzo,esfuerzo,i’m very happy with my performance today it hasn’t been an easy last couple months and for me to perform like this
4612249,Casper Ruud,M,Reflexión sobre el esfuerzo,esfuerzo,very tough match like everyone saw
4612275,Casper Ruud,M,Reflexión sobre el esfuerzo,esfuerzo,I played some of my best tennis this year and the best tennis I played this tournament and very happy that uh everything went my way in the fifth set
4612278,Casper Ruud,M,Reflexión sobre el esfuerzo,esfuerzo,it’s not every day that you surpass four hours on court playing the match so but that’s what we trained for
4612301,Jannik Sinner,M,Reflexión sobre el esfuerzo,esfuerzo,you have to stay positive we we work very hard also in the practice sessions with with this kind of uh um yeah emotions
4612376,Novak Djokovic,M,Reflexión sobre el esfuerzo,esfuerzo,i was determined i was concentrated and that’s what matters in the end
4612385,Ons Jabeur,F,Reflexión sobre el esfuerzo,esfuerzo,i’m very happy that i kept fighting and went till the end
4612411,Rafael Nadal,M,Reflexión sobre el esfuerzo,esfuerzo,i need to to keep improving to keep playing better and better to to have chances to to go through
4612413,Rafael Nadal,M,Reflexión sobre el esfuerzo,esfuerzo,i have a day to keep practicing uh hopefully a victory like today helps me to to grow in the level of tennis level of confidence
