State,IQ,%whites,PIB,Health,Effect,Crime
Alabama,95.7,9.5,0.028,-11.9,1.3,0.4
Alaska,99,6.1,0.047,-0.8,3.3,0.6
Arizona,97.4,11,0.032,-1.1,4.3,0.5
Arkansas,97.5,6.8,0.027,-14.3,3,0.5
California,95.5,10.6,0.04,4.9,2.7,0.6
Colorado,101.6,6.2,0.041,12.5,4,0.4
Connecticut,103.1,7.4,0.049,15.6,3,0.3
Delaware,100.4,11.8,0.059,-2.3,6.7,0.6
Florida,98.4,12.2,0.032,-9.9,4.7,0.7
Georgia,98,8,0.036,-9.5,5,0.5
Hawaii,95.6,2.5,0.036,15.1,2.7,0.3
Idaho,101.4,2,0.029,8.6,4.3,0.2
Illinois,99.9,8.1,0.039,0.3,5,0.6
Indiana,101.7,2.2,0.034,0.5,4.3,0.3
Iowa,103.2,2.4,0.034,14.5,6.3,0.3
Kansas,102.8,4.4,0.033,7.2,5.7,0.4
Kentucky,99.4,1.7,0.03,-7.8,6.7,0.3
Louisiana,95.3,13.7,0.031,-20.5,5.3,0.6
Maine,103.4,0,0.03,14.3,4.3,0.1
Maryland,99.7,8.7,0.037,-0.9,6.3,0.7
Massachusetts,104.3,5.8,0.046,16.9,4.3,0.5
Michigan,100.5,4.7,0.035,0.8,7.3,0.5
Minnesota,103.7,5.2,0.04,23.3,6.3,0.3
Mississippi,94.2,13.4,0.024,-20.7,4,0.3
Missouri,101,4.5,0.033,-3.3,7,0.5
Montana,103.4,3.3,0.026,4,4.3,0.3
Nebraska,102.3,4.3,0.036,11.2,5.7,0.3
Nevada,96.5,8.5,0.039,-5.5,4,0.6
New Hampshire,104.2,0.4,0.037,22.2,3.3,0.2
New Jersey,102.8,5.7,0.044,9,5,0.4
New Mexico,95.7,9.5,0.029,-7.5,3.3,0.7
New York,100.7,7.1,0.043,-0.4,3.7,0.5
North Carolina,100.2,9.2,0.036,-5.6,5.3,0.5
North Dakota,103.8,2.4,0.032,14.5,5,0.1
Ohio,101.8,3.3,0.034,1.8,6,0.3
Oklahoma,99.3,9.2,0.028,-11.2,3.3,0.5
Oregon,101.2,3.1,0.033,7.9,4.3,0.3
Pennsylvania,101.5,5.8,0.035,3.2,6.3,0.4
Rhode Island,99.5,7.6,0.035,11.6,3,0.3
South Carolina,98.4,11.3,0.03,-15.3,6.3,0.8
South Dakota,102.8,1.5,0.034,8.9,4.7,0.2
Tennessee,97.7,6.8,0.033,-13.8,4.7,0.7
Texas,100,10.4,0.036,-4.6,6,0.6
Utah,101.1,0.5,0.032,18.2,8,0.2
Vermont,103.8,0.2,0.032,19.8,5.3,0.1
Virginia,101.9,6.5,0.04,6.8,7.7,0.3
Washington,101.9,4.5,0.039,11.5,7.7,0.3
West Virginia,98.7,0.1,0.025,-10.1,3.7,0.3
Wisconsin,102.9,6.6,0.035,12.7,5.3,0.2
Wyoming,102.4,1,0.041,4.3,3,0.3
