Anurans/Urodela;Species;Synonyms;Family;"Invasive Species (Yes/No)";"Species living out of Europe";References;"Number of publications used";"% of missing values"
A;"Alytes cisternasii ";-;Discoglossidae;No;No;"1, 2, 3, 4, 5, 6, 7";7;11.46
A;"Alytes dickhilleni";-;Discoglossidae;No;No;"4, 8";2;26.09
A;"Alytes muletensis";-;Discoglossidae;No;No;"4, 7, 9";3;21.34
A;"Alytes obstetricans";-;Discoglossidae;No;No;"2, 3, 5, 6, 10, 11, 12, 13, 14, 15, 16, 17";12;5.14
A;"Anaxyrus americanus";"Bufo americanus";Bufonidae;Yes;Yes;"7, 137, 228, 229";4;13.83
U;"Atylodes genei";-;Plethodontidae;No;No;"4, 138, 139, 140, 141, 142";6;22.53
A;"Bombina bombina";-;Bombinatoridae;No;Yes;"4, 6, 18, 19, 20, 21";6;3.56
A;"Bombina pachypus";-;Bombinatoridae;No;No;"6, 19";2;50.59
A;"Bombina variegata";-;Bombinatoridae;No;No;"4, 11, 13, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33";16;7.11
A;"Bufo bufo";-;Bufonidae;No;Yes;"4, 5, 6, 11, 13, 14, 15, 19, 26, 30, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 48, 49, 50";24;1.98
A;"Bufo mauritanicus";-;Bufonidae;No;Yes;"12, 48";2;30.83
U;"Calotriton arnoldi";-;Salamandridae;No;No;"139, 142, 143";3;54.15
U;"Calotriton asper";"Euproctus asper";Salamandridae;No;No;"4, 11, 13, 139, 140, 141, 144, 145, 146, 147, 148, 149, 150, 151";14;7.91
U;"Chioglossa lusitanica";-;Salamandridae;No;No;"4, 139, 140, 141, 152, 156, 157, 158";8;10.28
A;"Discoglossus galganoi";"Discoglossus hispanicus";Discoglossidae;No;No;"4, 7, 49";3;15.81
A;"Discoglossus jeanneae";-;Discoglossidae;No;No;"4, 50, 51";3;24.11
A;"Discoglossus montalentii";-;Discoglossidae;No;No;"11, 52";2;22.92
A;"Discoglossus pictus";-;Discoglossidae;No;Yes;"4, 6, 11, 53, 54, 55";6;13.44
A;"Discoglossus sardus";-;Discoglossidae;No;No;"4, 11, 52, 56, 57";5;18.97
A;"Epidalea calamita";"Bufo calamita";Bufonidae;No;Yes;"4, 11, 13, 15, 25, 26, 56, 58, 59, 60, 61, 62, 63, 66";14;1.19
U;"Euproctus montanus";-;Salamandridae;No;No;"4, 7, 139, 141, 157";5;17.79
U;"Euproctus platycephalus";-;Salamandridae;No;No;"4, 139, 141, 157, 158";5;13.44
