Continent,Disturbance,Order,Family,Scientific name ,Common name ,FID
Australia,Motorized vehicle,Anseriformes,Anatidae,Anas castanea,chestnut teal,65.1
Australia,Pedestrian,Anseriformes,Anatidae,Anas castanea,chestnut teal,80.1
Australia,Bicycle,Anseriformes,Anatidae,Anas castanea,chestnut teal,69.0
Australia,Motorized vehicle,Anseriformes,Anatidae,Anas castanea,chestnut teal,63.1
Australia,Motorized vehicle,Anseriformes,Anatidae,Anas castanea,chestnut teal,53.5
Australia,Pedestrian,Anseriformes,Anatidae,Anas castanea,chestnut teal,76.9
Australia,Pedestrian,Anseriformes,Anatidae,Anas castanea,chestnut teal,85.4
Australia,Non-motorized watercraft,Anseriformes,Anatidae,Anas gracilis,grey teal ,24.7
Australia,Pedestrian,Anseriformes,Anatidae,Anas gracilis,grey teal ,78
Australia,Motorized vehicle,Anseriformes,Anatidae,Anas gracilis,grey teal,61.6
Australia,Pedestrian,Anseriformes,Anatidae,Anas gracilis,grey teal,82.8
Australia,Bicycle,Anseriformes,Anatidae,Anas gracilis ,grey teal,74.3
Australia,Motorized vehicle,Anseriformes,Anatidae,Anas gracilis ,grey teal,82.0
Australia,Motorized vehicle,Anseriformes,Anatidae,Anas gracilis ,grey teal,68.3
Australia,Pedestrian,Anseriformes,Anatidae,Anas gracilis ,grey teal,82.5
Australia,Non-motorized watercraft,Anseriformes,Anatidae,Anas superciliosa,Pacific black duck ,72
Australia,Pedestrian,Anseriformes,Anatidae,Anas superciliosa,Pacific black duck ,107.5
Australia,Motorized vehicle,Anseriformes,Anatidae,Anas superciliosa,Pacific black duck,72.0
Australia,Pedestrian,Anseriformes,Anatidae,Anas superciliosa,Pacific black duck,89.1
Australia,Bicycle,Anseriformes,Anatidae,Anas superciliosa ,Pacific black duck,40.3
Australia,Motorized vehicle,Anseriformes,Anatidae,Anas superciliosa ,Pacific black duck,50.4
Australia,Motorized vehicle,Anseriformes,Anatidae,Anas superciliosa ,Pacific black duck,52.0
Australia,Pedestrian,Anseriformes,Anatidae,Anas superciliosa ,Pacific black duck,97.9
Australia,Pedestrian,Anseriformes,Anatidae,Anas superciliosa ,Pacific black duck,46.0
Australia,Motorized vehicle,Anseriformes,Anatidae,Aythya australis,hardhead,64.6
Australia,Pedestrian,Anseriformes,Anatidae,Aythya australis,hardhead,87.2
Australia,Motorized vehicle,Anseriformes,Anatidae,Aythya australis ,hardhead  ,60.6
Australia,Pedestrian,Anseriformes,Anatidae,Aythya australis ,hardhead  ,88.4
Australia,Pedestrian,Anseriformes,Anatidae,Aythya australis ,hardhead  ,41.0
Australia,Motorized vehicle,Anseriformes,Anatidae,Biziura lobata,musk duck,34.1
Australia,Pedestrian,Anseriformes,Anatidae,Biziura lobata,musk duck,69.9
Australia,Bicycle,Anseriformes,Anatidae,Biziura lobata,musk duck,70.4
Australia,Motorized vehicle,Anseriformes,Anatidae,Biziura lobata,musk duck,38.7
Australia,Pedestrian,Anseriformes,Anatidae,Biziura lobata,musk duck,55.6
Australia,Pedestrian,Anseriformes,Anatidae,Cereopsis novaehollandiae,Cape Barren goose,82.6
Australia,Bicycle,Anseriformes,Anatidae,Cereopsis novaehollandiae,Cape Barren goose ,102.0
Australia,Pedestrian,Anseriformes,Anatidae,Cereopsis novaehollandiae,Cape Barren goose ,82.6
Australia,Pedestrian,Anseriformes,Anatidae,Cereopsis novaehollandiae,Cape Barren goose ,105.0
Australia,Pedestrian,Anseriformes,Anatidae,Chenonetta jubata ,Australian wood duck,25.5
Australia,Motorized vehicle,Anseriformes,Anatidae,Cygnus atratus,black swan,66.4
Australia,Pedestrian,Anseriformes,Anatidae,Cygnus atratus,black swan,78.3
Australia,Bicycle,Anseriformes,Anatidae,Cygnus atratus,black swan,59.8
Australia,Motorized vehicle,Anseriformes,Anatidae,Cygnus atratus,black swan,57.0
Australia,Motorized vehicle,Anseriformes,Anatidae,Cygnus atratus,black swan,24.2
Australia,Pedestrian,Anseriformes,Anatidae,Cygnus atratus,black swan,47.9
Australia,Pedestrian,Anseriformes,Anatidae,Cygnus atratus,black swan,97.3
