"","Continent","Disturbance","Order","Family","Scientific.name","Common.name","FID","log.fid"
"1","America-Australia","Motorized vehicle","Anseriformes","Anatidae","Anas castanea","chestnut teal",65.1,1.81358098856819
"2","America-Australia","Pedestrian","Anseriformes","Anatidae","Anas castanea","chestnut teal",80.1,1.90363251608424
"3","America-Australia","Bicycle","Anseriformes","Anatidae","Anas castanea","chestnut teal",69,1.83884909073726
"4","America-Australia","Motorized vehicle","Anseriformes","Anatidae","Anas castanea","chestnut teal",63.1,1.80002935924413
"5","America-Australia","Motorized vehicle","Anseriformes","Anatidae","Anas castanea","chestnut teal",53.5,1.72835378202123
"6","America-Australia","Pedestrian","Anseriformes","Anatidae","Anas castanea","chestnut teal",76.9,1.88592633980143
"7","America-Australia","Pedestrian","Anseriformes","Anatidae","Anas castanea","chestnut teal",85.4,1.93145787068901
"8","America-Australia","Non-motorized watercraft","Anseriformes","Anatidae","Anas gracilis","grey teal ",24.7,1.39269695325967
"9","America-Australia","Pedestrian","Anseriformes","Anatidae","Anas gracilis","grey teal ",78,1.89209460269048
"10","America-Australia","Motorized vehicle","Anseriformes","Anatidae","Anas gracilis","grey teal",61.6,1.78958071216443
"11","America-Australia","Pedestrian","Anseriformes","Anatidae","Anas gracilis","grey teal",82.8,1.91803033678488
"12","America-Australia","Bicycle","Anseriformes","Anatidae","Anas gracilis ","grey teal",74.3,1.87098881376058
"13","America-Australia","Motorized vehicle","Anseriformes","Anatidae","Anas gracilis ","grey teal",82,1.91381385238372
"14","America-Australia","Motorized vehicle","Anseriformes","Anatidae","Anas gracilis ","grey teal",68.3,1.83442070368153
"15","America-Australia","Pedestrian","Anseriformes","Anatidae","Anas gracilis ","grey teal",82.5,1.91645394854993
"16","America-Australia","Non-motorized watercraft","Anseriformes","Anatidae","Anas superciliosa","Pacific black duck ",72,1.85733249643127
"17","America-Australia","Pedestrian","Anseriformes","Anatidae","Anas superciliosa","Pacific black duck ",107.5,2.03140846425162
"18","America-Australia","Motorized vehicle","Anseriformes","Anatidae","Anas superciliosa","Pacific black duck",72,1.85733249643127
"19","America-Australia","Pedestrian","Anseriformes","Anatidae","Anas superciliosa","Pacific black duck",89.1,1.94987770403687
"20","America-Australia","Bicycle","Anseriformes","Anatidae","Anas superciliosa ","Pacific black duck",40.3,1.60530504614111
"21","America-Australia","Motorized vehicle","Anseriformes","Anatidae","Anas superciliosa ","Pacific black duck",50.4,1.70243053644553
"22","America-Australia","Motorized vehicle","Anseriformes","Anatidae","Anas superciliosa ","Pacific black duck",52,1.7160033436348
"23","America-Australia","Pedestrian","Anseriformes","Anatidae","Anas superciliosa ","Pacific black duck",97.9,1.99078269180314
"24","America-Australia","Pedestrian","Anseriformes","Anatidae","Anas superciliosa ","Pacific black duck",46,1.66275783168157
"25","America-Australia","Motorized vehicle","Anseriformes","Anatidae","Aythya australis","hardhead",64.6,1.81023251799508
