"","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15"
"1",5,5,3,5,5,5,5,3,4,5,5,5,3,5,5
"2",5,5,5,5,5,3,5,5,1,4,4,5,4,4,5
"3",2,4,1,2,2,2,4,2,2,4,2,4,0,2,4
"4",5,4,1,2,4,5,4,1,4,5,5,5,1,4,5
"5",5,4,1,4,4,5,4,3,1,5,5,5,3,5,5
"6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7",4,3,3,3,4,3,3,4,2,3,3,2,2,3,4
"8",5,4,3,3,4,5,5,5,5,5,5,5,3,4,5
"9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10",1,2,1,1,1,5,1,1,1,4,1,1,1,1,5
"11",4,4,4,5,5,5,4,4,2,5,4,2,2,1,5
"12",5,5,1,5,5,5,3,1,1,5,5,5,1,5,5
"13",5,4,2,4,5,5,3,3,5,3,4,3,3,3,5
"14",5,4,4,5,4,5,5,5,5,5,5,5,4,4,5
"15",5,4,5,5,5,5,5,5,5,5,4,3,5,5,5
"16",4,4,2,5,5,4,5,1,3,5,4,5,4,5,5
"17",4,4,1,3,4,2,4,1,1,4,4,1,1,4,4
"18",2,1,1,1,1,1,1,1,1,2,2,1,1,1,2
"19",4,2,1,1,1,1,1,1,1,3,2,2,1,2,3
"20",5,2,1,3,4,3,2,3,4,4,4,2,4,4,4
"21",3,1,1,1,1,2,1,1,1,1,1,1,1,2,2
"22",3,2,4,3,4,3,3,4,2,3,3,2,4,2,3
"23",4,5,1,3,4,4,4,1,1,4,3,4,1,3,5
"24",5,5,5,5,5,5,5,5,5,5,5,5,2,5,5
"25",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"26",1,1,1,1,2,2,1,1,1,1,1,1,1,1,3
"27",2,1,1,1,3,3,2,4,1,5,1,1,1,1,4
"28",4,1,1,2,1,2,1,1,1,2,4,1,1,3,4
"29",3,1,1,1,1,5,1,1,5,2,4,1,1,4,5
"30",4,4,2,4,4,4,4,4,4,4,5,4,3,4,5
"31",3,3,3,1,4,1,5,3,1,5,1,1,3,5,5
"32",5,1,3,5,5,5,2,5,4,4,5,2,3,4,5
"33",4,5,1,4,4,4,5,1,4,5,4,5,1,4,4
"34",4,5,2,2,4,3,4,2,1,4,3,3,1,2,3
"35",4,5,1,1,1,1,5,1,1,5,3,3,1,2,4
"36",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"37",5,5,5,4,4,5,2,5,2,5,5,4,5,5,5
"38",4,1,1,2,4,3,1,3,1,3,5,1,1,2,4
"39",2,3,3,2,3,4,2,2,3,4,5,2,3,3,5
"40",2,3,2,2,4,1,3,2,3,2,3,4,2,3,4
"41",5,3,1,4,5,5,3,3,2,5,4,4,1,4,5
"42",1,2,2,1,3,1,1,1,1,4,4,1,2,2,4
"43",5,4,4,4,4,5,4,2,5,5,5,4,3,5,5
"44",2,1,1,1,1,2,2,1,1,1,4,2,1,3,4
"45",4,3,1,5,5,5,4,1,4,5,5,1,1,5,5
"46",2,1,1,1,1,1,1,1,1,3,2,1,1,1,4
"47",4,1,1,4,5,5,1,4,1,1,4,1,2,4,5
"48",5,5,2,4,4,4,5,2,2,2,2,5,1,2,4
"49",3,0,1,2,3,1,2,2,4,2,4,2,1,3,4
"50",5,1,1,3,4,3,1,1,1,3,1,1,1,2,5
"51",5,4,0,3,1,5,2,1,1,1,5,5,1,1,5
"52",4,3,3,4,5,4,3,3,2,4,4,4,2,5,5
"53",3,3,5,2,4,5,3,5,2,4,3,4,4,5,4
"54",2,1,1,2,2,1,1,1,1,4,2,2,1,2,3
"55",3,5,1,3,2,4,4,1,1,1,4,4,1,1,3
"56",4,1,1,1,2,2,1,1,1,3,3,1,1,2,3
"57",1,1,3,2,3,2,1,3,1,3,1,1,1,2,4
"58",4,4,3,2,4,3,1,1,2,3,4,4,1,4,5
"59",3,4,5,4,1,3,1,5,5,1,1,1,2,4,5
"60",3,4,3,2,4,5,2,3,1,4,2,3,3,2,5
"61",4,4,1,1,2,4,2,1,1,1,3,2,2,2,5
"62",2,1,1,1,1,1,1,1,1,1,1,1,1,1,5
"63",5,5,4,4,4,5,4,4,3,4,5,4,4,5,5
"64",5,5,5,5,5,5,5,5,4,5,5,5,5,5,5
"65",5,1,1,3,2,1,4,1,1,2,2,1,1,4,5
"66",1,1,1,1,1,4,1,1,1,2,3,1,1,2,5
"67",3,4,5,3,3,4,2,5,2,5,2,3,4,4,5
"68",4,2,1,1,1,1,4,1,1,1,1,1,1,1,5
"69",3,2,2,4,5,3,4,2,4,4,3,2,2,4,5
"70",5,5,3,5,4,5,4,4,5,4,5,5,3,5,4
"71",5,3,2,3,4,4,2,4,2,5,5,2,4,4,5
"72",4,3,5,1,2,5,4,5,1,2,4,2,3,2,5
"73",2,2,1,2,1,3,3,1,4,2,3,1,1,2,3
"74",4,1,1,3,1,3,1,1,2,5,4,2,1,3,5
"75",1,1,1,1,2,1,1,1,1,1,1,1,1,1,3
"76",1,3,1,1,3,1,1,1,1,1,3,1,1,1,1
"77",3,4,3,4,5,3,4,1,4,5,3,4,1,4,5
"78",5,4,3,4,5,5,4,5,1,5,4,4,1,4,5
"79",5,5,5,5,5,5,5,5,5,5,5,5,0,5,5
"80",5,3,4,3,4,5,3,1,1,1,4,1,3,3,5
"81",4,2,4,1,4,3,2,1,1,2,3,2,2,2,4
"82",3,5,3,5,3,3,5,4,3,4,3,5,2,4,5
"83",3,2,2,1,4,2,2,3,2,2,3,2,2,3,3
"84",4,1,1,2,1,4,1,1,1,2,3,1,1,1,3
"85",4,1,1,2,5,4,2,1,1,5,3,3,3,4,5
"86",2,2,3,2,2,3,2,5,2,3,2,2,3,1,4
"87",4,3,1,4,3,4,2,1,1,5,2,1,1,3,5
"88",2,3,1,2,4,4,3,1,1,4,5,4,2,2,5
"89",1,1,1,1,1,4,3,1,1,2,3,1,1,1,4
"90",4,3,1,2,3,3,2,1,1,4,2,1,1,1,4
"91",4,4,1,1,4,1,1,1,1,4,3,1,1,3,4
"92",1,5,1,4,5,1,1,1,2,5,2,2,1,2,5
"93",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"94",3,3,1,4,2,4,1,2,2,2,2,3,2,2,4
"95",1,1,1,1,1,1,1,1,1,4,1,1,1,1,4
"96",1,2,1,1,2,1,1,1,1,2,1,1,1,1,2
"97",5,4,1,4,3,4,4,1,2,4,4,3,1,3,4
"98",4,3,2,4,4,4,2,2,3,5,3,2,4,4,4
"99",2,2,4,2,2,1,2,4,1,4,2,2,2,2,4
"100",5,4,3,2,1,4,4,3,4,2,4,4,3,4,5
"101",1,1,1,1,4,4,1,1,2,1,3,1,1,1,4
"102",2,4,1,1,1,1,2,1,1,2,2,1,1,1,4
"103",5,3,4,4,4,5,4,5,4,4,4,3,3,5,5
"104",3,3,1,1,4,1,3,4,4,4,2,3,2,3,2
"105",5,2,1,1,1,1,1,1,3,4,5,1,1,2,4
"106",2,1,1,1,1,2,1,1,1,1,1,1,1,2,1
"107",5,3,1,5,4,5,2,3,1,5,4,3,3,2,5
"108",3,2,1,2,4,3,2,3,4,3,2,3,1,3,4
"109",5,5,1,3,3,5,3,1,1,4,5,3,1,5,5
"110",4,3,3,4,5,4,2,3,3,4,3,3,3,5,5
"111",4,5,1,4,4,4,4,1,1,4,3,2,1,1,4
"112",1,1,1,1,1,1,1,1,1,3,3,1,1,1,4
"113",5,3,1,2,1,5,5,2,2,5,5,5,2,5,5
"114",5,5,1,4,4,5,5,4,4,5,4,4,3,4,5
"115",2,2,2,1,3,2,2,1,1,3,2,2,1,1,2
"116",4,2,1,1,1,4,1,1,2,1,2,2,1,3,3
"117",4,4,4,4,4,3,4,5,3,3,2,4,3,3,4
"118",4,2,3,2,4,3,5,3,3,2,4,4,2,4,4
"119",4,3,1,3,4,4,1,1,3,4,3,1,1,3,4
"120",4,4,4,4,4,5,4,5,5,5,4,5,3,3,4
"121",2,1,1,1,3,2,1,1,1,2,1,1,1,1,4
"122",4,5,1,4,4,2,5,1,1,5,4,4,1,5,5
"123",5,4,3,3,5,4,3,4,4,3,5,3,3,4,5
"124",5,4,3,3,4,4,3,3,2,2,4,3,2,4,4
"125",3,5,4,4,5,5,5,4,2,5,5,4,5,3,5
"126",1,2,1,2,1,1,2,1,1,4,1,1,1,1,4
"127",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"128",5,5,2,5,2,4,5,4,2,5,3,4,3,5,5
"129",3,3,1,3,4,3,3,1,3,2,4,4,1,3,4
"130",3,3,1,1,4,2,1,1,1,3,3,1,1,2,5
"131",4,4,2,2,4,5,3,2,3,4,4,4,1,4,4
"132",4,2,1,1,1,2,1,1,1,4,1,1,1,3,3
"133",5,5,1,4,4,4,5,1,1,5,5,5,1,3,5
"134",5,5,5,5,5,5,5,5,2,5,5,5,3,5,5
"135",1,1,1,1,1,1,2,2,1,3,1,1,1,1,1
"136",1,1,1,1,4,1,1,1,1,4,1,1,1,1,5
"137",4,1,1,1,4,1,1,1,1,5,2,1,1,1,5
"138",5,2,1,2,3,1,1,1,1,3,2,4,1,3,5
"139",4,3,1,2,3,3,2,1,1,5,3,2,1,3,5
"140",4,1,1,1,1,4,1,3,4,5,5,1,4,1,5
"141",3,1,1,1,2,3,1,1,1,3,1,3,1,2,3
"142",5,4,4,4,5,5,5,4,5,5,5,4,3,5,5
"143",5,4,4,5,5,5,5,4,5,4,5,4,2,4,5
"144",4,1,1,1,1,1,1,1,1,4,1,1,1,1,4
"145",3,2,4,3,4,2,3,5,1,3,3,2,4,3,5
"146",5,5,2,4,4,5,4,3,1,1,4,5,1,5,5
"147",1,1,1,0,1,1,1,1,1,1,1,1,1,1,2
"148",4,4,1,4,4,3,2,2,2,4,2,2,2,4,4
"149",5,0,1,5,5,5,5,1,1,3,4,4,1,5,5
"150",4,4,2,2,3,2,4,3,3,4,4,4,2,4,2
"151",4,4,1,2,5,2,4,1,1,2,4,4,1,5,5
"152",1,1,1,3,1,1,1,1,1,5,4,1,1,1,4
"153",5,1,1,1,2,1,2,1,1,5,4,2,1,4,5
"154",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"155",4,5,2,2,4,5,5,2,5,3,5,5,4,5,5
"156",3,2,1,4,5,4,2,1,1,5,4,2,1,5,5
"157",4,5,2,2,3,4,4,4,2,5,4,4,4,3,5
"158",3,1,2,1,3,3,1,2,2,4,2,3,1,1,5
"159",2,5,1,2,3,3,1,1,5,3,4,1,1,5,4
"160",1,4,1,1,1,1,1,1,3,2,2,1,1,1,1
"161",5,2,1,4,2,5,4,1,1,5,3,2,1,5,5
"162",4,2,3,3,4,3,2,4,3,3,4,2,3,3,4
"163",3,5,1,5,4,4,5,1,2,2,4,4,1,4,5
"164",5,5,2,1,1,1,3,2,1,5,4,5,2,1,5
"165",4,4,2,3,2,2,2,3,2,5,5,3,2,4,4
"166",4,2,1,4,4,2,1,1,1,1,2,3,1,3,5
"167",5,5,1,4,4,5,2,1,5,1,5,4,1,5,5
"168",5,5,1,2,5,4,1,2,2,5,4,4,1,5,5
"169",5,5,1,5,5,5,5,1,4,3,5,5,1,4,5
"170",5,5,3,3,2,5,3,2,4,1,5,1,1,5,5
"171",4,3,2,4,3,3,3,2,2,4,3,3,2,3,4
"172",1,3,2,3,4,3,2,3,2,3,2,2,4,3,4
"173",3,4,1,2,4,2,5,1,2,2,2,4,1,3,5
"174",3,3,2,3,3,3,3,2,3,3,3,2,1,1,4
"175",2,2,2,3,1,4,2,2,1,4,2,2,3,2,2
"176",3,2,1,4,2,5,2,1,2,5,4,2,3,3,5
"177",5,4,5,5,5,5,4,5,5,5,5,5,5,5,5
"178",4,1,1,2,2,1,1,1,1,5,5,1,1,5,5
"179",2,1,1,3,2,3,2,1,1,2,1,1,1,2,4
"180",5,2,5,5,5,5,5,5,5,5,5,5,3,5,5
"181",2,1,1,1,4,1,1,1,1,4,1,1,1,1,4
"182",3,3,1,1,4,2,4,4,2,4,3,1,4,3,5
"183",1,1,2,1,1,1,2,3,1,1,1,1,1,1,1
"184",5,3,3,3,4,4,3,4,3,4,5,3,3,3,5
"185",2,1,1,1,1,1,2,1,1,4,2,2,1,1,4
"186",4,5,1,4,5,3,4,2,1,5,3,4,1,3,5
"187",5,3,1,1,1,4,3,1,1,5,4,2,1,4,5
"188",3,1,3,4,3,3,1,0,2,5,3,3,4,5,5
"189",2,1,1,1,2,1,1,1,1,2,2,1,1,2,1
"190",5,5,2,3,1,5,4,3,1,5,5,5,2,4,5
"191",5,2,4,1,2,1,2,4,1,4,2,2,2,3,5
