"age","year","county","count"
"15_19",0,"ALEXANDER",0
"15_19",0,"BROWN",0
"15_19",0,"CALHOUN",0
"15_19",0,"CARROLL",5
"15_19",0,"CASS",0
"15_19",0,"CLARK",7
"15_19",0,"CLAY",0
"15_19",0,"CRAWFORD",4
"15_19",0,"CUMBERLAND",0
"15_19",0,"DE WITT",12
"15_19",0,"DOUGLAS",13
"15_19",0,"EDGAR",6
"15_19",0,"EDWARDS",0
"15_19",0,"FAYETTE",8
"15_19",0,"FORD",0
"15_19",0,"GALLATIN",0
"15_19",0,"GREENE",0
"15_19",0,"HAMILTON",0
"15_19",0,"HANCOCK",11
"15_19",0,"HARDIN",0
"15_19",0,"HENDERSON",0
"15_19",0,"IROQUOIS",17
"15_19",0,"JASPER",0
"15_19",0,"JERSEY",13
"15_19",0,"JO DAVIESS",11
"15_19",0,"JOHNSON",0
"15_19",0,"LAWRENCE",7
"15_19",0,"MARSHALL",0
"15_19",0,"MASON",0
"15_19",0,"MENARD",0
"15_19",0,"MERCER",7
"15_19",0,"MOULTRIE",0
"15_19",0,"PIATT",11
"15_19",0,"PIKE",7
"15_19",0,"POPE",0
"15_19",0,"PULASKI",0
"15_19",0,"PUTNAM",0
"15_19",0,"RICHLAND",7
"15_19",0,"SCHUYLER",0
"15_19",0,"SCOTT",0
"15_19",0,"SHELBY",13
"15_19",0,"STARK",0
"15_19",0,"UNION",11
"15_19",0,"WABASH",0
"15_19",0,"WASHINGTON",0
"15_19",0,"WAYNE",3
"15_19",0,"WHITE",0
"15_19",1,"ALEXANDER",0
"15_19",1,"BROWN",0
"15_19",1,"CALHOUN",0
"15_19",1,"CARROLL",4
"15_19",1,"CASS",0
"15_19",1,"CLARK",7
"15_19",1,"CLAY",0
"15_19",1,"CRAWFORD",3
"15_19",1,"CUMBERLAND",0
"15_19",1,"DE WITT",3
"15_19",1,"DOUGLAS",16
"15_19",1,"EDGAR",4
"15_19",1,"EDWARDS",0
"15_19",1,"FAYETTE",10
"15_19",1,"FORD",0
"15_19",1,"GALLATIN",0
"15_19",1,"GREENE",0
"15_19",1,"HAMILTON",0
"15_19",1,"HANCOCK",12
"15_19",1,"HARDIN",0
"15_19",1,"HENDERSON",0
"15_19",1,"IROQUOIS",7
"15_19",1,"JASPER",0
"15_19",1,"JERSEY",11
"15_19",1,"JO DAVIESS",9
"15_19",1,"JOHNSON",0
"15_19",1,"LAWRENCE",2
"15_19",1,"MARSHALL",0
"15_19",1,"MASON",0
"15_19",1,"MENARD",0
"15_19",1,"MERCER",4
"15_19",1,"MOULTRIE",0
"15_19",1,"PIATT",7
"15_19",1,"PIKE",5
"15_19",1,"POPE",0
"15_19",1,"PULASKI",0
"15_19",1,"PUTNAM",0
"15_19",1,"RICHLAND",2
"15_19",1,"SCHUYLER",0
"15_19",1,"SCOTT",0
"15_19",1,"SHELBY",8
"15_19",1,"STARK",0
"15_19",1,"UNION",15
"15_19",1,"WABASH",0
"15_19",1,"WASHINGTON",0
"15_19",1,"WAYNE",2
"15_19",1,"WHITE",0
"15_19",2,"ALEXANDER",0
"15_19",2,"BROWN",0
"15_19",2,"CALHOUN",0
"15_19",2,"CARROLL",5
"15_19",2,"CASS",0
"15_19",2,"CLARK",4
"15_19",2,"CLAY",0
"15_19",2,"CRAWFORD",8
"15_19",2,"CUMBERLAND",0
"15_19",2,"DE WITT",8
"15_19",2,"DOUGLAS",7
"15_19",2,"EDGAR",5
"15_19",2,"EDWARDS",0
"15_19",2,"FAYETTE",18
"15_19",2,"FORD",0
"15_19",2,"GALLATIN",0
"15_19",2,"GREENE",0
"15_19",2,"HAMILTON",0
"15_19",2,"HANCOCK",8
"15_19",2,"HARDIN",0
"15_19",2,"HENDERSON",0
"15_19",2,"IROQUOIS",15
"15_19",2,"JASPER",0
"15_19",2,"JERSEY",7
"15_19",2,"JO DAVIESS",8
"15_19",2,"JOHNSON",0
"15_19",2,"LAWRENCE",7
"15_19",2,"MARSHALL",0
"15_19",2,"MASON",0
"15_19",2,"MENARD",0
"15_19",2,"MERCER",7
"15_19",2,"MOULTRIE",0
"15_19",2,"PIATT",3
"15_19",2,"PIKE",4
"15_19",2,"POPE",0
"15_19",2,"PULASKI",0
"15_19",2,"PUTNAM",0
"15_19",2,"RICHLAND",2
"15_19",2,"SCHUYLER",0
"15_19",2,"SCOTT",0
"15_19",2,"SHELBY",4
"15_19",2,"STARK",0
"15_19",2,"UNION",7
"15_19",2,"WABASH",0
"15_19",2,"WASHINGTON",0
"15_19",2,"WAYNE",4
"15_19",2,"WHITE",0
"15_19",3,"ALEXANDER",0
"15_19",3,"BROWN",0
"15_19",3,"CALHOUN",0
"15_19",3,"CARROLL",3
"15_19",3,"CASS",0
"15_19",3,"CLARK",4
"15_19",3,"CLAY",0
"15_19",3,"CRAWFORD",4
"15_19",3,"CUMBERLAND",0
"15_19",3,"DE WITT",10
"15_19",3,"DOUGLAS",13
"15_19",3,"EDGAR",5
"15_19",3,"EDWARDS",0
"15_19",3,"FAYETTE",10
"15_19",3,"FORD",0
"15_19",3,"GALLATIN",0
"15_19",3,"GREENE",0
"15_19",3,"HAMILTON",0
"15_19",3,"HANCOCK",5
"15_19",3,"HARDIN",0
"15_19",3,"HENDERSON",0
"15_19",3,"IROQUOIS",12
"15_19",3,"JASPER",0
"15_19",3,"JERSEY",18
"15_19",3,"JO DAVIESS",10
"15_19",3,"JOHNSON",0
"15_19",3,"LAWRENCE",7
"15_19",3,"MARSHALL",0
"15_19",3,"MASON",0
"15_19",3,"MENARD",0
"15_19",3,"MERCER",11
"15_19",3,"MOULTRIE",0
"15_19",3,"PIATT",7
"15_19",3,"PIKE",14
"15_19",3,"POPE",0
"15_19",3,"PULASKI",0
"15_19",3,"PUTNAM",0
"15_19",3,"RICHLAND",6
"15_19",3,"SCHUYLER",0
"15_19",3,"SCOTT",0
"15_19",3,"SHELBY",5
"15_19",3,"STARK",0
"15_19",3,"UNION",14
"15_19",3,"WABASH",0
"15_19",3,"WASHINGTON",0
"15_19",3,"WAYNE",3
"15_19",3,"WHITE",0
"15_19",4,"ALEXANDER",0
"15_19",4,"BROWN",0
"15_19",4,"CALHOUN",0
"15_19",4,"CARROLL",4
"15_19",4,"CASS",0
"15_19",4,"CLARK",4
"15_19",4,"CLAY",0
"15_19",4,"CRAWFORD",6
"15_19",4,"CUMBERLAND",0
"15_19",4,"DE WITT",13
"15_19",4,"DOUGLAS",14
"15_19",4,"EDGAR",7
"15_19",4,"EDWARDS",0
"15_19",4,"FAYETTE",10
"15_19",4,"FORD",0
"15_19",4,"GALLATIN",0
"15_19",4,"GREENE",0
"15_19",4,"HAMILTON",0
"15_19",4,"HANCOCK",9
"15_19",4,"HARDIN",0
