"";"pareja";"actividad";"quien"
"1";1;"platos";"mujer"
"2";2;"compras";"mujer"
"3";3;"finanzas";"alternativamente"
"4";4;"compras";"mujer"
"5";5;"arreglos";"hombre"
"6";6;"lunch";"mujer"
"7";7;"lunch";"alternativamente"
"8";9;"lunch";"alternativamente"
"9";10;"lunch";"alternativamente"
"10";11;"cena";"alternativamente"
"11";12;"seguro";"conjuntamente"
"12";13;"conducir";"hombre"
"13";14;"cena";"mujer"
"14";17;"finanzas";"conjuntamente"
"15";18;"lunch";"alternativamente"
"16";20;"lunch";"mujer"
"17";21;"seguro";"conjuntamente"
"18";22;"compras";"conjuntamente"
"19";23;"lunch";"mujer"
"20";24;"lunch";"mujer"
"21";25;"lunch";"mujer"
"22";26;"arreglos";"hombre"
"23";29;"seguro";"hombre"
"24";30;"conducir";"hombre"
"25";32;"compras";"conjuntamente"
"26";33;"ropa";"conjuntamente"
"27";34;"arreglos";"hombre"
"28";36;"finanzas";"conjuntamente"
"29";37;"cena";"mujer"
"30";38;"seguro";"conjuntamente"
"31";39;"lunch";"mujer"
"32";40;"conducir";"hombre"
"33";41;"lunch";"mujer"
"34";42;"finanzas";"conjuntamente"
"35";43;"arreglos";"hombre"
"36";44;"seguro";"hombre"
"37";45;"finanzas";"mujer"
"38";46;"cena";"alternativamente"
"39";47;"arreglos";"hombre"
"40";48;"compras";"conjuntamente"
"41";49;"lunch";"alternativamente"
"42";50;"seguro";"hombre"
"43";51;"ropa";"conjuntamente"
"44";52;"ropa";"mujer"
"45";53;"finanzas";"hombre"
"46";54;"lunch";"mujer"
"47";55;"arreglos";"hombre"
"48";56;"finanzas";"hombre"
"49";57;"platos";"mujer"
"50";58;"ropa";"conjuntamente"
"51";59;"conducir";"hombre"
"52";60;"conducir";"alternativamente"
"53";61;"platos";"conjuntamente"
"54";63;"cena";"mujer"
"55";64;"cena";"alternativamente"
"56";65;"cena";"mujer"
"57";66;"ropa";"conjuntamente"
"58";67;"conducir";"hombre"
"59";68;"ropa";"mujer"
"60";69;"finanzas";"conjuntamente"
"61";70;"lunch";"mujer"
"62";71;"compras";"conjuntamente"
"63";72;"lunch";"mujer"
"64";73;"conducir";"hombre"
"65";75;"ropa";"alternativamente"
"66";76;"platos";"conjuntamente"
"67";77;"compras";"mujer"
"68";79;"conducir";"mujer"
"69";80;"ropa";"mujer"
"70";81;"seguro";"conjuntamente"
"71";82;"compras";"conjuntamente"
"72";83;"lunch";"mujer"
"73";84;"ropa";"conjuntamente"
"74";85;"finanzas";"alternativamente"
"75";86;"finanzas";"alternativamente"
"76";87;"seguro";"hombre"
"77";89;"finanzas";"conjuntamente"
"78";90;"cena";"mujer"
"79";92;"platos";"conjuntamente"
"80";93;"platos";"mujer"
"81";95;"lunch";"mujer"
"82";96;"compras";"conjuntamente"
"83";97;"arreglos";"hombre"
"84";98;"seguro";"hombre"
"85";99;"ropa";"mujer"
"86";100;"conducir";"hombre"
"87";101;"seguro";"hombre"
"88";102;"seguro";"conjuntamente"
"89";103;"cena";"conjuntamente"
"90";104;"lunch";"alternativamente"
"91";106;"compras";"conjuntamente"
"92";107;"arreglos";"hombre"
"93";108;"arreglos";"hombre"
"94";109;"ropa";"conjuntamente"
"95";110;"conducir";"hombre"
"96";112;"conducir";"alternativamente"
"97";114;"lunch";"alternativamente"
"98";115;"finanzas";"conjuntamente"
"99";117;"lunch";"mujer"
"100";118;"platos";"conjuntamente"
"101";119;"seguro";"conjuntamente"
"102";120;"cena";"mujer"
"103";121;"platos";"conjuntamente"
"104";122;"platos";"conjuntamente"
"105";123;"cena";"mujer"
"106";124;"arreglos";"hombre"
"107";126;"lunch";"alternativamente"
"108";127;"platos";"conjuntamente"
"109";128;"arreglos";"hombre"
"110";129;"seguro";"conjuntamente"
"111";130;"seguro";"conjuntamente"
"112";131;"cena";"mujer"
"113";132;"platos";"hombre"
"114";133;"cena";"mujer"
"115";134;"ropa";"mujer"
"116";136;"ropa";"conjuntamente"
"117";139;"lunch";"alternativamente"
"118";140;"ropa";"conjuntamente"
"119";142;"finanzas";"conjuntamente"
"120";143;"lunch";"mujer"
"121";144;"platos";"conjuntamente"
"122";145;"conducir";"hombre"
"123";146;"lunch";"mujer"
"124";148;"compras";"conjuntamente"
"125";149;"arreglos";"hombre"
"126";150;"arreglos";"hombre"
"127";151;"arreglos";"hombre"
"128";152;"ropa";"mujer"
"129";153;"seguro";"hombre"
"130";154;"lunch";"mujer"
"131";158;"finanzas";"mujer"
"132";159;"lunch";"mujer"
"133";161;"lunch";"mujer"
"134";163;"lunch";"hombre"
"135";164;"lunch";"mujer"
"136";165;"lunch";"alternativamente"
"137";166;"lunch";"mujer"
"138";167;"conducir";"mujer"
"139";170;"cena";"mujer"
"140";171;"cena";"alternativamente"
"141";172;"seguro";"hombre"
"142";173;"seguro";"conjuntamente"
"143";174;"lunch";"mujer"
"144";175;"cena";"mujer"
"145";176;"compras";"conjuntamente"
"146";177;"cena";"hombre"
"147";178;"finanzas";"hombre"
"148";179;"lunch";"mujer"
"149";180;"finanzas";"conjuntamente"
"150";181;"arreglos";"hombre"
"151";185;"compras";"conjuntamente"
"152";186;"lunch";"mujer"
"153";187;"ropa";"alternativamente"
"154";188;"seguro";"conjuntamente"
"155";191;"platos";"mujer"
"156";192;"lunch";"mujer"
"157";193;"arreglos";"hombre"
"158";194;"arreglos";"hombre"
"159";195;"lunch";"alternativamente"
"160";196;"platos";"mujer"
"161";197;"cena";"mujer"
"162";199;"finanzas";"conjuntamente"
"163";200;"cena";"mujer"
"164";202;"conducir";"alternativamente"
"165";203;"conducir";"hombre"
"166";204;"lunch";"mujer"
"167";206;"finanzas";"conjuntamente"
"168";209;"lunch";"mujer"
"169";210;"arreglos";"hombre"
"170";211;"platos";"conjuntamente"
"171";213;"ropa";"conjuntamente"
"172";214;"finanzas";"conjuntamente"
"173";215;"arreglos";"hombre"
"174";216;"finanzas";"conjuntamente"
"175";217;"conducir";"hombre"
"176";218;"arreglos";"hombre"
"177";219;"lunch";"mujer"
"178";220;"finanzas";"conjuntamente"
"179";221;"arreglos";"hombre"
"180";222;"conducir";"alternativamente"
"181";223;"lunch";"mujer"
"182";224;"platos";"mujer"
"183";225;"arreglos";"hombre"
"184";227;"ropa";"mujer"
"185";228;"finanzas";"mujer"
"186";229;"arreglos";"hombre"
"187";230;"cena";"mujer"
"188";231;"ropa";"conjuntamente"
"189";232;"lunch";"mujer"
"190";233;"lunch";"alternativamente"
"191";234;"platos";"conjuntamente"
"192";235;"cena";"mujer"
"193";237;"lunch";"alternativamente"
"194";238;"ropa";"alternativamente"
"195";239;"finanzas";"hombre"
"196";240;"seguro";"hombre"
"197";241;"ropa";"conjuntamente"
"198";242;"finanzas";"alternativamente"
"199";244;"conducir";"alternativamente"
"200";245;"cena";"mujer"
"201";246;"ropa";"mujer"
"202";247;"platos";"mujer"
"203";248;"lunch";"mujer"
"204";249;"arreglos";"hombre"
"205";250;"conducir";"alternativamente"
"206";251;"lunch";"mujer"
"207";256;"finanzas";"conjuntamente"
"208";257;"ropa";"alternativamente"
"209";258;"arreglos";"hombre"
"210";259;"platos";"conjuntamente"
"211";260;"compras";"mujer"
"212";262;"lunch";"conjuntamente"
"213";263;"seguro";"conjuntamente"
"214";264;"conducir";"hombre"
"215";265;"finanzas";"alternativamente"
"216";267;"cena";"mujer"
"217";269;"conducir";"conjuntamente"
"218";272;"lunch";"hombre"
"219";273;"lunch";"hombre"
"220";274;"lunch";"alternativamente"
"221";276;"seguro";"conjuntamente"
"222";277;"ropa";"mujer"
"223";278;"cena";"mujer"
"224";279;"seguro";"conjuntamente"
"225";280;"platos";"mujer"
"226";281;"seguro";"conjuntamente"
"227";282;"lunch";"mujer"
"228";284;"lunch";"mujer"
"229";285;"finanzas";"conjuntamente"
"230";288;"arreglos";"hombre"
"231";289;"conducir";"hombre"
"232";290;"compras";"conjuntamente"
"233";292;"ropa";"mujer"
"234";293;"platos";"conjuntamente"
"235";295;"arreglos";"hombre"
"236";296;"lunch";"alternativamente"
"237";297;"finanzas";"alternativamente"
"238";298;"arreglos";"hombre"
"239";300;"lunch";"mujer"
"240";302;"conducir";"alternativamente"
"241";304;"ropa";"mujer"
"242";305;"conducir";"hombre"
"243";306;"finanzas";"conjuntamente"
"244";307;"arreglos";"hombre"
"245";308;"platos";"mujer"
"246";309;"lunch";"mujer"
"247";310;"lunch";"mujer"
"248";312;"lunch";"alternativamente"
"249";313;"arreglos";"hombre"
"250";314;"lunch";"mujer"
"251";315;"arreglos";"hombre"
"252";316;"finanzas";"conjuntamente"
"253";317;"lunch";"mujer"
"254";318;"lunch";"mujer"
"255";319;"conducir";"hombre"
"256";321;"conducir";"alternativamente"
"257";322;"finanzas";"conjuntamente"
"258";323;"lunch";"alternativamente"
"259";324;"arreglos";"hombre"
"260";326;"seguro";"conjuntamente"
"261";327;"ropa";"mujer"
"262";329;"arreglos";"hombre"
"263";330;"conducir";"mujer"
"264";331;"lunch";"alternativamente"
"265";332;"arreglos";"hombre"
"266";333;"conducir";"alternativamente"
"267";334;"compras";"conjuntamente"
"268";335;"conducir";"alternativamente"
"269";336;"seguro";"conjuntamente"
"270";337;"cena";"conjuntamente"
"271";338;"lunch";"hombre"
"272";339;"lunch";"alternativamente"
"273";341;"lunch";"conjuntamente"
"274";342;"platos";"mujer"
"275";343;"seguro";"hombre"
"276";344;"ropa";"conjuntamente"
"277";345;"conducir";"hombre"
"278";346;"arreglos";"hombre"
"279";347;"compras";"mujer"
"280";348;"arreglos";"hombre"
"281";349;"finanzas";"mujer"
"282";350;"cena";"conjuntamente"
"283";351;"arreglos";"hombre"
