pareja,actividad,quien
1,platos,mujer
2,compras,mujer
3,finanzas,alternativamente
4,compras,mujer
5,arreglos,hombre
6,lunch,mujer
7,lunch,alternativamente
9,lunch,alternativamente
10,lunch,alternativamente
11,cena,alternativamente
12,seguro,conjuntamente
13,conducir,hombre
14,cena,mujer
17,finanzas,conjuntamente
18,lunch,alternativamente
20,lunch,mujer
21,seguro,conjuntamente
22,compras,conjuntamente
23,lunch,mujer
24,lunch,mujer
25,lunch,mujer
26,arreglos,hombre
29,seguro,hombre
30,conducir,hombre
32,compras,conjuntamente
33,ropa,conjuntamente
34,arreglos,hombre
36,finanzas,conjuntamente
37,cena,mujer
38,seguro,conjuntamente
39,lunch,mujer
40,conducir,hombre
41,lunch,mujer
42,finanzas,conjuntamente
43,arreglos,hombre
44,seguro,hombre
45,finanzas,mujer
46,cena,alternativamente
47,arreglos,hombre
48,compras,conjuntamente
49,lunch,alternativamente
50,seguro,hombre
51,ropa,conjuntamente
52,ropa,mujer
53,finanzas,hombre
54,lunch,mujer
55,arreglos,hombre
56,finanzas,hombre
57,platos,mujer
58,ropa,conjuntamente
59,conducir,hombre
60,conducir,alternativamente
61,platos,conjuntamente
63,cena,mujer
64,cena,alternativamente
65,cena,mujer
66,ropa,conjuntamente
67,conducir,hombre
68,ropa,mujer
69,finanzas,conjuntamente
70,lunch,mujer
71,compras,conjuntamente
72,lunch,mujer
73,conducir,hombre
75,ropa,alternativamente
76,platos,conjuntamente
77,compras,mujer
79,conducir,mujer
80,ropa,mujer
81,seguro,conjuntamente
82,compras,conjuntamente
83,lunch,mujer
84,ropa,conjuntamente
85,finanzas,alternativamente
86,finanzas,alternativamente
87,seguro,hombre
89,finanzas,conjuntamente
90,cena,mujer
92,platos,conjuntamente
93,platos,mujer
95,lunch,mujer
96,compras,conjuntamente
97,arreglos,hombre
98,seguro,hombre
99,ropa,mujer
100,conducir,hombre
101,seguro,hombre
102,seguro,conjuntamente
103,cena,conjuntamente
104,lunch,alternativamente
106,compras,conjuntamente
107,arreglos,hombre
108,arreglos,hombre
109,ropa,conjuntamente
110,conducir,hombre
112,conducir,alternativamente
114,lunch,alternativamente
115,finanzas,conjuntamente
117,lunch,mujer
118,platos,conjuntamente
119,seguro,conjuntamente
120,cena,mujer
121,platos,conjuntamente
122,platos,conjuntamente
123,cena,mujer
124,arreglos,hombre
126,lunch,alternativamente
127,platos,conjuntamente
128,arreglos,hombre
129,seguro,conjuntamente
130,seguro,conjuntamente
131,cena,mujer
132,platos,hombre
133,cena,mujer
134,ropa,mujer
136,ropa,conjuntamente
139,lunch,alternativamente
140,ropa,conjuntamente
142,finanzas,conjuntamente
143,lunch,mujer
144,platos,conjuntamente
145,conducir,hombre
