frase,agrupacion,letras,segundo,asignatura
"¡Hala, venga, hasta luego!",couple,27,14,nonexperimental
"habrá que irse, ¿no?",couple,22,315,nonexperimental
"Hala, lanera noa.",couple,17,230,nonexperimental
"Bueno, que te vaya bien haciendo el informe ese, mañana te escribo!",couple,68,6,nonexperimental
"Bueno pues nada cariño, nos vemos el Viernes entonces",couple,54,55,nonexperimental
Mañana nos vemos. Agur!,couple,24,2,nonexperimental
Hablamos mañana que me tengo que ir.,couple,37,120,nonexperimental
"¡Uy! que tarde, me tengo que ir.",couple,33,25,nonexperimental
"Bueno ama, te dejo",couple,18,35,nonexperimental
"Luego hablamos, vale?",couple,21,145,nonexperimental
Adiós guapa,couple,12,5,nonexperimental
"Mañana hablamos, que llego tarde.",couple,34,34,nonexperimental
"Pues eso, que hablamos luego.",couple,29,31,nonexperimental
"Bueno pues, adiós.",couple,19,87,nonexperimental
"<a class=mceButton mceButtonEnabled mce_italic title=Cursiva (Ctrl+I)></a><span class=mceVoiceLabel mceIconOnly></span>Bueno, pues nada guapa.",couple,142,88,nonexperimental
"Bueno, me voy",couple,13,480,nonexperimental
"bueno, ya me contarás.",couple,23,30,nonexperimental
"Me voy, que aún me quedan cosas por hacer.",couple,43,540,nonexperimental
"Nos vemos en clase, ¡adiós!",couple,29,15,nonexperimental
"¡Cuando quieras volvemos a quedar, adiós!",couple,43,30,nonexperimental
"Bueno chao, mañana nos vemos.",couple,30,20,nonexperimental
"Bueno, ya me voy.",couple,17,180,nonexperimental
Adiós.,couple,7,15,nonexperimental
"Buenas noches, hasta mañana.",couple,29,10,nonexperimental
Buenas noches,couple,13,21,nonexperimental
"Vale, yo me voy que tengo clase...",couple,34,20,nonexperimental
"Venga, mañana estamos",couple,22,56,nonexperimental
Bueno luego estamos,couple,19,68,nonexperimental
"Bueno, mañana nos vemos",couple,24,56,nonexperimental
"Venga, me voy a vacunar",couple,23,13,nonexperimental
¿Te quiero mucho vale?,couple,23,22,nonexperimental
"venga vete, que es muy tarde",couple,28,1800,nonexperimental
tía me voy que voy a llegar tarde,couple,34,15,nonexperimental
"Bueno, que tengas un buen día",couple,30,18,nonexperimental
"Cuídate, agur.",couple,15,3,nonexperimental
"¡Hala, agur!",couple,13,5,nonexperimental
Vamos hablando que estoy en el bus,couple,34,40,nonexperimental
"Que te vaya bien, ya hablaremos.",couple,32,20,nonexperimental
"Hasta luego, nos vemos el finde",couple,31,35,nonexperimental
"¿Mañana te llamo, vale?",couple,25,3,nonexperimental
"Adiós, ama",couple,11,120,nonexperimental
test,couple,4,3,nonexperimental
"hala, gero arte.",couple,16,170,nonexperimental
"bai, joan beharra dut",couple,21,3,nonexperimental
gero hitz egingo dugu hortaz,couple,28,5,nonexperimental
"bueno, agur",couple,11,5,nonexperimental
