frase,tamano,letras,segundos,asignatura,curso
"¬°Hala, venga, hasta luego!",pareja,27,14,diseños,psicologia
"habr√° que irse, ¬øno?",pareja,22,315,diseños,psicologia
"Hala, lanera noa.",pareja,17,230,diseños,psicologia
"Bueno, que te vaya bien haciendo el informe ese, ma√±ana te escribo!",pareja,68,6,diseños,psicologia
"Bueno pues nada cari√±o, nos vemos el Viernes entonces",pareja,54,55,diseños,psicologia
Ma√±ana nos vemos. Agur!,pareja,24,2,diseños,psicologia
Hablamos ma√±ana que me tengo que ir.,pareja,37,120,diseños,psicologia
"¬°Uy! que tarde, me tengo que ir.",pareja,33,25,diseños,psicologia
"Bueno ama, te dejo",pareja,18,35,diseños,psicologia
"Luego hablamos, vale?",pareja,21,145,diseños,psicologia
Adi√≥s guapa,pareja,12,5,diseños,psicologia
"Ma√±ana hablamos, que llego tarde.",pareja,34,34,diseños,psicologia
"Pues eso, que hablamos luego.",pareja,29,31,diseños,psicologia
"Bueno pues, adi√≥s.",pareja,19,87,diseños,psicologia
"<a class=mceButton mceButtonEnabled mce_italic title=Cursiva (Ctrl+I)></a><span class=mceVoiceLabel mceIconOnly></span>Bueno, pues nada guapa.",pareja,142,88,diseños,psicologia
"Bueno, me voy",pareja,13,480,diseños,psicologia
"bueno, ya me contar√°s.",pareja,23,30,diseños,psicologia
"Me voy, que a√∫n me quedan cosas por hacer.",pareja,43,540,diseños,psicologia
"Nos vemos en clase, ¬°adi√≥s!",pareja,29,15,diseños,psicologia
"¬°Cuando quieras volvemos a quedar, adi√≥s!",pareja,43,30,diseños,psicologia
"Bueno chao, ma√±ana nos vemos.",pareja,30,20,diseños,psicologia
"Bueno, ya me voy.",pareja,17,180,diseños,psicologia
Adi√≥s.,pareja,7,15,diseños,psicologia
"Buenas noches, hasta ma√±ana.",pareja,29,10,diseños,psicologia
Buenas noches,pareja,13,21,diseños,psicologia
"Vale, yo me voy que tengo clase...",pareja,34,20,diseños,psicologia
"Venga, ma√±ana estamos",pareja,22,56,diseños,psicologia
Bueno luego estamos,pareja,19,68,diseños,criminologia
"Bueno, ma√±ana nos vemos",pareja,24,56,diseños,criminologia
"Venga, me voy a vacunar",pareja,23,13,diseños,criminologia
¬øTe quiero mucho vale?,pareja,23,22,diseños,criminologia
"venga vete, que es muy tarde",pareja,28,1800,diseños,criminologia
t√≠a me voy que voy a llegar tarde,pareja,34,15,diseños,criminologia
"Bueno, que tengas un buen d√≠a",pareja,30,18,diseños,criminologia
"Cu√≠date, agur.",pareja,15,3,diseños,criminologia
"¬°Hala, agur!",pareja,13,5,diseños,criminologia
Vamos hablando que estoy en el bus,pareja,34,40,diseños,criminologia
"Que te vaya bien, ya hablaremos.",pareja,32,20,diseños,criminologia
"Hasta luego, nos vemos el finde",pareja,31,35,diseños,criminologia
