"ad_id","voice_tone","product_type"
1,"Warm/Sweet","Food/Beverage"
2,"Warm/Sweet","Charity/Social Cause"
3,"Neutral/Informative","Technology/Electronics"
4,"Inspirational/Uplifting","Automotive"
5,"Neutral/Informative","Food/Beverage"
6,"Serious/Authoritative","Health/Beauty"
7,"Inspirational/Uplifting","Technology/Electronics"
8,"Serious/Authoritative","Automotive"
9,"Serious/Authoritative","Charity/Social Cause"
10,"Inspirational/Uplifting","Retail/General"
11,"Warm/Sweet","Health/Beauty"
12,"Neutral/Informative","Technology/Electronics"
13,"Neutral/Informative","Retail/General"
14,"Inspirational/Uplifting","Automotive"
15,"Serious/Authoritative","Health/Beauty"
16,"Inspirational/Uplifting","Food/Beverage"
17,"Warm/Sweet","Charity/Social Cause"
18,"Neutral/Informative","Retail/General"
19,"Inspirational/Uplifting","Automotive"
20,"Neutral/Informative","Technology/Electronics"
21,"Warm/Sweet","Charity/Social Cause"
22,"Serious/Authoritative","Automotive"
23,"Funny/Playful","Charity/Social Cause"
24,"Serious/Authoritative","Automotive"
25,"Funny/Playful","Health/Beauty"
26,"Neutral/Informative","Retail/General"
27,"Warm/Sweet","Health/Beauty"
28,"Warm/Sweet","Food/Beverage"
29,"Inspirational/Uplifting","Food/Beverage"
30,"Neutral/Informative","Technology/Electronics"
31,"Warm/Sweet","Charity/Social Cause"
32,"Inspirational/Uplifting","Food/Beverage"
33,"Inspirational/Uplifting","Health/Beauty"
34,"Funny/Playful","Food/Beverage"
35,"Serious/Authoritative","Automotive"
36,"Warm/Sweet","Health/Beauty"
37,"Funny/Playful","Technology/Electronics"
38,"Funny/Playful","Health/Beauty"
39,"Inspirational/Uplifting","Charity/Social Cause"
40,"Warm/Sweet","Charity/Social Cause"
41,"Warm/Sweet","Charity/Social Cause"
42,"Serious/Authoritative","Technology/Electronics"
43,"Serious/Authoritative","Automotive"
44,"Inspirational/Uplifting","Health/Beauty"
45,"Warm/Sweet","Food/Beverage"
46,"Inspirational/Uplifting","Health/Beauty"
47,"Neutral/Informative","Retail/General"
48,"Inspirational/Uplifting","Health/Beauty"
49,"Serious/Authoritative","Retail/General"
50,"Inspirational/Uplifting","Technology/Electronics"
51,"Warm/Sweet","Automotive"
52,"Serious/Authoritative","Technology/Electronics"
53,"Inspirational/Uplifting","Food/Beverage"
54,"Inspirational/Uplifting","Health/Beauty"
55,"Warm/Sweet","Charity/Social Cause"
56,"Funny/Playful","Food/Beverage"
57,"Serious/Authoritative","Health/Beauty"
58,"Warm/Sweet","Automotive"
59,"Inspirational/Uplifting","Automotive"
60,"Serious/Authoritative","Automotive"
61,"Neutral/Informative","Automotive"
62,"Inspirational/Uplifting","Retail/General"
63,"Neutral/Informative","Retail/General"
64,"Warm/Sweet","Technology/Electronics"
65,"Inspirational/Uplifting","Automotive"
66,"Neutral/Informative","Charity/Social Cause"
67,"Warm/Sweet","Food/Beverage"
68,"Warm/Sweet","Retail/General"
69,"Neutral/Informative","Charity/Social Cause"
70,"Neutral/Informative","Health/Beauty"
71,"Warm/Sweet","Food/Beverage"
72,"Neutral/Informative","Automotive"
73,"Serious/Authoritative","Health/Beauty"
74,"Inspirational/Uplifting","Charity/Social Cause"
75,"Neutral/Informative","Technology/Electronics"
76,"Neutral/Informative","Technology/Electronics"
77,"Serious/Authoritative","Automotive"
78,"Neutral/Informative","Automotive"
79,"Inspirational/Uplifting","Automotive"
80,"Inspirational/Uplifting","Food/Beverage"
81,"Warm/Sweet","Food/Beverage"
82,"Warm/Sweet","Food/Beverage"
83,"Serious/Authoritative","Technology/Electronics"
84,"Serious/Authoritative","Automotive"
85,"Funny/Playful","Technology/Electronics"
86,"Warm/Sweet","Food/Beverage"
87,"Inspirational/Uplifting","Charity/Social Cause"
88,"Warm/Sweet","Technology/Electronics"
89,"Inspirational/Uplifting","Technology/Electronics"
90,"Warm/Sweet","Retail/General"
91,"Warm/Sweet","Health/Beauty"
92,"Serious/Authoritative","Health/Beauty"
93,"Serious/Authoritative","Technology/Electronics"
94,"Serious/Authoritative","Technology/Electronics"
95,"Warm/Sweet","Health/Beauty"
96,"Warm/Sweet","Food/Beverage"
97,"Neutral/Informative","Technology/Electronics"
98,"Neutral/Informative","Retail/General"
99,"Inspirational/Uplifting","Automotive"
100,"Warm/Sweet","Retail/General"
101,"Warm/Sweet","Charity/Social Cause"
102,"Inspirational/Uplifting","Technology/Electronics"
103,"Serious/Authoritative","Technology/Electronics"
104,"Inspirational/Uplifting","Technology/Electronics"
105,"Neutral/Informative","Retail/General"
106,"Funny/Playful","Retail/General"
107,"Inspirational/Uplifting","Retail/General"
108,"Inspirational/Uplifting","Charity/Social Cause"
109,"Neutral/Informative","Charity/Social Cause"
110,"Serious/Authoritative","Automotive"
111,"Serious/Authoritative","Food/Beverage"
112,"Warm/Sweet","Retail/General"
113,"Serious/Authoritative","Automotive"
114,"Serious/Authoritative","Retail/General"
115,"Warm/Sweet","Health/Beauty"
116,"Neutral/Informative","Retail/General"
117,"Neutral/Informative","Automotive"
118,"Warm/Sweet","Technology/Electronics"
119,"Warm/Sweet","Technology/Electronics"
120,"Neutral/Informative","Automotive"
121,"Warm/Sweet","Charity/Social Cause"
122,"Warm/Sweet","Food/Beverage"
123,"Serious/Authoritative","Technology/Electronics"
124,"Neutral/Informative","Retail/General"
125,"Warm/Sweet","Food/Beverage"
126,"Warm/Sweet","Food/Beverage"
127,"Inspirational/Uplifting","Food/Beverage"
128,"Serious/Authoritative","Automotive"
129,"Warm/Sweet","Charity/Social Cause"
130,"Neutral/Informative","Automotive"
