sex,age
woman,53
woman,24
woman,35
woman,45
woman,59
woman,47
man,45
woman,39
woman,43
man,32
man,32
man,49
woman,40
woman,39
woman,48
woman,50
woman,20
woman,22
woman,46
woman,53
woman,27
woman,41
woman,59
man,39
woman,38
woman,31
woman,34
woman,34
woman,51
woman,40
woman,57
woman,34
woman,20
woman,42
man,34
woman,53
woman,23
woman,32
man,35
woman,20
woman,44
woman,52
man,23
woman,53
woman,20
man,43
woman,51
woman,33
woman,24
woman,53
woman,56
woman,60
woman,30
woman,39
woman,30
woman,19
woman,54
woman,41
woman,24
woman,50
man,51
woman,47
woman,53
woman,48
woman,28
man,42
man,59
man,41
man,33
woman,33
woman,20
woman,42
woman,34
woman,22
woman,28
woman,19
woman,36
woman,26
woman,52
woman,28
woman,40
woman,33
woman,32
man,56
man,51
woman,51
man,55
woman,35
woman,20
woman,34
woman,27
woman,49
woman,21
woman,57
woman,40
man,33
woman,49
woman,33
woman,18
woman,35
woman,23
man,48
woman,34
woman,39
woman,39
woman,42
woman,33
man,32
woman,33
woman,43
woman,45
woman,54
woman,19
woman,28
woman,44
woman,58
man,29
woman,40
woman,57
