IE,atxekimendua,integrazioa
10,10,25
8,0,14
10,2,17
7,1,15
11,5,23
12,3,20
6,1,12
12,2,19
10,4,14
6,7,13
6,2,13
3,0,9
19,8,26
12,1,9
5,2,14
11,3,15
4,1,14
8,0,15
8,2,15
8,3,16
3,0,10
10,3,14
12,5,20
4,2,16
12,3,17
7,6,22
2,1,13
9,3,13
11,0,13
2,2,12
3,0,12
15,4,18
3,0,13
11,2,13
9,3,15
11,2,13
10,2,16
14,5,20
11,1,18
11,0,16
13,1,12
12,0,16
10,2,15
11,2,15
13,2,16
6,5,17
10,0,16
11,0,17
9,1,14
3,5,20
0,1,11
9,2,15
8,2,13
12,2,17
4,4,16
13,2,15
2,1,12
14,3,18
14,1,15
4,3,15
10,0,17
8,1,13
8,7,17
7,2,15
10,1,18
5,4,16
5,0,10
15,4,19
9,6,18
3,1,13
11,3,18
11,4,13
6,10,22
8,1,16
5,4,15
10,2,16
15,2,17
8,11,20
9,10,18
8,2,14
12,3,11
10,1,17
18,4,19
16,2,16
14,1,20
7,2,15
4,6,18
9,7,19
5,1,14
6,2,16
9,7,25
5,0,13
7,1,13
11,2,17
7,1,14
9,3,16
11,4,19
7,6,15
7,2,7
8,5,18
4,3,14
9,4,19
9,3,14
9,2,16
2,7,18
17,3,18
19,4,19
11,1,12
8,2,16
4,2,13
6,0,14
2,5,16
7,5,18
1,3,13
0,2,9
13,7,20
14,4,22
15,1,14
3,0,16
3,3,14
8,5,22
7,5,18
14,1,19
5,6,18
10,11,21
14,2,17
11,7,18
13,4,22
7,3,15
6,2,16
12,8,19
11,3,19
11,1,17
3,3,10
12,4,21
8,4,19
18,1,18
8,7,20
8,4,18
9,6,14
12,6,15
11,2,17
1,5,11
8,3,17
4,10,21
4,6,15
6,0,10
12,3,17
12,8,17
8,1,15
8,6,18
12,7,21
13,3,11
12,2,19
6,4,16
3,1,13
14,3,19
3,3,13
12,11,24
5,3,14
8,1,17
7,3,15
9,1,15
5,10,25
11,2,12
12,6,25
13,2,16
9,1,11
11,0,19
10,4,19
2,1,14
11,5,20
7,2,19
8,1,11
6,7,21
11,1,18
2,1,12
4,1,14
9,1,16
7,7,23
16,8,19
20,5,22
5,4,15
8,1,15
15,1,17
9,3,14
8,6,21
10,2,14
7,4,18
6,3,15
7,2,12
10,2,17
14,4,22
8,0,13
16,4,21
5,1,10
9,5,18
11,6,19
10,11,24
8,1,17
