edad,sexo,AQ,miedo,perseverancia
20,masculino,15,8,11
24,femenino,21,12,11
22,masculino,12,6,9
19,masculino,17,8,19
21,femenino,18,14,17
26,femenino,4,9,15
19,masculino,15,11,19
22,masculino,17,4,5
19,femenino,15,7,16
21,masculino,16,7,10
32,femenino,19,13,14
22,masculino,10,8,12
19,masculino,17,8,20
23,femenino,26,14,20
19,femenino,16,9,18
22,masculino,20,10,14
24,femenino,20,10,11
23,femenino,10,14,13
19,femenino,17,13,19
20,masculino,23,13,17
29,femenino,11,11,7
19,femenino,12,12,11
20,femenino,16,10,12
20,femenino,13,16,20
19,femenino,18,11,19
20,femenino,19,11,12
19,femenino,9,7,15
21,femenino,19,11,19
19,femenino,20,11,16
21,femenino,9,12,18
25,femenino,12,12,16
20,femenino,12,11,16
19,femenino,6,9,12
25,masculino,21,11,17
24,femenino,21,15,15
22,masculino,10,5,10
22,femenino,22,13,17
24,masculino,9,10,13
19,femenino,9,11,17
20,femenino,12,11,15
39,masculino,9,8,5
20,masculino,12,8,14
37,femenino,14,13,12
19,masculino,7,7,13
23,femenino,10,12,7
20,masculino,14,7,9
19,femenino,9,8,10
41,masculino,21,17,18
25,femenino,27,12,13
19,femenino,16,9,17
19,masculino,19,9,17
21,masculino,9,7,8
19,femenino,16,8,9
23,femenino,22,10,8
19,femenino,15,9,17
33,masculino,18,11,8
23,femenino,19,13,18
19,masculino,12,10,8
20,femenino,13,14,18
19,masculino,15,7,13
19,masculino,14,9,10
25,femenino,16,7,12
20,femenino,18,6,18
23,femenino,6,11,18
33,masculino,10,9,10
19,femenino,16,8,14
22,masculino,17,6,8
19,femenino,17,12,18
20,femenino,20,8,13
20,masculino,16,8,9
19,masculino,18,8,12
26,femenino,26,14,18
23,femenino,12,9,18
20,masculino,14,7,11
19,masculino,16,10,14
20,masculino,15,6,11
19,masculino,17,9,17
21,femenino,25,15,20
21,femenino,7,16,17
21,femenino,10,11,15
19,femenino,11,12,20
22,femenino,19,10,20
23,femenino,24,16,15
20,femenino,9,11,17
35,femenino,14,12,17
20,femenino,15,14,12
27,femenino,9,11,17
20,femenino,16,10,20
38,femenino,16,9,4
23,femenino,18,12,15
21,masculino,19,9,14
20,femenino,25,7,9
21,femenino,13,12,17
20,femenino,16,15,18
19,femenino,22,10,18
36,femenino,9,6,13
20,femenino,11,11,16
21,femenino,13,13,15
23,femenino,15,6,13
24,femenino,15,14,19
20,femenino,15,6,12
19,femenino,18,9,13
25,femenino,25,11,11
21,femenino,11,7,10
21,femenino,18,15,20
21,femenino,19,8,16
21,femenino,14,9,12
20,femenino,16,13,15
26,femenino,18,12,13
26,femenino,5,7,9
