region,ave,FID
America-Australia,Acanthagenys rufogularis,9.2
America-Australia,Acanthiza chrysorrhoa,6.6
America-Australia,Acanthiza lineata,4.2
America-Australia,Acanthiza nana ,6.3
America-Australia,Acanthiza pusilla,4.3
America-Australia,Acanthiza reguloides ,4.3
America-Australia,Acanthorhynchus tenuirostris ,5.6
America-Australia,Accipiter novaehollandiae,24.6
America-Australia,Acridotheres tristis,11.6
America-Australia,Acrocephalus stentoreus,11.5
America-Australia,Aguila chrysaetos,225
America-Australia,Ailuroedus crassirostris ,9.7
America-Australia,Ailuroedus melanotis,18.7
America-Australia,Alectura lathami ,12
America-Australia,Alisterus scapularis,8.7
America-Australia,Anas castanea,80.1
America-Australia,Anas gracilis,78
America-Australia,Anas platyrhynchos,12.8
America-Australia,Anas rhynchotis,19.2
America-Australia,Anas superciliosa,107.5
America-Australia,Anhinga melanogaster ,24
America-Australia,Anhinga novaehollandiae,38
America-Australia,Anser albifrons elgasi,47
America-Australia,Anthochaera carunculata ,8.7
America-Australia,Anthochaera chrysoptera,7.3
America-Australia,Anthus novaeseelandiae ,12.4
America-Australia,Aphelocoma californica ,15
America-Australia,Aprosmictus erythropterus,32.3
America-Australia,Ardea alba,39.9
America-Australia,Ardea herodias,15
America-Australia,Ardea modesta,57
America-Australia,Ardea novaehollandiae,33.23
America-Australia,Ardea pacifica,63.4
America-Australia,Arenaria interpres,29.66
America-Australia,Artamus cinereus,11.8
America-Australia,Artamus leucorynchus,15.8
America-Australia,Aviceda subcristata,18
America-Australia,Aythya australis,87.2
America-Australia,Baeolophus inornatus ,11.7
America-Australia,Barnardius zonarius,14.1
America-Australia,Biziura lobata,69.9
America-Australia,Botaurus poiciloptilus,10
America-Australia,Bubulcus ibis,23.4
America-Australia,Burhinus grallarius ,25.9
America-Australia,Buteo regalis,63
America-Australia,Butorides striata,31.7
America-Australia,Cacatua galerita ,15.3
America-Australia,Cacatua roseicapilla ,8.9
America-Australia,Cacatua sanguinea,20
America-Australia,Cacatua tenuirostris,3.8
America-Australia,Cacomantis flabelliformis ,10.6
America-Australia,Cacomantis pallidus,8.5
America-Australia,Calamanthus fuliginosus,8.6
America-Australia,Caldris acuminata,20.29
America-Australia,Caldris alba,32
America-Australia,Caldris ferruginea,25.19
America-Australia,Caldris melanotos,23
America-Australia,Caldris ruficollis,18.73
America-Australia,Calidris canutus,21.3
America-Australia,Calidris mauri,10
America-Australia,Calidris minutilla ,9.2
America-Australia,Calidris ruficollis,20
America-Australia,Callocephalon fimbriatum,7.5
America-Australia,Calypte anna ,6.7
America-Australia,Calyptorhynchus banksii,10.9
America-Australia,Calyptorhynchus funereus,11.7
America-Australia,Carpodacus mexicanus ,9.6
America-Australia,Catoptrophorus semipalmatus,17
America-Australia,Centropus phasianinus,30.5
America-Australia,Cereopsis novaehollandiae,82.6
America-Australia,Certhia brachydactyla ,7.2
