nombre,peso,altura
A.C. Green,99.7903214,205.74
A.J. Bramlett,102.965468,208.28
A.J. English,79.37866475,190.5
A.J. Guyton,81.6466266,185.42
A.J. Price,82.10021897,187.96
A.J. Wynder,81.6466266,187.96
A.W. Holt,95.2543977,200.66
Aaron Brooks,73.02837157,182.88
Aaron Gray,122.4699399,213.36
Aaron James,95.2543977,203.2
Aaron McKie,94.80080533,195.58
Aaron Miles,79.37866475,185.42
Aaron Swinson,104.3262451,195.58
Aaron Williams,99.7903214,205.74
Abdul Jeelani,95.2543977,203.2
Acie Earl,108.8621688,208.28
Acie Law,88.45051215,190.5
Adam Harrington,90.718474,195.58
Adam Keefe,104.3262451,205.74
Adam Morrison,92.98643585,203.2
Adonal Foyle,113.3980925,208.28
Adonis Jordan,77.1107029,180.34
Adonis Thomas,90.718474,200.66
Adrian Branch,83.91458845,200.66
Adrian Caldwell,120.2019781,203.2
Adrian Dantley,94.34721296,195.58
Adrian Griffin,98.42954429,195.58
Adrian Smith,81.6466266,185.42
Al Attles,79.37866475,182.88
Al Bianchi,83.91458845,190.5
Al Butler,79.37866475,187.96
Al Carlson,106.594207,210.82
Al Eberhard,102.0582833,198.12
Al Ferrari,86.1825503,193.04
Al Fleming,97.52235955,200.66
Al Hairston,77.1107029,185.42
Al Harrington,104.3262451,205.74
Al Henry,86.1825503,205.74
Al Horford,111.1301307,208.28
Al Jackson,83.91458845,185.42
Al Jefferson,120.2019781,208.28
Al Roges,88.45051215,193.04
Al Skinner,86.1825503,190.5
Al Thornton,99.7903214,203.2
Al Tucker,86.1825503,203.2
Al Wood,87.54332741,198.12
Al-Farouq Aminu,97.52235955,205.74
Alaa Abdelnaby,108.8621688,208.28
Alan Anderson,99.7903214,198.12
Alan Hardy,88.45051215,200.66
Alan Henderson,106.594207,205.74
Alan Ogg,108.8621688,218.44
Alando Tucker,92.98643585,198.12
Albert King,86.1825503,198.12
Alec Burks,88.45051215,198.12
Alec Kessler,104.3262451,210.82
Aleksandar Djordjevic,89.81128926,187.96
Aleksandar Radojevic,113.3980925,220.98
Alex Acker,83.91458845,195.58
Alex Blackwell,113.3980925,198.12
Alex Bradley,97.52235955,198.12
Alex English,86.1825503,200.66
Alex Garcia,99.7903214,190.5
Alex Hannum,95.2543977,200.66
Alex Len,115.6660544,215.9
Alex Scales,83.91458845,193.04
Alex Stivrins,99.7903214,203.2
Alexander Johnson,108.8621688,205.74
Alexander Volkov,98.88313666,208.28
Alexey Shved,86.1825503,198.12
Alexis Ajinca,99.7903214,213.36
Alfred McGuire,81.6466266,187.96
Alfredrick Hughes,97.52235955,195.58
Allan Bristow,95.2543977,200.66
Allan Houston,90.718474,198.12
Allan Ray,86.1825503,187.96
Allen Crabbe,95.2543977,198.12
Allen Iverson,74.84274105,182.88
Allen Leavell,77.1107029,185.42
Allen Murphy,86.1825503,195.58
Allie McGuire,79.37866475,190.5
Alonzo Bradley,86.1825503,198.12
Alonzo Gee,99.7903214,198.12
Alonzo Mourning,108.8621688,208.28
Alphonso Ford,86.1825503,185.42
Alton Ford,124.7379018,205.74
Alton Lister,108.8621688,213.36
Alvan Adams,95.2543977,205.74
Alvin Heggs,102.0582833,203.2
Alvin Jones,120.2019781,210.82
Alvin Robertson,83.91458845,190.5
Alvin Scott,83.91458845,200.66
Alvin Sims,106.594207,193.04
Alvin Williams,83.91458845,195.58
Amal McCaskill,106.594207,210.82
Amar'e Stoudemire,111.1301307,208.28
Amir Johnson,95.2543977,205.74
Anderson Varejao,104.3262451,208.28
Andrae Patterson,107.9549841,205.74
Andray Blatche,106.594207,210.82
Andre Barrett,78.01788764,177.8
Andre Brown,111.1301307,205.74
Andre Drummond,122.4699399,208.28
Andre Emmett,104.3262451,195.58
Andre Iguodala,93.89362059,198.12
Andre McCarter,86.1825503,190.5
Andre Miller,90.718474,187.96
Andre Moore,97.52235955,205.74
Andre Owens,90.718474,193.04
Andre Roberson,95.2543977,200.66
Andre Spencer,95.2543977,198.12
