"contexto","transcripción","tema","definición","Fuente","Categoría.Evaluativa","Notas"
"<p class=""p1"">La conversación,  ocurre en la película ""<i>El Asedio de Jatsonville"",</i> ambientada en la región de <span class=""s1"">Katanga, en el Congo</span>, durante los años 60. Es la primera conversación de la película de hecho y tiene relación con las disputas sobre el control de minas de uranio, en un período de tensiones políticas y conflictos por recursos estratégicos. Un prisionero (P) es interrogado por un oficial (I) en un escenario bélico. La conversación ocurre justo antes de la ejecución del prisionero, en un contexto de disputa sobre la propiedad de los recursos de la región.</p>","<p class=""p1"">P:  Todo lo que está bajo esta tierra pertenece a nuestro pueblo. No pertenece a los belgas. No pertenece a los americanos. No te pertenece a ti, ‘mon frère’.</p>
<p class=""p1"">I: Esa es una manera de verlo. Aquí tienes otra.</p>","Patriotismo","<p>Se defiende la propiedad de los recursos naturales en función del interés colectivo de su comunidad del lugar.</p>","ficticia","Inusual","<p class=""p1"">El nivel evaluativo se considera “inusual” porque, aunque la situación se basa en hechos históricos reales, es <span class=""s1"">extraordinaria y dramatizada</span> para fines narrativos de la película. Aún así, la conversación refleja razonamientos sociales y políticos intensos que, aunque posibles, <span class=""s1"">no ocurren de manera cotidiana.</span></p>"
"<p>La conversación ocurre entre una madre (M) y su hija (H) a través de una llamada telefónica. La madre está sentada en un banco, mientras que su hija está en casa cuidando de su niña (Pepi).</p>","<p>M: Me gustaría saludar a Pepi si está disponible.</p>
<p>H: Sí, claro, está aquí al lado, toma.</p>
<p>Pepi: ¡Hola, abuela!</p>","Relaciones familiares","<p>Personas se ponen en contacto con su familia para saludar y mantener un contacto cercano y frecuente.</p>","real","Verosímil","<p>El nivel evaluativo es ""verosímil"" ya que se describe una situación cotidiana, donde familiares cercanos realizan una llamada para preguntar por su vida y salud, lo cual es frecuente en la mayoría de personas con conexiones estrechas con su familia.</p>"
"<p>Esta conversación pertenece al libro ""El principito"" de <span>Antoine de Saint-Exupéry, un libro clásico acerca de un principito (P) que vive en un planeta lejano, el cual el protagonista y narrador (N) empieza a conocer tras sufrir este una avería en su vehículo mientras viajaba por el desierto. El principito le cuenta diferentes cosas acerca de los planetas y lugares que ha visitado en sus viajes. En este fragmento, el principito le cuenta acerca de la puesta de sol de uno de los planetas lejanos en el que estuvo al narrador. </span></p>","<p>P: ¡Un día vi ponerse el sol cuarenta y tres veces!</p>
<p>P: ¿Sabes? Cuando uno está verdaderamente triste le gusta ver las puestas de sol.</p>
<p>N: El día que la viste cuarenta y tres veces estabas muy triste ¿verdad?</p>","Contemplación","<p>Se expresa la acción de observar las puestas de sol, lo cual puede ser una simple acción humana de mirar la naturaleza que nos rodea, pero también puede consistir en reflexionar acerca del paso del tiempo, de la soledad o de la tristeza que puede traernos la vida por mucho que intentemos buscar eso que deseamos.</p>","ficticia","Fantástico","<p>""El principito"", en particular las aventuras que se cuentan, está ambientando en un mundo ficticio y fantástico, pues aparecen numerosos fenómenos irreales, como animales y plantas hablando, personas viviendo en planetas imaginarios, entre otros. Sin embargo, las conversaciones que suceden a lo largo de todo el libro transceden ese contexto para mostrar problemas, reflexiones y relaciones que les podría ocurrir a cualquier persona en su propia realidad.</p>"
"<p>Esta conversación pertenece a un fragmento de la primera temporada de la serie ""<em>The</em> <em>Blacklist""</em>. En ella una nueva agente del FBI (Elizabeth Keen) se ha incorporado al equipo como requisito del cuarto hombre más buscado del mundo (Raymond Reddington) por motivos desconocidos. Ambos han iniciado una misión para reunirse con el asesino Wujing y detenerlo. Los agentes Ressler (R) y Malik (M) les rastrean hasta que pierden su señal cuando se adentran en el edificio. </p>","<p>M: Puede que hayan construido un búnker más profundo bajo el edificio. </p>
<p>R: Nos están engañando. La señal se perdió porque Reddington y Elizabeth han querido.</p>
<p>M: No lo creo.</p>
<p>R: ¿Cuánto vamos a esperar?</p>
<p>M: Puede que estén en peligro.</p>
<p>R: Otro motivo para no esperar. Que todos los equipos de asalto estén preparados si no tenemos noticias de la agente Keen en 5 minutos.</p>","Rescate policial","<p>Operación llevada a cabo por fuerzas policiales para salvar a personas que se encuentran en una situación de peligro. </p>","ficticia","Verosímil","<p>A pesar de ser una escena ""fantástica"" al tratarse de una serie de ficción, puede resultar verosímil en contextos de operaciones policiales. Se plantea el dilema de si esperar o intervenir, lo cual es una dinámica plausible en la gestión de crisis policiales. </p>"
"<p>La conversación ocurre en una parada de bus entre tres estudiantes universitarios; un chico (C), una chica rubia (R) y otra chica morena (M). Acaban de salir de la clase y están comentando la impresión que han tenido los tres sobre una misma compañera. Comentan que solo han interactuado una vez antes de esa misma clase.</p>","<p>M: Hoy nos ha vuelto a mirar mal.</p>
<p>R: Hay que ver si es porque es su cara o por lo de la croqueta.</p>
<p>C: ¿Pero habéis hablado algo más o ha pasado algo más?</p>
<p>R: No.</p>
<p>M: Pues que rara.</p>","Interacciones personales ","<p><span class=""svelte-1sntxl4"">P</span><span class=""qa-highlight svelte-1sntxl4""><span class=""svelte-1sntxl4"">roceso de comunicación y conexión recíproca entre dos o más personas, d<span>onde se intercambian mensajes, emociones y sentimientos a través de la palabra.</span></span></span></p>","real","Verosímil","<p>Se puede notar en la conversación la sorpresa del chico, ya que no comprende la reacción o los gestos corporales de esta tercera persona hacia ellos, aparentemente sin motivación. Tampoco sabemos que involucra la croqueta, pero las reacciones de las personas involucradas en la conversación dejan mostrar que para ellos no justifica las malas caras de esta tercera persona. </p>"
"<p>La conversación es un extracto de ""Clair Obscur: Expedition 33"", un videojuego de rol de fantasía oscura. Hace 67 años una catástrofe asoló a los habitantes del continente, obligándolos durante años a tratar de parar a La Pintora, responsable de la muerte de los supervivientes año tras año. Los expedicionistas, un grupo de personas preparadas y entrenadas para luchar, tratan de pararla. Éste fragmento es en el momento en el que la expedición 33, la primera en llegar hasta La Pintora, duda de su objetivo al ver que todavía no puede cumplirlo.</p>","<p>L: ¡Nuestros ataques no le hacen nada!</p>
<p>V: No lo entiendo, los ataques de gradiente deberían funcionar... Espera, Maelle.</p>
<p>M: No creo que esto sea...</p>","Duda","<p>Vacilación del ánimo respecto a creencias previamente establecidas o acordadas. </p>","ficticia","Fantástico","<p>El juego juega (redundantemente) con la perspectiva de la persona acerca de los hechos, manejando la información que te da de manera milimétrica. En este momento, la emoción de ser los primeros en llegar hasta La Pintora se ve pronto opacada por más dudas y preguntas acerca de si realmente lo que los protagonistas ven y creen es o no o correcto o si siquiera es cierto. </p>"
"<p>La conversación es parte de una escena de Harry Potter y las Reliquias de la Muerte 2. En esta escena Harry Potter se dirige al ""pensadero"" y derrama una lágrima de Snape obtenida tras haber sido asesinado por Nagini (serpiente de Voldermort y uno de los horocruxes que debían destruir). </p>
<p>En el ""pensadero"" se muestran los recuerdos de Snape, siendo uno de ellos un encuentro entre Dumbledore y este hablando a solas en el cual Snape le enseña su Patronum a Dumbledore, el cual coincide con el de Lily (la madre de Harry Potter). </p>","<p>D: No me digas que le has cogido cariño al chico.</p>
<p> </p>
<p>S: Expecto Patronum.</p>
<p> </p>
<p>D: Lily.</p>
<p> </p>
<p>D: ¿Después de todo este tiempo?</p>
<p> </p>
<p>S: Siempre.</p>","Declaración","<p>Al mostrarle el Patronum a Dumbledore se puede observar como Snape hace una declaración de amor hacia Lily, el cual ha perdurado durante muchos años y como también se preocupaba por Harry Potter aunque durante las películas previas parecía que no era así.</p>","ficticia","Fantástico","<p>Aunque una declaración de amor se pueda realizar en la vida cotidiana, tanto el Patronum como el que Harry pudiese ver el recuerdo en un pensador lo convierte en algo ficticio.</p>"
"<p>La conversación ocurre en Mamma Mia! cuando Sophie habla con Donna (su madre). Sophie está a punto de casarse y confiesa sus dudas sobre la boda. En este momento, madre e hija hablan a solas, y Donna intenta aconsejarla desde su experiencia. </p>","<p>S: Mamá, ¿y si me estoy equivocando?</p>
<p>D: ¿Equivocándote? Cariño, todo el mundo se siente nervioso antes de casarse. </p>
<p>S: No sé si estoy lista para esto. </p>
<p>D: Nadie está completamente listo. Pero si amas de cerdad, lo demás se acomoda.</p>","Dudas sobre el compromiso","<p>La conversación refleja la inseguridad y la ansiedad que pueden surgir ante decisiones transcendentales, como el matrimonio. Más allá del evento específico, en esta conversación se aborda la tensión entre el deseo de dar un paso importante y el miedo a equivocarse, algo común en procesos de transición vital.</p>","ficticia","Verosímil","<p>Aunque se trata de un diálogo ficticio dentro de un musical, la situación es totalmente realista y verosímil, ya que muchas personas enfrentan inseguridades similares antes de casarse o comprometerse en relaciones importantes.</p>"
"<p>La conversación ocurre en la cafetería del aulario entre dos amigas (A y B). Mientras esperan a que les sirvan el café, hablan sobre una tarea que tienen que entregar para la siguiente semana.</p>","<p>A: ¿Ya has empezado con la tarea del martes que viene?</p>
<p>B: Sí, pero solo tengo terminado el primer apartado, es muy muy largo. </p>
<p>A: Es larguísimo sí, además todavía no entiendo bien que pide la tercera parte. </p>
<p>B: Yo tampoco, quizás podamos preguntar al profe mañana que tenemos clase de teoría. </p>
<p>A: Sí, mejor, porque si no vamos a perder tiempo haciendo mal las cosas.</p>","Tareas académicas","<p>El tema de conversación gira en torno a una tarea de la universidad y cómo organizarse o buscar la solución para avanzar de manera correcta y eficiente.</p>","real","Verosímil","<p>Es una conversación muy frecuente entre estudiantes y sobre todo, en entornos universitarios donde la gente habla sobre sus clases y tareas. </p>"
"<p>La conversación ocurre en el libro ""The Ring"" escrito por Koji Suzuki. ""Y"" es un trabajador del club de prensa del ayuntamiento y ""A"" es un periodista que visita a ""Y"" para preguntarle sobre un caso.</p>","<p>Y: ¿Qué es lo que quieres saber?</p>
<p>A: ¿Han decidido la causa de la muerte?</p>
<p>""Y"" negó con la cabeza</p>
<p>Y: basicamente están diciendo que se les pararon los corazones de repente. Y no tienen ni idea de por qué.</p>
<p>A: ¿Y la posibilidad de un asesinado? Estrangulamiento, por ejemplo.</p>
<p>Y: Imposible. No tenían marcas en el cuello.</p>
<p>A: ¿Drogas?</p>
<p>Y: No hay restos en la autopsia</p>
<p>A: En otras palabras, el caso no está resuelto</p>","Investigación ","<p>El fragmento cuenta la investigación de varias muertes sin resolver, dónde se quiere identificar la causa de la muerte y si han sido asesinatos o no. </p>","ficticia","Inusual",""
