"","name","weight","height"
"1","A.C. Green",99.7903214,205.74
"2","A.J. Bramlett",102.96546799,208.28
"3","A.J. English",79.37866475,190.5
"4","A.J. Guyton",81.6466266,185.42
"5","A.J. Price",82.10021897,187.96
"6","A.J. Wynder",81.6466266,187.96
"7","A.W. Holt",95.2543977,200.66
"8","Aaron Brooks",73.02837157,182.88
"9","Aaron Gray",122.4699399,213.36
"10","Aaron James",95.2543977,203.2
"11","Aaron McKie",94.80080533,195.58
"12","Aaron Miles",79.37866475,185.42
"13","Aaron Swinson",104.3262451,195.58
"14","Aaron Williams",99.7903214,205.74
"15","Abdul Jeelani",95.2543977,203.2
"16","Acie Earl",108.8621688,208.28
"17","Acie Law",88.45051215,190.5
"18","Adam Harrington",90.718474,195.58
"19","Adam Keefe",104.3262451,205.74
"20","Adam Morrison",92.98643585,203.2
"21","Adonal Foyle",113.3980925,208.28
"22","Adonis Jordan",77.1107029,180.34
"23","Adonis Thomas",90.718474,200.66
"24","Adrian Branch",83.91458845,200.66
"25","Adrian Caldwell",120.20197805,203.2
"26","Adrian Dantley",94.34721296,195.58
"27","Adrian Griffin",98.42954429,195.58
"28","Adrian Smith",81.6466266,185.42
"29","Al Attles",79.37866475,182.88
"30","Al Bianchi",83.91458845,190.5
"31","Al Butler",79.37866475,187.96
"32","Al Carlson",106.59420695,210.82
"33","Al Eberhard",102.05828325,198.12
"34","Al Ferrari",86.1825503,193.04
"35","Al Fleming",97.52235955,200.66
"36","Al Hairston",77.1107029,185.42
"37","Al Harrington",104.3262451,205.74
"38","Al Henry",86.1825503,205.74
"39","Al Horford",111.13013065,208.28
"40","Al Jackson",83.91458845,185.42
"41","Al Jefferson",120.20197805,208.28
"42","Al Roges",88.45051215,193.04
"43","Al Skinner",86.1825503,190.5
"44","Al Thornton",99.7903214,203.2
"45","Al Tucker",86.1825503,203.2
"46","Al Wood",87.54332741,198.12
"47","Al-Farouq Aminu",97.52235955,205.74
"48","Alaa Abdelnaby",108.8621688,208.28
"49","Alan Anderson",99.7903214,198.12
"50","Alan Hardy",88.45051215,200.66
"51","Alan Henderson",106.59420695,205.74
"52","Alan Ogg",108.8621688,218.44
"53","Alando Tucker",92.98643585,198.12
"54","Albert King",86.1825503,198.12
"55","Alec Burks",88.45051215,198.12
"56","Alec Kessler",104.3262451,210.82
"57","Aleksandar Djordjevic",89.81128926,187.96
"58","Aleksandar Radojevic",113.3980925,220.98
"59","Alex Acker",83.91458845,195.58
"60","Alex Blackwell",113.3980925,198.12
"61","Alex Bradley",97.52235955,198.12
"62","Alex English",86.1825503,200.66
"63","Alex Garcia",99.7903214,190.5
"64","Alex Hannum",95.2543977,200.66
"65","Alex Len",115.66605435,215.9
"66","Alex Scales",83.91458845,193.04
"67","Alex Stivrins",99.7903214,203.2
"68","Alexander Johnson",108.8621688,205.74
"69","Alexander Volkov",98.88313666,208.28
"70","Alexey Shved",86.1825503,198.12
"71","Alexis Ajinca",99.7903214,213.36
"72","Alfred McGuire",81.6466266,187.96
"73","Alfredrick Hughes",97.52235955,195.58
"74","Allan Bristow",95.2543977,200.66
"75","Allan Houston",90.718474,198.12
"76","Allan Ray",86.1825503,187.96
"77","Allen Crabbe",95.2543977,198.12
"78","Allen Iverson",74.84274105,182.88
"79","Allen Leavell",77.1107029,185.42
"80","Allen Murphy",86.1825503,195.58
"81","Allie McGuire",79.37866475,190.5
"82","Alonzo Bradley",86.1825503,198.12
"83","Alonzo Gee",99.7903214,198.12
"84","Alonzo Mourning",108.8621688,208.28
"85","Alphonso Ford",86.1825503,185.42
"86","Alton Ford",124.73790175,205.74
"87","Alton Lister",108.8621688,213.36
"88","Alvan Adams",95.2543977,205.74
"89","Alvin Heggs",102.05828325,203.2
"90","Alvin Jones",120.20197805,210.82
"91","Alvin Robertson",83.91458845,190.5
"92","Alvin Scott",83.91458845,200.66
"93","Alvin Sims",106.59420695,193.04
"94","Alvin Williams",83.91458845,195.58
"95","Amal McCaskill",106.59420695,210.82
"96","Amar'e Stoudemire",111.13013065,208.28
"97","Amir Johnson",95.2543977,205.74
"98","Anderson Varejao",104.3262451,208.28
"99","Andrae Patterson",107.95498406,205.74
"100","Andray Blatche",106.59420695,210.82
"101","Andre Barrett",78.01788764,177.8
"102","Andre Brown",111.13013065,205.74
"103","Andre Drummond",122.4699399,208.28
"104","Andre Emmett",104.3262451,195.58
"105","Andre Iguodala",93.89362059,198.12
"106","Andre McCarter",86.1825503,190.5
"107","Andre Miller",90.718474,187.96
"108","Andre Moore",97.52235955,205.74
"109","Andre Owens",90.718474,193.04
"110","Andre Roberson",95.2543977,200.66
"111","Andre Spencer",95.2543977,198.12
"112","Andre Turner",72.5747792,180.34
"113","Andre Wakefield",79.37866475,190.5
"114","Andrea Bargnani",102.05828325,213.36
"115","Andreas Glyniadakis",127.0058636,215.9
"116","Andrei Kirilenko",99.7903214,205.74
"117","Andres Guibert",102.05828325,208.28
"118","Andres Nocioni",102.05828325,200.66
"119","Andrew Bogut",111.13013065,213.36
"120","Andrew Bynum",129.27382545,213.36
"121","Andrew DeClercq",104.3262451,208.28
"122","Andrew Gaze",92.98643585,200.66
"123","Andrew Goudelock",90.718474,190.5
"124","Andrew Lang",111.13013065,210.82
"125","Andrew Nicholson",113.3980925,205.74
"126","Andrew Toney",80.73944186,190.5
"127","Andris Biedrins",108.8621688,210.82
"128","Andy Johnson",97.52235955,195.58
"129","Andy Panko",100.69750614,205.74
"130","Andy Phillip",88.45051215,187.96
"131","Andy Rautins",86.1825503,193.04
"132","Andy Toolson",95.2543977,198.12
"133","Andy Walker",86.1825503,193.04
"134","Anfernee Hardaway",88.45051215,200.66
"135","Ansu Sesay",102.05828325,205.74
"136","Antawn Jamison",101.15109851,203.2
"137","Anthony Avent",106.59420695,205.74
"138","Anthony Bennett",108.8621688,203.2
"139","Anthony Bonner",97.52235955,203.2
"140","Anthony Bowie",86.1825503,198.12
"141","Anthony Carter",86.1825503,185.42
"142","Anthony Cook",92.98643585,205.74
"143","Anthony Davis",99.7903214,208.28
"144","Anthony Frederick",92.98643585,200.66
"145","Anthony Goldwire",82.55381134,185.42
"146","Anthony Grundy",81.6466266,190.5
"147","Anthony Johnson",86.1825503,190.5
"148","Anthony Jones",88.45051215,198.12
"149","Anthony Mason",113.3980925,200.66
"150","Anthony Miller",102.05828325,205.74
"151","Anthony Morrow",95.2543977,195.58
"152","Anthony Parker",97.52235955,198.12
"153","Anthony Peeler",94.34721296,193.04
"154","Anthony Pullard",111.13013065,208.28
"155","Anthony Randolph",92.98643585,208.28
"156","Anthony Roberson",81.6466266,187.96
"157","Anthony Roberts",83.91458845,195.58
"158","Anthony Taylor",79.37866475,193.04
"159","Anthony Tolliver",108.8621688,203.2
"160","Anthony Tucker",99.7903214,203.2
"161","Antoine Carr",102.05828325,205.74
"162","Antoine Rigaudeau",95.2543977,200.66
"163","Antoine Walker",101.60469088,203.2
"164","Antoine Wright",95.2543977,200.66
"165","Antonio Anderson",97.52235955,198.12
"166","Antonio Burks",90.718474,185.42
"167","Antonio Daniels",88.45051215,193.04
"168","Antonio Davis",97.52235955,205.74
"169","Antonio Harvey",102.05828325,210.82
"170","Antonio Lang",92.98643585,203.2
"171","Antonio McDyess",99.7903214,205.74
"172","Antonis Fotsis",99.33672903,208.28
"173","Archie Clark",79.37866475,187.96
"174","Archie Dees",92.98643585,203.2
"175","Archie Goodwin",89.81128926,195.58
"176","Arinze Onuaku",124.73790175,205.74
"177","Armen Gilliam",104.3262451,205.74
"178","Armon Johnson",88.45051215,190.5
"179","Armond Hill",86.1825503,193.04
"180","Arnett Moultrie",112.94450013,210.82
"181","Arnie Risen",90.718474,205.74
"182","Aron Baynes",117.9340162,208.28
"183","Arron Afflalo",97.52235955,195.58
"184","Art Collins",83.91458845,193.04
"185","Art Harris",83.91458845,193.04
"186","Art Heyman",92.98643585,195.58
"187","Art Long",113.3980925,205.74
"188","Art Spoelstra",99.7903214,205.74
"189","Art Williams",81.6466266,185.42
"190","Artis Gilmore",108.8621688,218.44
"191","Arvid Kramer",99.7903214,205.74
"192","Arvydas Macijauskas",97.06876718,193.04
"193","Arvydas Sabonis",126.55227123,220.98
"194","Ashraf Amaya",104.3262451,203.2
"195","Askia Jones",90.718474,195.58
"196","Audie Norris",104.3262451,205.74
"197","Austin Carr",90.718474,193.04
"198","Austin Croshere",106.59420695,205.74
"199","Austin Daye",90.718474,210.82
"200","Austin Rivers",90.718474,193.04
"201","Avery Bradley",81.6466266,187.96
"202","Avery Johnson",79.37866475,177.8
"203","Awvee Storey",100.69750614,198.12
"204","B.J. Armstrong",79.37866475,187.96
"205","B.J. Tyler",83.91458845,185.42
"206","Bailey Howell",95.2543977,200.66
"207","Barney Cable",79.37866475,200.66
"208","Baron Davis",94.80080533,190.5
"209","Barry Clemens",95.2543977,198.12
