barrio,tot.pop,hombre.esp,mujer.esp,renta.media,ana,sin.est,prim,prof,secun,med.sup,sup,paro,inact,sin.ascen,extr
ABANDO,21733,80.24,86.39,34844,0.128836332,1.223945153,15.25790273,8.986334146,23.23655271,10.15506373,41.0113652,56.19307832,52.17754395,2.819595775,6.619605191
AMETZOLA,11333,81.26,87.34,20979,0.229418512,1.994176299,26.37430513,11.162093,25.13015089,9.864996029,25.24486014,57.81544256,54.18909149,3.038674033,11.51639344
ATXURI,4910,78.25,84.39,15761,0.590631365,3.543788187,36.80244399,15.21384929,21.7107943,6.456211813,15.68228106,59.10543131,45.64741907,42.3566879,9.749455338
BASURTU,12615,79.74,85.71,22380,0.198176774,1.878715815,26.45263575,13.07966706,23.31351566,9.441141498,25.63614744,54.90506329,53.1441494,4.803562908,6.547887536
BEGONA,4594,79.89,89.18,21829,0.174140183,1.480191554,27.23117109,13.60470178,23.48715716,10.64431868,23.37831955,53.33333333,56.24625225,3.132197144,4.936735117
BILBAO VIEJA,3505.9,75.04,84.25,13846,1.054508115,4.964773667,33.3609059,15.77740381,22.49921561,5.977637696,16.36555521,72.58064516,42.99324272,29.51766856,12.99734748
BOLUETA,4103.56,80.2,89.29,14260,0.411350145,3.332715983,41.48397976,17.85571553,21.06073751,4.660343702,11.19515738,58.37320574,51.15873153,21.38778403,8.08982684
CASCO VIEJO,6792.68,76.15,87.82,22830,0.201393265,1.496316623,20.375463,10.59081246,21.99779763,10.25692363,35.08129339,60.27874564,43.25356672,53.59649799,10.56577086
CASTA„OS,5403.4,77.98,86.45,28702,0.114742569,1.082651664,20.52133842,11.78887367,24.36058778,10.26390791,31.86789799,48.42519685,54.29946752,7.693266167,5.665141234
CIUDAD JARDIN,600.3,81.07,87.51,22139,0.149925037,3.5982009,23.38830585,14.69265367,25.33733133,7.496251874,25.33733133,65,48.97959184,85.2173913,4.741980474
ERREKALDEBERRI,23394.89,78.47,86.33,15708,0.678737964,3.744364688,44.13279994,14.88641323,20.72208931,5.181516135,10.65407873,57.14285714,53.45370942,13.64779573,9.500030824
IBARREKOLANDA,9661,79.48,85.94,20190,0.165614326,2.639478315,29.03426146,14.54300797,23.29986544,9.139840596,21.17793189,60.6870229,53.41913177,2.802913264,5.81361092
INDAUTXU,25215,81.44,87.27,33958,0.10707912,1.007336903,15.34007535,8.740828872,24.25936942,11.14812612,39.39718422,53.38842975,55.1734104,1.800289877,5.677897673
ITURRALDE,5333.8,80.63,87.18,18510,0.165548015,2.422663017,28.92834377,14.93213094,23.89478421,8.612996363,21.04353369,61.53846154,49.26547918,23.68267943,9.310589908
LA PENA,6736.31,78.68,85.22,14525,0.753379818,2.848592182,44.93053319,17.06884036,20.6145501,4.463719752,9.320384602,57.58928571,51.82899497,6.904546741,8.236975445
LA RIBERA,385.2,80.21,87.5,15840,0.062305296,0.436137072,23.98753894,13.70716511,21.24610592,12.77258567,27.78816199,55.84415584,51.77752294,24.35174746,4.265129683
LARRASKITU,2357,78.47,86.33,14756,0.381841324,1.866779805,45.6936784,15.91005515,22.48621129,5.345778532,8.315655494,55.88235294,55.64790329,53.84615385,9.038322487
MATIKO,4894.6,81.07,87.51,18083,0.241082009,2.543619499,31.89535406,14.36276713,22.79450823,7.914844931,20.24782413,61.8852459,52.08949078,16.72632607,7.853861299
MIRIBILLA,5931.08,79.17,84.68,24710,0.14365006,1.129642493,20.47586612,18.0041409,20.99111798,12.05648887,27.19909359,50.4398827,40.68016167,0.970249125,3.492245836
OLABEAGA,1116,78.45,87.26,15413,0.358422939,2.0609319,38.44086022,18.01075269,19.89247312,6.541218638,14.6953405,60,48.53057983,41.29213483,6.961506962
OTXARKOAGA,9337.71,75.74,86.22,11172,2.016126009,9.874583811,45.73209063,13.85917961,20.94560658,2.399303469,5.173109895,61.21297602,55.36046315,53.01223994,5.547520661
SAN ADRIAN,5295.92,79.61,86.56,17247,0.443360172,3.455490264,33.8101784,15.29781417,24.92484781,6.890587471,15.17772172,59.11111111,52.71945064,24.02440825,6.145966709
SAN FRANCISCO,6298.1,75.04,84.25,12892,1.620012385,6.620091774,33.49264064,10.82643972,24.61377241,5.151236087,17.67580699,70.32115172,45.59408864,54.68237835,27.81275664
SAN IGNACIO,11417,79.22,87.17,18143,0.306560392,2.785320137,32.69685557,16.81702724,22.41394412,8.312166068,16.66812648,57.85123967,54.05124099,14.27065026,6.614566549
SAN PEDRO DEUSTO,18897.8,80.21,87.5,22799,0.135465504,1.176433236,22.97621945,13.36028532,24.2646234,10.77501085,27.31196224,60.59933407,54.17908641,11.78580428,6.926680352
SANTUTXU,29309.44,80.83,86.27,16113,0.334772688,3.463866932,39.61413115,15.85250349,21.09818543,6.560207223,13.07633309,55.80246914,55.62731604,12.83028442,6.648828599
SOLOKOETXE,5073.52,80.63,87.18,17581,0.325020893,1.973777575,30.39270566,16.26385626,22.57328245,8.571563727,19.89979344,68.49315068,51.40483853,20.9615215,11.03024422
TXURDINAGA,15258.52,79.05,83.59,18378,0.603728278,3.212107072,32.63593061,17.02760163,23.46675824,7.064118932,15.98975523,57.03883495,50.11667873,0.566951925,2.324472524
URIBARRI,11842,80.15,95.5,16072,0.413781456,5.049822665,38.312785,15.56324945,20.88329674,6.215166357,13.56189833,57.61973875,54.38823709,27.13351412,9.415711054
ZORROTZA,10300,78.45,87.26,14788,0.504854369,5.126213592,41.11650485,17.83495146,21.90291262,4.621359223,8.893203883,60.66066066,52.32037898,31.72162654,7.211409095
ZURBARAN,9211.84,79.14,87.09,17865,0.343253899,5.139906902,34.79261472,15.19566124,20.95216591,7.295610866,16.28078647,57.08245243,57.22939467,36.33907276,6.398429833
