neighborhood,men,women,income
Abando,80.24,86.39,34.844
La pena,78.68,85.22,14.525
Ametzola,81.26,87.34,20.979
Atxuri,78.25,84.39,15.761
Basurtu,79.74,85.71,22.38
Begona,79.89,89.18,21.829
Bilbao la Vieja,75.04,84.25,13.846
Bolueta,80.2,89.29,14.26
Casco Viejo,76.15,87.82,22.83
Castanos,77.98,86.45,28.702
Ciudad Jardin,81.07,87.51,22.139
Errekaldeberri,78.47,86.33,15.708
Ibarrekolanda,79.48,85.94,20.19
Indautxu,81.44,87.27,33.958
Iturralde,80.63,87.18,18.51
La Ribera,80.21,87.5,15.84
Larraskitu,78.47,86.33,14.756
Matiko,81.07,87.51,18.083
Miribilla,79.17,84.68,24.71
Olabeaga,78.45,87.26,15.413
Otxarkoaga,75.74,86.22,11.172
San Adrian,79.61,86.56,17.247
San Francisco,75.04,84.25,12.892
San Ignacio,79.22,87.17,18.143
Deustu,80.21,87.5,22.799
Santutxu,80.83,86.27,16.113
Solokoetxe,80.63,87.18,17.581
Txurdinaga,79.05,83.59,18.378
Uribarri,80.15,95.5,16.072
Zorrotza,78.45,87.26,14.788
Zurbaran,79.14,87.09,17.865
