"","region","name","FID"
"1","America-Australia","Acanthagenys rufogularis",9.2
"2","America-Australia","Acanthiza chrysorrhoa",6.6
"3","America-Australia","Acanthiza lineata",4.2
"4","America-Australia","Acanthiza nana ",6.3
"5","America-Australia","Acanthiza pusilla",4.3
"6","America-Australia","Acanthiza reguloides ",4.3
"7","America-Australia","Acanthorhynchus tenuirostris ",5.6
"8","America-Australia","Accipiter novaehollandiae",24.6
"9","America-Australia","Acridotheres tristis",11.6
"10","America-Australia","Acrocephalus stentoreus",11.5
"11","America-Australia","Aguila chrysaetos",225
"12","America-Australia","Ailuroedus crassirostris ",9.7
"13","America-Australia","Ailuroedus melanotis",18.7
"14","America-Australia","Alectura lathami ",12
"15","America-Australia","Alisterus scapularis",8.7
"16","America-Australia","Anas castanea",80.1
"17","America-Australia","Anas gracilis",78
"18","America-Australia","Anas platyrhynchos",12.8
"19","America-Australia","Anas rhynchotis",19.2
"20","America-Australia","Anas superciliosa",107.5
"21","America-Australia","Anhinga melanogaster ",24
"22","America-Australia","Anhinga novaehollandiae",38
"23","America-Australia","Anser albifrons elgasi",47
"24","America-Australia","Anthochaera carunculata ",8.7
"25","America-Australia","Anthochaera chrysoptera",7.3
"26","America-Australia","Anthus novaeseelandiae ",12.4
"27","America-Australia","Aphelocoma californica ",15
"28","America-Australia","Aprosmictus erythropterus",32.3
"29","America-Australia","Ardea alba",39.9
"30","America-Australia","Ardea herodias",15
"31","America-Australia","Ardea modesta",57
"32","America-Australia","Ardea novaehollandiae",33.23
"33","America-Australia","Ardea pacifica",63.4
"34","America-Australia","Arenaria interpres",29.66
"35","America-Australia","Artamus cinereus",11.8
"36","America-Australia","Artamus leucorynchus",15.8
"37","America-Australia","Aviceda subcristata",18
"38","America-Australia","Aythya australis",87.2
"39","America-Australia","Baeolophus inornatus ",11.7
"40","America-Australia","Barnardius zonarius",14.1
"41","America-Australia","Biziura lobata",69.9
"42","America-Australia","Botaurus poiciloptilus",10
"43","America-Australia","Bubulcus ibis",23.4
"44","America-Australia","Burhinus grallarius ",25.9
"45","America-Australia","Buteo regalis",63
"46","America-Australia","Butorides striata",31.7
"47","America-Australia","Cacatua galerita ",15.3
"48","America-Australia","Cacatua roseicapilla ",8.9
"49","America-Australia","Cacatua sanguinea",20
"50","America-Australia","Cacatua tenuirostris",3.8
"51","America-Australia","Cacomantis flabelliformis ",10.6
"52","America-Australia","Cacomantis pallidus",8.5
"53","America-Australia","Calamanthus fuliginosus",8.6
"54","America-Australia","Caldris acuminata",20.29
"55","America-Australia","Caldris alba",32
"56","America-Australia","Caldris ferruginea",25.19
"57","America-Australia","Caldris melanotos",23
"58","America-Australia","Caldris ruficollis",18.73
"59","America-Australia","Calidris canutus",21.3
"60","America-Australia","Calidris mauri",10
"61","America-Australia","Calidris minutilla ",9.2
"62","America-Australia","Calidris ruficollis",20
"63","America-Australia","Callocephalon fimbriatum",7.5
"64","America-Australia","Calypte anna ",6.7
"65","America-Australia","Calyptorhynchus banksii",10.9
"66","America-Australia","Calyptorhynchus funereus",11.7
"67","America-Australia","Carpodacus mexicanus ",9.6
"68","America-Australia","Catoptrophorus semipalmatus",17
"69","America-Australia","Centropus phasianinus",30.5
"70","America-Australia","Cereopsis novaehollandiae",82.6
"71","America-Australia","Certhia brachydactyla ",7.2
"72","America-Australia","Ceyx azureus",11.7
"73","America-Australia","Chalcites basalis",3.5
"74","America-Australia","Chalcophaps indica",14.2
"75","America-Australia","Chamaea fasciata ",5
"76","America-Australia","Charadrius bicinctus",32.14
"77","America-Australia","Charadrius mongolus",16.7
"78","America-Australia","Charadrius ruficapillus",32.75
"79","America-Australia","Chenonetta jubata ",25.5
"80","America-Australia","Chlidonias hybrida",21.4
"81","America-Australia","Circus assimilis",22
"82","America-Australia","Cisticola exilis ",5.2
"83","America-Australia","Cladorhynchus leucocephalus",32.8
"84","America-Australia","Climacteris affinis",3.1
"85","America-Australia","Climacteris picumnus ",5.1
"86","America-Australia","Colluricincla harmonica ",12.8
"87","America-Australia","Columba leucomela",26
"88","America-Australia","Coracina novaehollandiae",21.1
"89","America-Australia","Coracina papuensis",7.1
"90","America-Australia","Corcorax melanorhamphos",16.2
"91","America-Australia","Cormobates leucophaeus ",5.8
"92","America-Australia","Corvus coronoides ",23.8
"93","America-Australia","Corvus orru",19
"94","America-Australia","Coturnix pectoralis",1.9
"95","America-Australia","Coturnix ypsilophora",5.5
"96","America-Australia","Cracticus nigrogularis",9.5
"97","America-Australia","Cracticus tibicen",40.3
"98","America-Australia","Cracticus torquatus ",19.3
"99","America-Australia","Cygnus atratus",78.3
"100","America-Australia","Dacelo leachii",23
"101","America-Australia","Dacelo novaeguineae ",10.5
"102","America-Australia","Dendrocygna eytoni",130
"103","America-Australia","Dendroica coronata ",8
"104","America-Australia","Dendroica petechia",6.5
"105","America-Australia","Dicrurus bracteatus",15.4
"106","America-Australia","Dromaius novaehollandiae",58.7
"107","America-Australia","Ducula bicolor",21.5
"108","America-Australia","Egretta caerulea ",23.02
"109","America-Australia","Egretta garzetta",62.3
"110","America-Australia","Egretta novaehollandiae",46.4
"111","America-Australia","Egretta sacra",31.1
"112","America-Australia","Egretta thula",10
"113","America-Australia","Egretta tricolor ",24.09
"114","America-Australia","Elanus axillaris ",23.1
"115","America-Australia","Elseyornis melanops",24.8
"116","America-Australia","Entomyzon cyanotis",30.8
"117","America-Australia","Eopsaltria australis",9.5
"118","America-Australia","Epthianura albifrons ",22.6
"119","America-Australia","Erythrogonys cinctus",21.2
"120","America-Australia","Eudynamys scolopaceus",4.6
"121","America-Australia","Eurostopodus argus",10.8
"122","America-Australia","Eurystomus orientalis ",25.9
"123","America-Australia","Falco berigora",34.1
"124","America-Australia","Falco cenchroides",43.4
"125","America-Australia","Falco columbarius",76
"126","America-Australia","Falco mexicanus",92
"127","America-Australia","Falco sparverius",44
"128","America-Australia","Falcunculus frontatus",8.5
"129","America-Australia","Fulica atra",72.8
"130","America-Australia","Gallinago hardwickii",62.62
"131","America-Australia","Gallinula tenebrosa ",14.8
"132","America-Australia","Gallinula ventralis",36.8
"133","America-Australia","Gallirallus philippensis",8
"134","America-Australia","Geopelia humeralis ",22.1
"135","America-Australia","Geopelia striata",12.1
"136","America-Australia","Gerygone albogularis",5.1
"137","America-Australia","Gerygone fusca",5.4
"138","America-Australia","Gerygone mouki",4.2
"139","America-Australia","Grallina cyanoleuca",35
"140","America-Australia","Haematopus fuliginosus",64.28
"141","America-Australia","Haematopus longirostris",41.52
"142","America-Australia","Haliastur sphenurus",28.2
"143","America-Australia","Heteromyias albispecularis",9.2
"144","America-Australia","Himantopus himantopus",38
"145","America-Australia","Himantopus mexicanus",17
"146","America-Australia","Hirundo neoxena",10.9
"147","America-Australia","Hylacola pyrrhopygia",11.4
"148","America-Australia","Ixobrychus dubius",12.9
"149","America-Australia","Junco hyemalis ",8.9
"150","America-Australia","Lalage leucomela",38.7
"151","America-Australia","Larus delawarensis",8
"152","America-Australia","Larus dominicanus ",24.4
"153","America-Australia","Larus novaehollandiae",17.19
"154","America-Australia","Larus occidentalis ",17.4
"155","America-Australia","Leucosarcia melanoleuca",18.5
"156","America-Australia","Lewinia pectoralis",4.3
"157","America-Australia","Lichenostomus chrysops ",4.5
"158","America-Australia","Lichenostomus flavus",6.4
"159","America-Australia","Lichenostomus fuscus",14.6
"160","America-Australia","Lichenostomus leucotis",8.8
"161","America-Australia","Lichenostomus penicillatus",16.7
"162","America-Australia","Lichenostomus virescens",12
"163","America-Australia","Lichmera indistincta ",9.8
"164","America-Australia","Limnodromus griseus ",12.7
"165","America-Australia","Limosa fedoa ",17.7
"166","America-Australia","Limosa lapponica",48.6
"167","America-Australia","Limosa limosa",31.25
