Continent,Disturbance,Order,Family,Scientific.name,Common.name,FID,log.fid
America-Australia,Pedestrian,Passeriformes,Meliphagidae,Acanthagenys rufogularis,spiny-cheeked honeyeater,9.2,0.963787827
America-Australia,Pedestrian,Passeriformes,Pardalotidae ,Acanthiza chrysorrhoa,yellow-rumped thornbill,6.6,0.819543936
America-Australia,Pedestrian,Passeriformes,Pardalotidae ,Acanthiza lineata,striated thornbill,4.2,0.62324929
America-Australia,Pedestrian,Passeriformes,Pardalotidae ,Acanthiza nana ,yellow thornbill ,6.3,0.799340549
America-Australia,Pedestrian,Passeriformes,Pardalotidae,Acanthiza pusilla,brown thornbill,4.3,0.633468456
America-Australia,Pedestrian,Passeriformes,Pardalotidae ,Acanthiza reguloides ,buff-rumped thornbill,4.3,0.633468456
America-Australia,Pedestrian,Passeriformes,Meliphagidae,Acanthorhynchus tenuirostris ,eastern spinebill ,5.6,0.748188027
America-Australia,Pedestrian,Falconiformes,Accipitridae,Accipiter novaehollandiae,grey goshawk,24.6,1.390935107
America-Australia,Pedestrian,Passeriformes,Sturnidae ,Acridotheres tristis,common myna,11.6,1.064457989
America-Australia,Pedestrian,Passeriformes,Sylviidae ,Acrocephalus stentoreus,clamorous reed-warbler ,11.5,1.06069784
America-Australia,Pedestrian,Falconiformes,Accipitridae,Aguila chrysaetos,golden eagle,225,2.352182518
America-Australia,Pedestrian,Passeriformes,Ptilonorhynchidae ,Ailuroedus crassirostris ,green catbird,9.7,0.986771734
America-Australia,Pedestrian,Passeriformes,Ptilonorhynchidae ,Ailuroedus melanotis,spotted catbird,18.7,1.271841607
America-Australia,Pedestrian,Galliformes,Megapodiidae ,Alectura lathami ,Australian brush turkey,12,1.079181246
America-Australia,Pedestrian,Psittaciformes,Psittacidae ,Alisterus scapularis,Australian king parrot,8.7,0.939519253
America-Australia,Pedestrian,Anseriformes,Anatidae,Anas castanea,chestnut teal,80.1,1.903632516
America-Australia,Pedestrian,Anseriformes,Anatidae,Anas gracilis,grey teal ,78,1.892094603
America-Australia,Pedestrian,Anseriformes,Anatidae,Anas platyrhynchos,mallard,12.8,1.10720997
America-Australia,Pedestrian,Anseriformes,Anatidae,Anas rhynchotis,Australasian shoveler,19.2,1.283301229
America-Australia,Pedestrian,Anseriformes,Anatidae,Anas superciliosa,Pacific black duck ,107.5,2.031408464
America-Australia,Pedestrian,Pelicaniformes,Anhingidae ,Anhinga melanogaster ,darter ,24,1.380211242
America-Australia,Pedestrian,Pelicaniformes,Anhingidae,Anhinga novaehollandiae,Australian darter ,38,1.579783597
America-Australia,Pedestrian,Anseriformes,Anatidae,Anser albifrons elgasi,tule greater white-fronted goose,47,1.672097858
America-Australia,Pedestrian,Passeriformes,Meliphagidae ,Anthochaera carunculata ,red wattlebird,8.7,0.939519253
America-Australia,Pedestrian,Passeriformes,Meliphagidae ,Anthochaera chrysoptera,little wattlebird,7.3,0.86332286
America-Australia,Pedestrian,Passeriformes,Motacillidae ,Anthus novaeseelandiae ,richard’s pipit ,12.4,1.093421685
America-Australia,Pedestrian,Passeriformes,Corvidae ,Aphelocoma californica ,western scrub-jay ,15,1.176091259
America-Australia,Pedestrian,Psittaciformes,Psittacidae ,Aprosmictus erythropterus,red-winged parrot,32.3,1.509202522
America-Australia,Pedestrian,Ciconiiformes,Ardeidae,Ardea alba,great egret ,39.9,1.600972896
America-Australia,Pedestrian,Ciconiiformes,Ardeidae,Ardea herodias,great blue heron,15,1.176091259
America-Australia,Pedestrian,Ciconiiformes,Ardeidae,Ardea modesta,eastern great egret,57,1.755874856
America-Australia,Pedestrian,Ciconiiformes,Ardeidae,Ardea novaehollandiae,white-faced heron ,33.23,1.521530341
America-Australia,Pedestrian,Ciconiiformes,Ardeidae,Ardea pacifica,white-necked heron,63.4,1.802089258
America-Australia,Pedestrian,Charadriiformes,Scolopacidae ,Arenaria interpres,ruddy turnstone,29.66,1.472171147
America-Australia,Pedestrian,Passeriformes,Artamidae ,Artamus cinereus,black-faced woodswallow,11.8,1.071882007
America-Australia,Pedestrian,Passeriformes,Artamidae ,Artamus leucorynchus,white-breasted woodswallow,15.8,1.198657087
America-Australia,Pedestrian,Falconiformes,Accipitridae,Aviceda subcristata,Pacific baza,18,1.255272505
America-Australia,Pedestrian,Anseriformes,Anatidae,Aythya australis,hardhead,87.2,1.940516485
