,,,,,,,,,,,,,Height,Diameter,Condition
,,,,,,,,,,,,,120,14.5,outdoor
15,15,30,30,45,45,60,60,75,75,90,90,105,15,8,lab
0.8,0.6,0.8,0.7,0.9,1,0.9,1.1,1,1.3,1,1.3,1.1,15,6,lab
,,,,,,,,,,,,,30,8,lab
,,,,,,,,,,,,,30,7.5,outdoor
,,,,,,,,,,,,,45,9.1,outdoor
,,,,,,,,,,,,,45,10,lab
,,,,,,,,,,,,,60,9,lab
,,,,,,,,,,,,,60,11,lab
,,,,,,,,,,,,,75,10,lab
,,,,,,,,,,,,,75,13,lab
,,,,,,,,,,,,,90,10,lab
,,,,,,,,,,,,,90,13,lab
,,,,,,,,,,,,,105,11.5,outdoor
,,,,,,,,,,,,,105,12.5,lab
,,,,,,,,,,,,,120,13,lab
,,,,,,,,,,,,,120,15.1,outdoor
,,,,,,,,,,,,,115,15,lab
,,,,,,,,,,,,,10,8,lab
,,,,,,,,,,,,,12,6.3,outdoor
,,,,,,,,,,,,,25,8,lab
,,,,,,,,,,,,,25,7,outdoor
,,,,,,,,,,,,,40,9,Lab
,,,,,,,,,,,,,43,10.2,outdoor
,,,,,,,,,,,,,55,9,outdoor
,,,,,,,,,,,,,59,11,outdoor
,,,,,,,,,,,,,71,10,outdoor
,,,,,,,,,,,,,71,11.3,outdoor
,,,,,,,,,,,,,91,10,outdoor
,,,,,,,,,,,,,95,13,outdoor
,,,,,,,,,,,,,103,11,outdoor
,,,,,,,,,,,,,106,10.2,outdoor
,,,,,,,,,,,,,115,13.1,outdoor
,,,,,,,,,,,,,117,16.5,outdoor
,,,,,,,,,,,,,120,14.7,outdoor
,,,,,,,,,,,,,120,11,outdoor
