"living_arrangement","exercise"
"campus room","never"
"campus room","never"
"campus room","never"
"campus room","never"
"campus room","never"
"campus room","never"
"campus room","never"
"campus room","never"
"campus room","never"
"campus room","never"
"campus room","never"
"campus room","never"
"campus room","never"
"campus room","never"
"campus room","never"
"campus room","never"
"campus room","never"
"campus room","never"
"campus room","never"
"campus room","never"
"campus room","never"
"campus room","never"
"campus room","never"
"campus room","never"
"campus room","never"
"campus room","never"
"campus room","never"
"campus room","never"
"campus room","never"
"campus room","never"
"campus room","never"
"campus room","never"
"campus room","sometimes"
"campus room","sometimes"
"campus room","sometimes"
"campus room","sometimes"
"campus room","sometimes"
"campus room","sometimes"
"campus room","sometimes"
"campus room","sometimes"
"campus room","sometimes"
"campus room","sometimes"
"campus room","sometimes"
"campus room","sometimes"
"campus room","sometimes"
"campus room","sometimes"
"campus room","sometimes"
"campus room","sometimes"
"campus room","sometimes"
"campus room","sometimes"
"campus room","sometimes"
"campus room","sometimes"
"campus room","sometimes"
"campus room","sometimes"
"campus room","sometimes"
"campus room","sometimes"
"campus room","sometimes"
"campus room","sometimes"
"campus room","sometimes"
"campus room","sometimes"
"campus room","sometimes"
"campus room","sometimes"
"campus room","often"
"campus room","often"
"campus room","often"
"campus room","often"
"campus room","often"
"campus room","often"
"campus room","often"
"campus room","often"
"campus room","often"
"campus room","often"
"campus room","often"
"campus room","often"
"campus room","often"
"campus room","often"
"campus room","often"
"campus room","often"
"campus room","often"
"campus room","often"
"campus room","often"
"campus room","often"
"campus room","often"
"campus room","often"
"campus room","often"
"campus room","often"
"campus room","often"
"campus room","often"
"campus room","often"
"campus room","often"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","never"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","sometimes"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"campus appartment","often"
"outside campus","never"
"outside campus","never"
"outside campus","never"
"outside campus","never"
"outside campus","never"
"outside campus","never"
"outside campus","never"
"outside campus","never"
"outside campus","never"
"outside campus","never"
"outside campus","never"
"outside campus","never"
"outside campus","never"
"outside campus","never"
"outside campus","never"
"outside campus","never"
"outside campus","never"
