age,sex,flash,L
36,m,no,no
59,f,yes,no
61,f,yes,no
37,m,no,no
28,f,yes,no
58,f,no,no
22,m,no,no
42,m,no,no
31,m,no,no
52,m,no,no
24,m,yes,no
25,f,no,no
57,m,no,no
47,m,no,no
59,m,no,no
36,m,no,no
46,f,no,no
24,m,yes,yes
61,f,yes,no
23,m,no,no
25,f,yes,yes
20,f,yes,yes
35,m,no,no
19,f,yes,yes
19,m,no,no
67,m,yes,no
26,m,yes,no
66,f,no,no
68,m,no,no
19,f,yes,yes
58,f,no,no
57,m,no,no
32,f,no,no
53,m,no,no
27,f,no,no
18,f,yes,yes
48,m,no,no
47,f,no,no
55,f,no,no
27,m,no,no
34,m,no,no
27,m,no,no
20,m,yes,yes
27,f,no,no
43,f,no,no
20,m,yes,no
62,f,no,no
23,f,yes,yes
19,f,yes,yes
61,m,no,no
25,f,no,no
24,m,no,yes
32,m,no,no
66,f,no,no
61,f,no,no
19,f,yes,yes
33,m,no,no
27,m,yes,no
47,f,no,no
40,f,no,no
33,m,no,no
27,f,no,no
24,f,yes,yes
18,m,yes,no
36,m,no,no
61,f,no,no
48,f,no,no
50,f,no,no
20,m,yes,yes
51,f,no,no
46,f,no,no
25,m,no,no
44,m,no,no
52,m,no,no
68,m,yes,no
51,m,no,no
43,m,no,no
19,f,yes,yes
47,f,no,no
30,f,yes,yes
68,m,no,no
44,f,no,no
36,m,no,no
55,f,no,no
18,m,no,no
23,m,no,no
69,m,no,no
19,f,yes,yes
20,m,no,no
64,m,no,no
59,m,no,no
24,m,no,yes
64,m,no,no
68,m,no,no
62,f,no,no
18,m,no,no
50,m,no,no
20,m,no,no
32,f,no,no
26,m,no,no
53,m,no,no
25,m,no,no
30,f,yes,yes
69,m,no,no
28,f,yes,no
62,f,no,no
21,m,no,no
32,m,no,no
39,f,no,no
24,m,no,yes
32,m,no,no
40,m,no,no
52,f,no,no
24,m,yes,no
24,f,yes,yes
25,f,yes,yes
31,m,no,no
25,f,yes,yes
23,f,yes,yes
45,f,no,no
57,m,no,no
64,m,no,no
68,m,no,no
56,m,no,no
47,m,no,no
20,f,no,yes
39,f,no,no
46,f,no,no
30,m,yes,no
65,m,no,no
18,m,yes,yes
50,f,no,no
46,m,no,no
52,m,no,no
39,f,no,yes
44,f,yes,no
19,m,yes,yes
51,m,no,no
20,m,yes,no
48,m,no,no
46,f,no,no
46,m,no,no
27,f,no,no
60,f,no,no
24,f,yes,yes
18,m,no,no
19,f,yes,yes
45,f,no,no
33,m,no,no
34,m,no,no
52,m,no,no
63,m,no,no
36,m,no,no
51,m,no,no
35,m,no,no
66,m,no,no
18,m,no,no
64,m,no,no
66,m,no,no
21,f,no,no
65,m,no,no
25,m,no,no
43,m,no,no
51,m,no,no
32,m,no,no
33,m,no,no
40,m,no,no
28,f,no,no
25,f,yes,yes
27,m,yes,no
47,m,no,no
50,f,no,no
51,f,no,no
32,f,no,no
18,m,yes,no
37,m,no,no
44,f,no,no
24,m,no,no
22,m,no,no
59,f,no,no
47,f,no,no
68,m,yes,no
18,m,yes,yes
43,f,no,no
28,f,no,no
60,f,no,no
26,m,no,no
25,m,no,no
21,f,no,no
44,f,no,no
44,m,no,no
18,f,yes,yes
52,f,no,no
19,f,yes,yes
56,m,no,no
24,m,no,no
50,f,no,no
30,m,yes,no
61,m,no,no
44,f,no,no
62,f,no,no
39,f,yes,yes
42,m,no,no
61,f,yes,no
67,m,yes,no
44,f,yes,no
50,m,no,no
19,m,no,no
26,m,yes,no
19,m,yes,yes
32,f,no,no
61,f,no,no
36,m,no,no
24,f,yes,yes
47,m,no,no
48,f,no,no
57,m,no,no
40,f,no,no
21,m,no,no
63,m,no,no
70,m,no,no
70,f,no,no
