crimes,temperature
811,-18.3
737,-17.2
927,-16.1
871,-14.4
871,-13.3
929,-12.2
913,-11.1
863,-9.4
931,-8.3
954,-7.2
917,-6.1
968,-4.4
986,-3.3
1002,-2.2
1006,-1.1
1037,0.6
1048,1.7
1079,2.8
1067,3.9
1093,5.6
1101,6.7
1112,7.8
1144,8.9
1152,10.6
1153,11.7
1179,12.8
1195,13.9
1178,15.6
1194,16.7
1198,17.8
1197,18.9
1203,20.6
1200,21.7
1243,22.8
1256,23.9
1252,25.6
1257,26.7
1272,27.8
1268,28.9
1253,30.6
1281,31.7
1276,32.8
1263,33.9
1239,35.6
1112,36.7
923,37.8
1086,38.9
