numero,puntuacion
4,87.25
4,87.25
4,88
5,89
5,87.6
6,88.33
6,90.33
7,81
8,79.63
8,73.57
9,80.33
9,80.11
10,78.11
11,73.64
12,82.36
12,85.75
13,73.77
13,88.67
14,82.64
14,79.64
15,80.54
15,76.93
15,79.93
15,77.31
15,74.71
16,87.23
16,78.73
17,80.29
17,87.06
18,81.89
18,71
18,83.67
18,80.65
19,88.8
19,76.21
19,74.37
19,76.11
20,79
20,79.55
20,75.95
20,80.05
21,74.4
21,75.86
21,77.14
21,91.24
22,85.59
22,74.29
22,65.82
22,78.86
23,82.32
23,81.3
23,88.22
23,76.68
24,74.74
26,80.68
26,78.46
27,73.85
28,70.93
28,70.85
28,70.85
29,74.79
29,94.32
30,64.03
30,73.22
30,70.21
30,75.83
31,79.87
32,68.03
32,63
32,86.47
33,80.47
35,85.18
35,71.36
35,70.97
36,81.06
36,73.67
36,69.74
39,77.33
39,80.13
39,78.56
40,71.24
40,62.64
40,74.38
41,68.45
42,73.93
43,65.77
44,72.76
45,70.48
45,90.25
45,75.62
45,73.5
46,78.8
46,72.43
46,78.13
46,70
47,70.87
48,77.06
48,73.55
48,81.98
50,77.56
50,63.36
100,72.78
100,70.94
100,68.28
103,76.07
104,67.07
104,73.75
105,64.13
106,70.88
107,77.22
108,75.41
111,72.14
113,76.64
114,67.32
116,68.99
120,73.93
122,82.46
147,76.27
148,71.9
153,67.15
159,79.89
159,75.61
166,67.24
174,76.78
178,71.02
179,72.28
186,72.55
200,69.23
212,69.1
217,68.05
232,72.72
