from,to,weight
Mai,Ara,4
Mai,Nar,7
Mai,Col,4
Mai,Dom,4
Mai,Nor,4
Mai,Bor,5
Mai,Pum,2
Mai,Gab,4
Mai,Mad,3
Mai,Riz,3
Mai,Afr,3
Mai,Ab,2
Mai,Sap,3
Ara,Col,1
Ara,Bor,1
Ara,Gab,2
Ara,Afr,1
Nar,Col,1
Nar,Dom,2
Nar,Nor,4
Nar,Bor,2
Nar,Pum,2
Nar,Gab,8
Nar,Mad,3
Nar,Riz,3
Nar,Afr,3
Nar,Ab,2
Nar,Sap,3
Col,Nor,1
Col,Bor,1
Col,Pum,1
Col,Gab,4
Col,Riz,1
Col,Afr,3
Col,Sap,1
Dom,Nor,5
Dom,Bor,2
Dom,Pum,1
Dom,Gab,5
Dom,Mad,2
Dom,Afr,3
Dom,Sap,1
Nor,Bor,3
Nor,Gab,1
Nor,Mad,3
Nor,Riz,1
Nor,Afr,1
Nor,Ab,1
Bor,Pum,1
Bor,Gab,1
Bor,Mad,1
Bor,Riz,1
Bor,Afr,1
Bor,Ab,1
Bor,Sap,1
Pum,Gab,1
Pum,Mad,1
Pum,Riz,1
Pum,Afr,1
Pum,Ab,3
Pum,Sap,2
Gab,Mad,1
Gab,Riz,1
Gab,Afr,1
Gab,Sap,2
Mad,Riz,1
Mad,Afr,1
Mad,Ab,1
Riz,Ab,1
Afr,Ab,1
Afr,Sap,1
Ab,Sap,1
