"political_affiliation","climate_belief"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","Yes"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Far Left","No"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","Yes"
"Left","No"
"Left","No"
"Left","No"
"Left","No"
"Left","No"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
