id,document,tag,content
45,gori,Familia,"Para mi familia en la India, soy esa ""Desi confundida nacida en Estados Unidos""."
4,gori,sentirse en la mitad,"Para mis amigos indios, soy esa estadounidense que intenta abrazar mi cultura y ser india. Para mi familia, soy su primer hija estadounidense. ¿Pero para mí misma? Me gusta abrazar el título de sudasiática estadounidense de primera generación. Pero, ¿qué significa eso?"
4,gori,Familia,"Para mis amigos indios, soy esa estadounidense que intenta abrazar mi cultura y ser india. Para mi familia, soy su primer hija estadounidense. ¿Pero para mí misma? Me gusta abrazar el título de sudasiática estadounidense de primera generación. Pero, ¿qué significa eso?"
4,gori,Amigos,"Para mis amigos indios, soy esa estadounidense que intenta abrazar mi cultura y ser india. Para mi familia, soy su primer hija estadounidense. ¿Pero para mí misma? Me gusta abrazar el título de sudasiática estadounidense de primera generación. Pero, ¿qué significa eso?"
23,gori,Sentirse etiquetado:,"Inmediatamente me etiquetaron como alguien que “no sabía inglés”, a pesar de que nací y me crie en los Estados Unidos y el inglés es mi primer idioma."
82,gori,discriminacion,"Solo porque hablaba un segundo idioma en casa, me obligaron a asistir a las clases de ESL"
5,gori,sentirse en la mitad,"Recuerdo estar confundida acerca de las preguntas que hacían y me preguntaba por qué no se daban cuenta de que yo era como el os, que nací y me crié en los Estados Unidos."
84,gori,Sentirse etiquetado:,"De lo que no me di cuenta es que yo era diferente porque mi familia era de la India. Al crecer, tuve la suerte de que mi familia hiciera viajes de regreso a la India cada pocos años."
84,gori,Familia,"De lo que no me di cuenta es que yo era diferente porque mi familia era de la India. Al crecer, tuve la suerte de que mi familia hiciera viajes de regreso a la India cada pocos años."
84,gori,experiencia immigracion,"De lo que no me di cuenta es que yo era diferente porque mi familia era de la India. Al crecer, tuve la suerte de que mi familia hiciera viajes de regreso a la India cada pocos años."
84,gori,privilegio,"De lo que no me di cuenta es que yo era diferente porque mi familia era de la India. Al crecer, tuve la suerte de que mi familia hiciera viajes de regreso a la India cada pocos años."
46,gori,Familia,"Inmediatamente, mis amigos y familiares se burlaban de mi acento ""estadounidense"" cada vez que hablaba hindi. Me avergonzaba y eventualmente esto me llevó a dejar de intentar hablar en hindi. ¿Y el apodo que mi familia tenía para mí? Gori, que se traduce aproximadamente como ""Chica blanca"" del hindi al inglés."
47,gori,Sentirse etiquetado:,Mis amigos pensaban que haber nacido en Estados Unidos me hacía diferente a el os y que yo no pertenecía allí.
47,gori,Amigos,Mis amigos pensaban que haber nacido en Estados Unidos me hacía diferente a el os y que yo no pertenecía allí.
83,gori,discriminacion,"Pensaron que cuando me probaba ropa india, estaba jugando a disfrazarme en lugar de abrazar mi cultura. Que solo querría comer pasta y pizza en lugar de pedir comida india"
6,gori,sentirse en la mitad,"No entendieron que quería abrazar mi cultura mientras crecía, pero me detuvieron porque sentían que no creían que mereciera ser india y que siempre sería esa ""chica estadounidense"" tratando de encajar. Entonces, ¿dónde encajo? Para mí, esto una batalla constante entre mis lados"
6,gori,Sentirse etiquetado:,"No entendieron que quería abrazar mi cultura mientras crecía, pero me detuvieron porque sentían que no creían que mereciera ser india y que siempre sería esa ""chica estadounidense"" tratando de encajar. Entonces, ¿dónde encajo? Para mí, esto una batalla constante entre mis lados"
24,gori,Sentirse etiquetado:,"Entonces, ¿dónde encajo? Para mí, esto una batalla constante entre mis lados ""estadounidense"" e ""indio"","
85,gori,lucha o acción educativa,"Dejé de tratar de ocultar mi lado indio a mis amigos blancos, incluso l evándolos a espectáculos culturales y obsequiándolos con nuevos alimentos. A amigos indios, les presioné y les mostré que sí, yo era ""estadounidense"", pero aún así, me mantenía en contacto con mi cultura yendo a la escuela dominical, continuado aprendiendo hindi y demostrándoles que no estaba tan ""confundida"" como pensaban. Me volví más consciente de mi entorno y comencé a educar a mis amigos blancos ya mis amigos indios en cambiar sus percepciones. Dicho eso, también acepté que no necesitaba que los demás me aceptaran, y que mientras entendiera que era una sudasiática americana de primera generación, sabía a dónde pertenecía."
