"","value","eu"
"1",1,0
"2",1,0
"3",1,0
"4",2,0
"5",2,0
"6",2,0
"7",2,0
"8",2,0
"9",2,0
"10",2,0
"11",2,0
"12",2,0
"13",2,0
"14",2,0
"15",2,0
"16",2,0
"17",5,1
"18",5,0
"19",5,0
"20",5,0
"21",5,0
"22",5,0
"23",5,0
"24",5,0
"25",5,0
"26",5,0
"27",5,0
"28",5,0
"29",5,0
"30",5,0
"31",10,1
"32",10,0
"33",10,0
"34",10,0
"35",10,0
"36",10,1
"37",10,1
"38",10,1
"39",10,0
"40",10,0
"41",10,0
"42",10,0
"43",20,1
"44",20,0
"45",20,0
"46",20,0
"47",20,0
"48",20,0
"49",20,1
"50",20,1
"51",20,1
"52",20,1
"53",20,1
"54",20,0
"55",20,0
"56",20,0
"57",20,0
"58",50,0
"59",50,0
"60",50,0
"61",50,1
"62",50,1
"63",50,0
"64",50,1
"65",50,1
"66",50,1
"67",50,1
"68",100,0
"69",100,0
"70",100,1
"71",100,1
"72",100,1
"73",100,1
"74",100,1
"75",100,1
"76",100,1
"77",100,0
"78",100,0
"79",200,1
"80",200,1
"81",200,1
"82",200,1
"83",200,0
"84",200,1
"85",200,1
"86",200,1
"87",200,0
"88",200,0
"89",200,0
