"","Year","TotalPopulation","BirthRate","AverageBirthWeight","AverageAgeofMother","CountyName","State"
"1",2015,203709,11.51,3261.31,27.53,"Baldwin","AL"
"2",2015,115620,12.11,3208.85,26.27,"Calhoun","AL"
"3",2015,103057,11.78,3238.61,25.8,"Etowah","AL"
"4",2015,104173,12.42,3207.41,26.91,"Houston","AL"
"5",2015,660367,13.31,3176.53,27.95,"Jefferson","AL"
"6",2015,156993,12.66,3257.31,27.83,"Lee","AL"
"7",2015,353089,11.78,3221.26,28.3,"Madison","AL"
"8",2015,415395,13.63,3145.79,26.71,"Mobile","AL"
"9",2015,226519,13.81,3099.14,27.13,"Montgomery","AL"
"10",2015,119565,11.59,3245.74,26.37,"Morgan","AL"
"11",2015,208713,11.49,3310.82,29.08,"Shelby","AL"
"12",2015,203976,12.4,3173.96,27.06,"Tuscaloosa","AL"
"13",2015,298695,15.36,3358.99,28.35,"Anchorage Borough,","AK"
"14",2015,126427,12.42,3213.44,26.96,"Cochise","AZ"
"15",2015,139097,11.32,3232.54,27.69,"Coconino","AZ"
"16",2015,4167947,13.13,3294.99,28.26,"Maricopa","AZ"
"17",2015,204737,9.05,3258.19,26.45,"Mohave","AZ"
"18",2015,108277,14.24,3223.57,26.36,"Navajo","AZ"
"19",2015,1010025,11.39,3275.05,27.84,"Pima","AZ"
"20",2015,406584,10.95,3331.5,27.48,"Pinal","AZ"
"21",2015,222255,8.44,3259.22,27.11,"Yavapai","AZ"
"22",2015,204275,14.77,3353.76,26.69,"Yuma","AZ"
"23",2015,249672,14.47,3310.38,28.14,"Benton","AR"
"24",2015,121552,12.66,3308.45,27.1,"Faulkner","AR"
"25",2015,392664,14.19,3169.07,27.59,"Pulaski","AR"
"26",2015,117460,11.52,3284.1,27.79,"Saline","AR"
"27",2015,127780,13.6,3279.54,26.64,"Sebastian","AR"
"28",2015,225477,14.25,3266.37,28.03,"Washington","AR"
"29",2015,1638215,11.86,3290.96,30.95,"Alameda","CA"
"30",2015,225411,10.83,3339.62,27.91,"Butte","CA"
"31",2015,1126745,11.18,3328.76,30.55,"Contra Costa","CA"
"32",2015,184452,8.64,3313.63,29.78,"El Dorado","CA"
"33",2015,974861,15.76,3258.99,27.88,"Fresno","CA"
"34",2015,135727,10.62,3409.15,29.03,"Humboldt","CA"
"35",2015,180191,17.58,3334.37,27.32,"Imperial","CA"
"36",2015,882176,15.61,3288.75,27.21,"Kern","CA"
"37",2015,150965,15.06,3333.62,27.26,"Kings","CA"
"38",2015,10170292,12.26,3253.67,29.74,"Los Angeles","CA"
"39",2015,154998,14.36,3322.05,27.69,"Madera","CA"
"40",2015,261221,8.76,3357.03,32.7,"Marin","CA"
"41",2015,268455,15.29,3318.6,27.65,"Merced","CA"
"42",2015,433898,14.8,3334.96,28.34,"Monterey","CA"
"43",2015,142456,10.23,3374.77,29.82,"Napa","CA"
"44",2015,3169776,11.86,3291.05,30.4,"Orange","CA"
"45",2015,375391,9.98,3369.83,30.48,"Placer","CA"
"46",2015,2361026,12.91,3301.14,28.35,"Riverside","CA"
"47",2015,1501335,12.94,3331.15,28.96,"Sacramento","CA"
"48",2015,2128133,14.35,3262.24,27.99,"San Bernardino","CA"
"49",2015,3299521,13.32,3311.12,29.55,"San Diego","CA"
"50",2015,864816,10.37,3275.44,32.83,"San Francisco","CA"
"51",2015,726106,13.75,3289.01,28.26,"San Joaquin","CA"
"52",2015,281401,9.48,3367.52,29.4,"San Luis Obispo","CA"
"53",2015,765135,11.81,3273.75,31.79,"San Mateo","CA"
"54",2015,444769,12.75,3302.07,28.75,"Santa Barbara","CA"
"55",2015,1918044,12.2,3268.72,31.17,"Santa Clara","CA"
"56",2015,274146,10.36,3331.64,29.98,"Santa Cruz","CA"
"57",2015,179533,11.55,3335.71,27.63,"Shasta","CA"
"58",2015,436092,11.77,3356.44,28.95,"Solano","CA"
"59",2015,502146,9.99,3369.24,30.2,"Sonoma","CA"
"60",2015,538388,14.3,3324.37,28.01,"Stanislaus","CA"
"61",2015,459863,16.12,3298.44,27.32,"Tulare","CA"
"62",2015,850536,11.83,3325.79,29.54,"Ventura","CA"
"63",2015,213016,11.28,3378.83,29.66,"Yolo","CA"
"64",2015,491337,13.76,3199.91,28.19,"Adams","CO"
"65",2015,631096,12.61,3184.82,29.37,"Arapahoe","CO"
"66",2015,319372,9.08,3231.46,31.11,"Boulder","CO"
"67",2015,682545,14.73,3199.18,29.82,"Denver","CO"
"68",2015,322387,10.49,3221.61,31.35,"Douglas","CO"
"69",2015,674471,14.02,3165.73,28.02,"El Paso","CO"
"70",2015,565524,10.4,3227.14,30.08,"Jefferson","CO"
"71",2015,333577,10.45,3244.78,29.47,"Larimer","CO"
"72",2015,148513,11.71,3243.64,27.31,"Mesa","CO"
"73",2015,163591,10.97,3168.97,26.85,"Pueblo","CO"
"74",2015,285174,15.22,3249.98,27.89,"Weld","CO"
"75",2015,948053,10.67,3296.99,31.09,"Fairfield","CT"
"76",2015,895841,10.33,3250.23,29.59,"Hartford","CT"
"77",2015,183603,7.87,3331.35,30.11,"Litchfield","CT"
"78",2015,164063,8.11,3325.66,30.88,"Middlesex","CT"
"79",2015,859470,10.21,3277.24,29.57,"New Haven","CT"
"80",2015,271863,9.58,3331.49,28.88,"New London","CT"
"81",2015,151420,7.44,3340.49,30.6,"Tolland","CT"
"82",2015,116573,9.41,3297.79,28.37,"Windham","CT"
"83",2015,173533,12.6,3240.64,27.87,"Kent","DE"
"84",2015,556779,11.97,3240.28,29.19,"New Castle","DE"
"85",2015,215622,10.75,3279.52,27.9,"Sussex","DE"
"86",2015,672228,14.25,3208.47,30.02,"District of Columbia,","DC"
"87",2015,259964,11.1,3239.91,28.74,"Alachua","FL"
