coupleID,activity,who
1,dishes,woman
2,shopping,woman
3,finance,alternatively
4,shopping,woman
5,amends,man
6,lunch,woman
7,lunch,alternatively
9,lunch,alternatively
10,lunch,alternatively
11,dinner,alternatively
12,home_policy,together
13,driving,man
14,dinner,woman
17,finance,together
18,lunch,alternatively
20,lunch,woman
21,home_policy,together
22,shopping,together
23,lunch,woman
24,lunch,woman
25,lunch,woman
26,amends,man
29,home_policy,man
30,driving,man
32,shopping,together
33,washing,together
34,amends,man
36,finance,together
37,dinner,woman
38,home_policy,together
39,lunch,woman
40,driving,man
41,lunch,woman
42,finance,together
43,amends,man
44,home_policy,man
45,finance,woman
46,dinner,alternatively
47,amends,man
48,shopping,together
49,lunch,alternatively
50,home_policy,man
51,washing,together
52,washing,woman
53,finance,man
54,lunch,woman
55,amends,man
56,finance,man
57,dishes,woman
58,washing,together
59,driving,man
60,driving,alternatively
61,dishes,together
63,dinner,woman
64,dinner,alternatively
65,dinner,woman
66,washing,together
67,driving,man
68,washing,woman
69,finance,together
70,lunch,woman
71,shopping,together
72,lunch,woman
73,driving,man
75,washing,alternatively
76,dishes,together
77,shopping,woman
79,driving,woman
80,washing,woman
81,home_policy,together
82,shopping,together
83,lunch,woman
84,washing,together
85,finance,alternatively
86,finance,alternatively
87,home_policy,man
89,finance,together
90,dinner,woman
92,dishes,together
93,dishes,woman
95,lunch,woman
96,shopping,together
97,amends,man
98,home_policy,man
99,washing,woman
100,driving,man
101,home_policy,man
102,home_policy,together
103,dinner,together
104,lunch,alternatively
106,shopping,together
107,amends,man
108,amends,man
109,washing,together
110,driving,man
112,driving,alternatively
114,lunch,alternatively
115,finance,together
117,lunch,woman
118,dishes,together
119,home_policy,together
120,dinner,woman
121,dishes,together
122,dishes,together
123,dinner,woman
124,amends,man
126,lunch,alternatively
127,dishes,together
128,amends,man
129,home_policy,together
130,home_policy,together
131,dinner,woman
132,dishes,man
133,dinner,woman
134,washing,woman
136,washing,together
139,lunch,alternatively
140,washing,together
142,finance,together
143,lunch,woman
144,dishes,together
145,driving,man
146,lunch,woman
148,shopping,together
149,amends,man
150,amends,man
151,amends,man
152,washing,woman
153,home_policy,man
154,lunch,woman
158,finance,woman
159,lunch,woman
161,lunch,woman
163,lunch,man
164,lunch,woman
165,lunch,alternatively
166,lunch,woman
167,driving,woman
170,dinner,woman
171,dinner,alternatively
172,home_policy,man
173,home_policy,together
174,lunch,woman
175,dinner,woman
176,shopping,together
177,dinner,man
178,finance,man
179,lunch,woman
180,finance,together
181,amends,man
185,shopping,together
186,lunch,woman
187,washing,alternatively
188,home_policy,together
191,dishes,woman
192,lunch,woman
193,amends,man
194,amends,man
195,lunch,alternatively
196,dishes,woman
197,dinner,woman
199,finance,together
200,dinner,woman
202,driving,alternatively
203,driving,man
204,lunch,woman
206,finance,together
209,lunch,woman
210,amends,man
211,dishes,together
213,washing,together
214,finance,together
215,amends,man
216,finance,together
217,driving,man
218,amends,man
219,lunch,woman
220,finance,together
221,amends,man
222,driving,alternatively
223,lunch,woman
224,dishes,woman
225,amends,man
227,washing,woman
228,finance,woman
229,amends,man
230,dinner,woman
231,washing,together
232,lunch,woman
233,lunch,alternatively
234,dishes,together
235,dinner,woman
237,lunch,alternatively
238,washing,alternatively
239,finance,man
240,home_policy,man
241,washing,together
242,finance,alternatively
244,driving,alternatively
245,dinner,woman
246,washing,woman
247,dishes,woman
248,lunch,woman
249,amends,man
250,driving,alternatively
251,lunch,woman
256,finance,together
257,washing,alternatively
258,amends,man
259,dishes,together
260,shopping,woman
262,lunch,together
263,home_policy,together
264,driving,man
265,finance,alternatively
267,dinner,woman
269,driving,together
272,lunch,man
273,lunch,man
274,lunch,alternatively
276,home_policy,together
277,washing,woman
278,dinner,woman
279,home_policy,together
280,dishes,woman
281,home_policy,together
282,lunch,woman
284,lunch,woman
285,finance,together
288,amends,man
289,driving,man
290,shopping,together
292,washing,woman
293,dishes,together
295,amends,man
296,lunch,alternatively
297,finance,alternatively
298,amends,man
300,lunch,woman
302,driving,alternatively
304,washing,woman
305,driving,man
306,finance,together
307,amends,man
308,dishes,woman
309,lunch,woman
310,lunch,woman
312,lunch,alternatively
313,amends,man
314,lunch,woman
315,amends,man
316,finance,together
317,lunch,woman
318,lunch,woman
319,driving,man
321,driving,alternatively
322,finance,together
323,lunch,alternatively
324,amends,man
326,home_policy,together
327,washing,woman
329,amends,man
330,driving,woman
331,lunch,alternatively
332,amends,man
333,driving,alternatively
334,shopping,together
335,driving,alternatively
336,home_policy,together
337,dinner,together
338,lunch,man
339,lunch,alternatively
341,lunch,together
342,dishes,woman
343,home_policy,man
344,washing,together
345,driving,man
346,amends,man
347,shopping,woman
348,amends,man
349,finance,woman
350,dinner,together
351,amends,man
352,dinner,woman
353,dishes,together
354,home_policy,woman
355,dishes,together
356,lunch,woman
357,lunch,woman
