month,season,age,temp
Jan,winter-spring,29,19.8
Jan,winter-spring,31,19.4
Jan,winter-spring,29,18.4
Jan,winter-spring,31,18.6
Jan,winter-spring,31,19.8
Jan,winter-spring,28,17.5
Jan,winter-spring,30,18.2
Jan,winter-spring,27,18.5
Jan,winter-spring,27,18.7
Jan,winter-spring,27,18.4
Jan,winter-spring,27,18
Jan,winter-spring,29,19.1
Jan,winter-spring,28,17.9
Jan,winter-spring,33,19.3
Jan,winter-spring,28,18.9
Jan,winter-spring,27,18.1
Jan,winter-spring,28,17.6
Jan,winter-spring,29,18.6
Jan,winter-spring,30,18.5
Jan,winter-spring,28,20.3
Jan,winter-spring,30,19
Jan,winter-spring,30,18.6
Jan,winter-spring,29,18
Jan,winter-spring,31,19.4
Jan,winter-spring,29,17.9
Jan,winter-spring,31,18.1
Jan,winter-spring,30,18.8
Jan,winter-spring,31,18
Jan,winter-spring,29,19
Jan,winter-spring,29,18.5
Jan,winter-spring,30,20.1
Jan,winter-spring,30,18.7
Feb,winter-spring,30,24.4
Feb,winter-spring,30,22.7
Feb,winter-spring,32,22.9
Feb,winter-spring,32,23
Feb,winter-spring,32,21.8
Feb,winter-spring,30,22.3
Feb,winter-spring,33,22.9
Feb,winter-spring,30,22.7
Feb,winter-spring,31,22.9
Feb,winter-spring,33,23
Feb,winter-spring,34,22.8
Feb,winter-spring,28,23
Feb,winter-spring,28,23
Feb,winter-spring,32,23.7
Feb,winter-spring,30,22
Feb,winter-spring,34,21.6
Feb,winter-spring,31,21.8
Feb,winter-spring,33,22.3
Feb,winter-spring,31,21.5
Feb,winter-spring,30,23.8
Feb,winter-spring,29,23.3
Feb,winter-spring,30,22.5
Feb,winter-spring,31,24.2
Feb,winter-spring,32,23.1
Feb,winter-spring,28,22.1
Feb,winter-spring,29,23
Feb,winter-spring,29,23.6
Feb,winter-spring,35,23.4
Feb,winter-spring,30,22.6
Feb,winter-spring,28,24.9
Feb,winter-spring,29,22.4
Feb,winter-spring,31,22.4
Feb,winter-spring,32,23.3
Feb,winter-spring,31,23.3
Feb,winter-spring,33,21.8
Feb,winter-spring,29,23.8
Mar,winter-spring,28,22.3
Mar,winter-spring,28,23
Mar,winter-spring,26,23.3
Mar,winter-spring,29,23.1
Mar,winter-spring,28,21.9
Mar,winter-spring,30,21.6
Mar,winter-spring,33,22.4
Mar,winter-spring,28,22.8
Mar,winter-spring,31,22.2
Mar,winter-spring,30,21.5
Mar,winter-spring,27,22.7
Mar,winter-spring,27,21.6
Mar,winter-spring,30,24.4
Mar,winter-spring,30,22.8
Mar,winter-spring,32,21.9
Mar,winter-spring,33,21.6
Mar,winter-spring,31,21.5
Mar,winter-spring,30,22.5
Mar,winter-spring,29,22.8
Mar,winter-spring,28,23.3
Mar,winter-spring,31,22.4
Mar,winter-spring,28,20.7
Mar,winter-spring,28,22.9
Apr,winter-spring,35,16.8
Apr,winter-spring,31,16.2
Apr,winter-spring,32,16.5
Apr,winter-spring,26,17.3
Apr,winter-spring,30,19.3
Apr,winter-spring,29,17.2
Apr,winter-spring,34,16.9
Apr,winter-spring,33,17.4
Apr,winter-spring,30,16.6
Apr,winter-spring,33,16.5
Apr,winter-spring,31,18.2
Apr,winter-spring,32,16.2
Apr,winter-spring,30,17.9
Apr,winter-spring,33,17.2
Apr,winter-spring,33,17.7
Apr,winter-spring,31,17.6
Apr,winter-spring,33,16.7
Apr,winter-spring,32,15.6
Apr,winter-spring,31,18
Apr,winter-spring,31,17
Apr,winter-spring,30,18
Apr,winter-spring,32,17.5
Apr,winter-spring,31,17.6
Apr,winter-spring,31,17.1
Apr,winter-spring,32,16.5
Apr,winter-spring,33,17
May,winter-spring,30,11.7
May,winter-spring,27,11.3
May,winter-spring,27,11.9
May,winter-spring,27,11
May,winter-spring,29,11.8
May,winter-spring,28,10.9
May,winter-spring,29,10.7
May,winter-spring,28,11.4
May,winter-spring,29,9.9
May,winter-spring,29,12.1
May,winter-spring,29,12.2
May,winter-spring,27,11.3
May,winter-spring,27,10.5
May,winter-spring,28,10.9
May,winter-spring,29,12.4
May,winter-spring,31,11.3
May,winter-spring,30,12.2
May,winter-spring,29,11.8
May,winter-spring,28,12
May,winter-spring,29,9.2
May,winter-spring,30,11.7
May,winter-spring,31,12.6
May,winter-spring,31,11.7
May,winter-spring,30,11.1
May,winter-spring,30,11.1
May,winter-spring,28,10.7
May,winter-spring,31,12.6
Jun,summer-autum,31,3.8
Jun,summer-autum,28,2.7
Jun,summer-autum,31,4.5
Jun,summer-autum,33,5
Jun,summer-autum,32,3.6
Jun,summer-autum,32,4
Jun,summer-autum,30,4.4
Jun,summer-autum,28,4.8
Jun,summer-autum,31,3.1
Jun,summer-autum,30,4.6
Jun,summer-autum,32,3.7
Jun,summer-autum,32,3.5
Jun,summer-autum,32,4.1
Jun,summer-autum,31,2.9
Jun,summer-autum,30,1.9
Jun,summer-autum,32,3.7
Jun,summer-autum,33,4.6
Jun,summer-autum,33,3.6
Jun,summer-autum,32,4.2
Jun,summer-autum,31,4.5
Jun,summer-autum,32,2.9
Jun,summer-autum,32,3.7
Jun,summer-autum,33,3.9
Jun,summer-autum,31,4.8
