"","state","murder","forcible_rape","robbery","aggravated_assault","burglary","larceny_theft","motor_vehicle_theft"
"1","United States ",5.6,31.7,140.7,291.1,726.7,2286.3,416.7
"2","Alabama ",8.2,34.3,141.4,247.8,953.8,2650,288.3
"3","Alaska ",4.8,81.1,80.9,465.1,622.5,2599.1,391
"4","Arizona ",7.5,33.8,144.4,327.4,948.4,2965.2,924.4
"5","Arkansas",6.7,42.9,91.1,386.8,1084.6,2711.2,262.1
"6","California ",6.9,26,176.1,317.3,693.3,1916.5,712.8
"7","Colorado ",3.7,43.4,84.6,264.7,744.8,2735.2,559.5
"8","Connecticut ",2.9,20,113,138.6,437.1,1824.1,296.8
"9","Delaware ",4.4,44.7,154.8,428.2,688.9,2144,278.5
"10","District of Columbia",35.4,30.2,672.1,721.3,649.7,2694.9,1402.3
"11","Florida ",5,37.1,169.4,496.6,926.3,2658.3,423.3
"12","Georgia ",6.2,23.6,154.8,264.3,931,2751.1,490.2
"13","Hawaii ",1.9,26.9,78.5,147.8,767.9,3308.4,716.4
"14","Idaho ",2.4,40.4,18.6,195.4,564.4,1931.7,201.8
"15","Illinois ",6,33.7,181.7,330.2,606.9,2164.8,308.6
"16","Indiana ",5.7,29.6,108.6,179.9,697.6,2412,346.7
"17","Iowa ",1.3,27.9,38.9,223.3,606.4,2042.7,184.6
"18","Kansas  ",3.7,38.4,65.3,280,689.2,2758.1,339.6
"19","Kentucky  ",4.6,34,88.4,139.8,634,1685.8,210.8
"20","Louisiana ",9.9,31.4,118,435.1,870.6,2494.5,318.1
"21","Maine ",1.4,24.7,24.4,61.7,478.5,1832.6,102
"22","Maryland ",9.9,22.6,256.7,413.8,641.4,2294.3,608.4
"23","Massachusetts",2.7,27.1,119,308.1,541.1,1527.4,295.1
"24","Michigan",6.1,51.3,131.8,362.9,696.8,1917.8,476.5
"25","Minnesota ",2.2,44,92,158.7,578.9,2226.9,278.2
"26","Mississippi ",7.3,39.3,82.3,149.4,919.7,2083.9,256.5
"27","Missouri ",6.9,28,124.1,366.4,738.3,2746.2,443.1
"28","Montana  ",1.9,32.2,18.9,228.5,389.2,2543,210.7
"29","Nebraska ",2.5,32.9,59.1,192.5,532.4,2574.3,316.5
"30","Nevada ",8.5,42.1,194.7,361.5,972.4,2153.9,1115.2
"31","New Hampshire ",1.4,30.9,27.4,72.3,317,1377.3,102.1
"32","New Jersey",4.8,13.9,151.6,184.4,447.1,1568.4,317.5
"33","New Mexico ",7.4,54.1,98.7,541.9,1093.9,2639.9,414.5
"34","New York",4.5,18.9,182.7,239.7,353.3,1569.6,185.6
"35","North Carolina ",6.7,26.5,145.5,289.4,1201.1,2546.2,327.8
"36","North Dakota ",1.1,24.2,7.4,65.5,311.9,1500.3,166
"37","Ohio ",5.1,39.8,163.1,143.4,872.8,2429,360.9
"38","Oklahoma ",5.3,41.7,91,370.5,1006,2644.2,391.8
"39","Oregon ",2.2,34.8,68.1,181.8,758.6,3112.2,529
"40","Pennsylvania",6.1,28.9,154.6,235,451.6,1729.1,236.5
"41","Rhode Island ",3.2,29.8,72.1,146.1,494.2,1816,408.7
"42","South Carolina ",7.4,42.5,132.1,579,1000.9,2954.1,384.4
"43","South Dakota ",2.3,46.7,18.6,108.1,324.4,1343.7,108.4
"44","Tennessee ",7.2,36.4,167.3,541.9,1026.9,2828.1,420.6
"45","Texas ",6.2,37.2,156.6,329.8,961.6,2961.7,408.7
"46","Utah",2.3,37.3,44.3,143.4,606.2,2918.8,343.9
"47","Vermont ",1.3,23.3,11.7,83.5,491.8,1686.1,102.9
"48","Virginia ",6.1,22.7,99.2,154.8,392.1,2035,211.1
"49","Washington ",3.3,44.7,92.1,205.8,959.7,3149.5,783.9
"50","West Virginia ",4.4,17.7,44.6,206.1,621.2,1794,210
"51","Wisconsin ",3.5,20.6,82.2,135.2,440.8,1992.8,226.6
"52","Wyoming ",2.7,24,15.3,188.1,476.3,2533.9,145.1
