crossing,mobile,sex,age.class,aprox.age,notes
groseko anbulategia,1,male,teen,18,
groseko anbulategia,0,male,adult,23,
groseko anbulategia,0,female,adult,40,
groseko anbulategia,0,female,adult,35,
groseko anbulategia,0,male,senior,60,
groseko anbulategia,1,female,teen,26,
groseko anbulategia,0,female,adult,30,
groseko anbulategia,0,male,adult,40,
groseko anbulategia,0,female,senior,60,
groseko anbulategia,0,male,adult,40,
groseko anbulategia,0,female,adult,40,
groseko anbulategia,0,female,senior,67,
groseko anbulategia,0,female,adult,40,
groseko anbulategia,0,female,adult,40,
groseko anbulategia,1,female,teen,25,
groseko anbulategia,0,female,teen,23,
groseko anbulategia,0,male,adult,40,
groseko anbulategia,0,female,adult,40,
groseko anbulategia,0,female,senior,65,
groseko anbulategia,0,male,senior,65,
groseko anbulategia,0,male,teen,22,
groseko anbulategia,0,male,senior,70,
groseko anbulategia,1,male,teen,23,
groseko anbulategia,1,female,teen,20,
groseko anbulategia,0,female,adult,50,
groseko anbulategia,0,female,adult,43,
groseko anbulategia,0,female,adult,41,
groseko anbulategia,0,female,adult,45,
groseko anbulategia,0,female,adult,40,
groseko anbulategia,0,female,adult,35,
groseko anbulategia,0,female,adult,40,
groseko anbulategia,0,female,adult,50,
groseko anbulategia,0,male,adult,42,
groseko anbulategia,0,male,adult,40,
groseko anbulategia,1,female,adult,41,
groseko anbulategia,0,male,adult,42,
groseko anbulategia,0,male,adult,40,
groseko anbulategia,1,male,adult,20,
groseko anbulategia,0,female,adult,45,
groseko anbulategia,0,male,adult,47,
groseko anbulategia,0,female,adult,47,
groseko anbulategia,0,male,adult,48,
zarategi ogiberri,0,male,adult,47,
zarategi ogiberri,1,female,adult,60,
zarategi ogiberri,0,female,adult,65,
zarategi ogiberri,0,female,adult,35,
zarategi ogiberri,0,female,adult,48,
zarategi ogiberri,0,male,adult,70,
zarategi ogiberri,0,female,adult,57,
zarategi ogiberri,0,male,adult,55,
zarategi ogiberri,1,female,adult,48,
zarategi ogiberri,1,female,teen,18,
zarategi ogiberri,1,female,adult,32,
zarategi ogiberri,1,male,adult,43,
zarategi ogiberri,0,male,adult,70,
zarategi ogiberri,0,female,adult,52,
zarategi ogiberri,0,female,adult,48,
basotxiki1,1,male,adult,45,
basotxiki1,0,female,adult,45,
basotxiki1,1,female,adult,47,
basotxiki1,0,male,adult,39,
basotxiki1,0,male,adult,67,
