"","pot","pair","type","height"
"1","I","1","Cross",23.5
"2","I","1","Self",17.375
"3","I","2","Cross",12
"4","I","2","Self",20.375
"5","I","3","Cross",21
"6","I","3","Self",20
"7","II","4","Cross",22
"8","II","4","Self",20
"9","II","5","Cross",19.125
"10","II","5","Self",18.375
"11","II","6","Cross",21.5
"12","II","6","Self",18.625
"13","III","7","Cross",22.125
"14","III","7","Self",18.625
"15","III","8","Cross",20.375
"16","III","8","Self",15.25
"17","III","9","Cross",18.25
"18","III","9","Self",16.5
"19","III","10","Cross",21.625
"20","III","10","Self",18
"21","III","11","Cross",23.25
"22","III","11","Self",16.25
"23","IV","12","Cross",21
"24","IV","12","Self",18
"25","IV","13","Cross",22.125
"26","IV","13","Self",12.75
"27","IV","14","Cross",23
"28","IV","14","Self",15.5
"29","IV","15","Cross",12
"30","IV","15","Self",18
