"","class_size","score"
"1",4,87.25
"2",4,87.25
"3",4,88
"4",5,89
"5",5,87.6
"6",6,88.33
"7",6,90.33
"8",7,81
"9",8,79.63
"10",8,73.57
"11",9,80.33
"12",9,80.11
"13",10,78.11
"14",11,73.64
"15",12,82.36
"16",12,85.75
"17",13,73.77
"18",13,88.67
"19",14,82.64
"20",14,79.64
"21",15,80.54
"22",15,76.93
"23",15,79.93
"24",15,77.31
"25",15,74.71
"26",16,87.23
"27",16,78.73
"28",17,80.29
"29",17,87.06
"30",18,81.89
"31",18,71
"32",18,83.67
"33",18,80.65
"34",19,88.8
"35",19,76.21
"36",19,74.37
"37",19,76.11
"38",20,79
"39",20,79.55
"40",20,75.95
"41",20,80.05
"42",21,74.4
"43",21,75.86
"44",21,77.14
"45",21,91.24
"46",22,85.59
"47",22,74.29
"48",22,65.82
"49",22,78.86
"50",23,82.32
"51",23,81.3
"52",23,88.22
"53",23,76.68
"54",24,74.74
"55",26,80.68
"56",26,78.46
"57",27,73.85
"58",28,70.93
"59",28,70.85
"60",28,70.85
"61",29,74.79
"62",29,94.32
"63",30,64.03
"64",30,73.22
"65",30,70.21
"66",30,75.83
"67",31,79.87
"68",32,68.03
"69",32,63
"70",32,86.47
"71",33,80.47
"72",35,85.18
"73",35,71.36
"74",35,70.97
"75",36,81.06
"76",36,73.67
"77",36,69.74
"78",39,77.33
"79",39,80.13
"80",39,78.56
"81",40,71.24
"82",40,62.64
"83",40,74.38
"84",41,68.45
"85",42,73.93
"86",43,65.77
"87",44,72.76
"88",45,70.48
"89",45,90.25
"90",45,75.62
"91",45,73.5
"92",46,78.8
"93",46,72.43
"94",46,78.13
"95",46,70
"96",47,70.87
"97",48,77.06
"98",48,73.55
"99",48,81.98
"100",50,77.56
"101",50,63.36
"102",100,72.78
"103",100,70.94
"104",100,68.28
"105",103,76.07
"106",104,67.07
"107",104,73.75
"108",105,64.13
"109",106,70.88
"110",107,77.22
"111",108,75.41
"112",111,72.14
"113",113,76.64
"114",114,67.32
"115",116,68.99
"116",120,73.93
"117",122,82.46
"118",147,76.27
"119",148,71.9
"120",153,67.15
"121",159,79.89
"122",159,75.61
"123",166,67.24
"124",174,76.78
"125",178,71.02
"126",179,72.28
"127",186,72.55
"128",200,69.23
"129",212,69.1
"130",217,68.05
"131",232,72.72
