period,cost
conf,3.666666667
conf,2.666666667
conf,4.444444444
conf,3.444444444
conf,2.888888889
conf,4.333333333
conf,4.333333333
conf,3
conf,3
conf,2.666666667
conf,3.444444444
conf,3
conf,2.777777778
conf,4
conf,2.222222222
conf,2.666666667
conf,3.333333333
conf,2.888888889
conf,3.888888889
conf,3.444444444
conf,3.555555556
conf,4
conf,3.666666667
conf,2.555555556
conf,3.333333333
conf,3.111111111
conf,3.777777778
conf,2.666666667
conf,3.666666667
conf,3.666666667
conf,2.777777778
conf,2.777777778
conf,3.444444444
conf,2.555555556
conf,3.222222222
conf,4.222222222
conf,2.666666667
conf,3.555555556
post-conf,2.333333333
post-conf,3.111111111
post-conf,2.222222222
post-conf,2.444444444
post-conf,3
post-conf,1.777777778
post-conf,1.666666667
post-conf,3.333333333
post-conf,2.666666667
post-conf,3.444444444
post-conf,3.222222222
post-conf,3.111111111
post-conf,3.222222222
post-conf,2
post-conf,3.555555556
post-conf,3.333333333
post-conf,3.222222222
post-conf,3.333333333
post-conf,2.333333333
post-conf,3.222222222
post-conf,2.444444444
post-conf,1.666666667
post-conf,2.333333333
post-conf,3.444444444
post-conf,2.666666667
post-conf,3.111111111
post-conf,1.888888889
post-conf,3.111111111
post-conf,2.333333333
post-conf,2.333333333
post-conf,3.222222222
post-conf,3.111111111
post-conf,2
post-conf,3.444444444
post-conf,2.888888889
post-conf,2
post-conf,3.333333333
post-conf,2.555555556
