"gender","education_level"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","high school"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","bachelor"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","master"
"female","PhD"
"female","PhD"
"female","PhD"
