elkarrizketatua;generoa;kodea;kategoria;testua
Ajla Tomljanović;f;eskerrak;relaciones;you know i travel with my family as well and she’s always been someone i looked up
Jannik Sinner;m;eskerrak;relaciones;thanks it’s always to my team because they they always try to help me and so it’s all part of the process
Nick Kyrgios;m;eskerrak;relaciones;i’m doing it for my team as well you know we’re we’re we’ve all been away from home now for a while
Novak Djokovic;m;eskerrak;relaciones;i love her she’s my great support well
Novak Djokovic;m;konplizitatea;relaciones;i know that she doesn’t enjoy it at all times it’s kind of living on the edge with the wolf
Bianca Andreescu;f;publikoa irabazi;relaciones;this kind of stage in front of all of you it’s it’s an honor
Casper Ruud;m;publikoa irabazi;relaciones;I’m so happy to get a win on this special Court in front of an amazing crowd I think everyone were I know I was playing in American but they were very fair and a very nice crowd so thanks for the the support
Iga Swiatek;f;publikoa irabazi;relaciones;it’s so fun to play with you know almost full stadium i really love it so the atmosphere is great
Iga Swiatek;f;publikoa irabazi;relaciones;i’m pretty happy that that people like my game and they want to come because i always wanted to attract more people in tennis
Jannik Sinner;m;publikoa irabazi;relaciones;thanks everyone for staying so long it’s a very it’s uh i knew that i play against um an american today but it was very very nice to have you because it’s a very very fair atmosphere so thank you so much
Nick Kyrgios;m;publikoa irabazi;relaciones;yeah amazing thank you for hanging around i know it’s late
Nick Kyrgios;m;publikoa irabazi;relaciones;i just appreciate what she’s done i’m sure everyone in this building uh does as well
Novak Djokovic;m;publikoa irabazi;relaciones;thank you so much appreciate your your contribution to this match
Ons Jabeur;f;publikoa irabazi;relaciones;the crowd is always here to cheer for me so it’s unbelievable small or because they’re always here so thank you guys
Rafael Nadal;m;publikoa irabazi;relaciones;sessions here in new york are the best in the world without a doubt now so play play here is amazing of you so thank you for very much
Bianca Andreescu;f;umiltasuna;actitud;i’d say a lot of experience you know playing on the stage in front of all of you and so i really got that experience and dealt with it way better than i expected today honestly
Casper Ruud;m;umiltasuna;actitud;I will try to get ready for uh Sunday and it will be another tough match for sure
Casper Ruud;m;umiltasuna;actitud;well it’s a little surprising honestly I didn’t think uh I was going to be in this situation
Nick Kyrgios;m;umiltasuna;actitud;playing for a lot of people back home as well so hopefully i can keep it going
Ons Jabeur;f;umiltasuna;actitud;i’m just enjoying playing tennis and uh i started in in like a very very small tennis clubs and so to be able to play here one day it’s unbelievable
Rafael Nadal;m;umiltasuna;actitud;let’s see if i am able to to play a little bit better and i hope to give myself a chance to keep going
Ajla Tomljanović;f;epaiketa teknikoak;evaluacion;the pressure wasn’t on on me so she’s serena i i didn’t think that you know i even until the last point i knew that she’s in a really good position to win even when she’s down 5-1 and i don’t know how many match points i needed to finish it off
