Name,Age,Nationality,Cause,Location,,Month,Day,Year
Tuk Bahadur Thapa Magar Sherpa,,   Nepal,Altitude sickness,5500m N.E. Ridge,,April,7,2006
Karma Gyalzen Sherpa,,   Nepal,Altitude sickness,6000m S.E. Ridge,,May,24,2003
Shailendra Kumar Upadhyaya,82,   Nepal,Altitude sickness,Base Camp,,May,9,2011
Karsang Namgyal Sherpa,,   Nepal,Altitude sickness,Base Camp,,April,19,2012
Francesco Enrico Marchetti,54, Australia,Altitude sickness,Camp IV,,May,21,2017
Reinhard Wlasich,, Austria,Altitude sickness,"8300m North Face, Great Couloir",,May,19,1996
Wenhong Wu,41, China,Altitude sickness,8750m,,May,19,2009
Thomas Weber,, Germany,Altitude sickness,8700m N.E. Ridge,,May,25,2006
Subhash Pal,44, India,Altitude sickness,Around Camp III,,May,22,2016
John Delaney,42, Ireland,Altitude sickness,8400m The Balcony,,May,21,2011
Kevin Hynes,56, Ireland,Altitude sickness,North Col,,May,24,2019
Takashi Ozaki,58, Japan,Altitude sickness,8400m The Balcony,,May,12,2011
Eric Arnold,35, Netherlands,Altitude sickness,South Col / Camp IV,,May,21,2016
Igor Plyushkin,, Russia,Altitude sickness,7800m N.E. Ridge,,May,22,2006
Vladimír Štrba,48, Slovakia,Altitude sickness,"Camp IV, in the tent",,May,21,2017
Roland Yearwood,50, United Kingdom,Altitude sickness,Balcony,,May,20,2017
Donald Cash,55, United Kingdom,Altitude sickness,Hillary Step,,May,22,2019
Ravi Thakar,28,Indian,Altitude sickness,Camp 4,,May,17,2019
Ang Pinjo,,   Nepal,Altitude sickness,,,December,12,1989
Unknown climber,,   Nepal,Altitude sickness,Camp IV (south side) in tent,,May,22,2013
Sajal Khaled (Mohammed Khaled Hossain),35, Bangladesh,Altitude sickness,South Col Camp,,May,21,2013
Ha Wenyi,55, China,Altitude sickness,Balcony,,May,20,2012
Seo Sung-ho,33, South Korea,Altitude sickness,On descent (south side),,May,21,2013
DaRita Sherpa,37,   Nepal,Altitude sickness,Camp III on south side,,May,5,2013
Sergey Ponomarev,, Russia,Altitude sickness,At 100m above ABC on north side (at about 6500m),,May,5,2013
Dorje,,   Nepal,Avalanche,Below North Col,,June,7,1922
Norbu,,   Nepal,Avalanche,Below North Col,,June,7,1922
Pasang,,   Nepal,Avalanche,Below North Col,,June,7,1922
Pema,,   Nepal,Avalanche,Below North Col,,June,7,1922
Sange,,   Nepal,Avalanche,Below North Col,,June,7,1922
Temba,,   Nepal,Avalanche,Below North Col,,June,7,1922
Nima Dorje,,   Nepal,Avalanche,Icefall,,April,5,1970
Kunga Norbu,,   Nepal,Avalanche,,,April,5,1970
Mima Norbu,,   Nepal,Avalanche,Icefall,,April,5,1970
Pasang,,   Nepal,Avalanche,Icefall,,April,5,1970
Kami Tshering,,   Nepal,Avalanche,Icefall,,April,5,1970
Jangbu,,   Nepal,Avalanche,S.W. Face,,October,12,1973
Pemba Dorje,,   Nepal,Avalanche,6400m,,September,9,1974
Lhakpa,,   Nepal,Avalanche,6400m,,September,9,1974
Nawang Lutuk,,   Nepal,Avalanche,6400m,,September,9,1974
Nima Wangchu,,   Nepal,Avalanche,6400m,,September,9,1974
Sanu Wongal,,   Nepal,Avalanche,6400m,,September,9,1974
Ang Chuldim,20,   Nepal,Avalanche,Icefall,,August,31,1982
Dawa Dorje,42,   Nepal,Avalanche,Icefall,,August,31,1982
Pasang Sona,38,   Nepal,Avalanche,Icefall,,August,31,1982
Ang Rinji,,   Nepal,Avalanche,Icefall,,March,26,1984
Dawa Norbu,,   Nepal,Avalanche,Below North Col,,October,17,1986
Mangal Singh,,   Nepal,Avalanche,Base camp,,October,20,1987
Narayan Shrestha,,   Nepal,Avalanche,7200m,,September,21,1988
Ang Sona,,   Nepal,Avalanche,Unknown,,September,14,1990
Badri Nath,,   Nepal,Avalanche,Unknown,,September,14,1990
Mingma Norbu,,   Nepal,Avalanche,Unknown,,September,12,1994
Lopsang Jangbu,23,   Nepal,Avalanche,7400m Lhotse Face,,September,25,1996
Dawa,,   Nepal,Avalanche,7400m Lhotse Face,,September,25,1996
Ang Phinjo Sherpa,50,   Nepal,Avalanche,5900m Icefall,,April,21,2006
Lhakpa Tseri,,   Nepal,Avalanche,5900m Icefall,,April,21,2006
Dawa Temba,,   Nepal,Avalanche,5900m Icefall,,April,21,2006
Lhakpa Nuru,,   Nepal,Avalanche,Icefall,,May,7,2009
Simon Burkhardt,52,  Switzerland,Avalanche,7315m,,September,28,1986
Víctor Hugo Trujillo,22, Chile,Avalanche,Below North Col,,August,16,1986
Lou Lan [note 5],, China,Avalanche,Below North Col,,October,12,1979
Nima Thaxi [note 6],, China,Avalanche,Below North Col,,October,12,1979
Gérard Devouassoux,, France,Avalanche,6400m,,September,9,1974
Yves Bouchon,, France,Avalanche,7400m Lhotse Face,,September,25,1996
Alston Mendonca,, India,Avalanche,Below North Col,,May,24,1922
Akira Ube,31, Japan,Avalanche,7900m North Face (Hornbein Couloir),,May,2,1980
Shinichi Ishii,, Japan,Avalanche,Below North Col,,September,19,1985
Mirosław Dąsal,37, Poland,Avalanche,7200m W ridge,,May,27,1989
