"","couple_id","woman_eye_color","couple_eye_color"
"1",1,"blue eyes","blue eyes"
"2",2,"blue eyes","blue eyes"
"3",3,"blue eyes","blue eyes"
"4",4,"blue eyes","blue eyes"
"5",5,"blue eyes","blue eyes"
"6",6,"blue eyes","blue eyes"
"7",7,"blue eyes","blue eyes"
"8",8,"blue eyes","blue eyes"
"9",9,"blue eyes","blue eyes"
"10",10,"blue eyes","blue eyes"
"11",11,"blue eyes","blue eyes"
"12",12,"blue eyes","blue eyes"
"13",13,"blue eyes","blue eyes"
"14",14,"blue eyes","blue eyes"
"15",15,"blue eyes","blue eyes"
"16",16,"blue eyes","blue eyes"
"17",17,"blue eyes","blue eyes"
"18",18,"blue eyes","blue eyes"
"19",19,"blue eyes","blue eyes"
"20",20,"blue eyes","blue eyes"
"21",21,"blue eyes","blue eyes"
"22",22,"blue eyes","blue eyes"
"23",23,"blue eyes","blue eyes"
"24",24,"blue eyes","blue eyes"
"25",25,"blue eyes","blue eyes"
"26",26,"blue eyes","blue eyes"
"27",27,"blue eyes","blue eyes"
"28",28,"blue eyes","blue eyes"
"29",29,"blue eyes","blue eyes"
"30",30,"blue eyes","blue eyes"
"31",31,"blue eyes","blue eyes"
"32",32,"blue eyes","blue eyes"
"33",33,"blue eyes","blue eyes"
"34",34,"blue eyes","blue eyes"
"35",35,"blue eyes","blue eyes"
"36",36,"blue eyes","blue eyes"
"37",37,"blue eyes","blue eyes"
"38",38,"blue eyes","blue eyes"
"39",39,"blue eyes","blue eyes"
"40",40,"blue eyes","blue eyes"
"41",41,"blue eyes","blue eyes"
"42",42,"blue eyes","blue eyes"
"43",43,"blue eyes","blue eyes"
"44",44,"blue eyes","blue eyes"
"45",45,"blue eyes","blue eyes"
"46",46,"blue eyes","blue eyes"
"47",47,"blue eyes","blue eyes"
"48",48,"blue eyes","blue eyes"
"49",49,"blue eyes","blue eyes"
"50",50,"blue eyes","blue eyes"
"51",51,"blue eyes","blue eyes"
"52",52,"blue eyes","blue eyes"
"53",53,"blue eyes","blue eyes"
"54",54,"blue eyes","blue eyes"
"55",55,"blue eyes","blue eyes"
"56",56,"blue eyes","blue eyes"
"57",57,"blue eyes","blue eyes"
"58",58,"blue eyes","blue eyes"
"59",59,"blue eyes","blue eyes"
"60",60,"blue eyes","blue eyes"
"61",61,"blue eyes","blue eyes"
"62",62,"blue eyes","blue eyes"
"63",63,"blue eyes","blue eyes"
"64",64,"blue eyes","blue eyes"
"65",65,"blue eyes","blue eyes"
"66",66,"blue eyes","blue eyes"
"67",67,"blue eyes","blue eyes"
"68",68,"blue eyes","blue eyes"
"69",69,"blue eyes","blue eyes"
"70",70,"blue eyes","blue eyes"
"71",71,"blue eyes","blue eyes"
"72",72,"blue eyes","blue eyes"
"73",73,"blue eyes","blue eyes"
"74",74,"blue eyes","blue eyes"
"75",75,"blue eyes","blue eyes"
"76",76,"blue eyes","blue eyes"
"77",77,"blue eyes","blue eyes"
"78",78,"blue eyes","blue eyes"
"79",79,"blue eyes","brown eyes"
"80",80,"blue eyes","brown eyes"
"81",81,"blue eyes","brown eyes"
"82",82,"blue eyes","brown eyes"
"83",83,"blue eyes","brown eyes"
"84",84,"blue eyes","brown eyes"
"85",85,"blue eyes","brown eyes"
"86",86,"blue eyes","brown eyes"
"87",87,"blue eyes","brown eyes"
"88",88,"blue eyes","brown eyes"
"89",89,"blue eyes","brown eyes"
"90",90,"blue eyes","brown eyes"
"91",91,"blue eyes","brown eyes"
"92",92,"blue eyes","brown eyes"
"93",93,"blue eyes","brown eyes"
"94",94,"blue eyes","brown eyes"
"95",95,"blue eyes","brown eyes"
"96",96,"blue eyes","brown eyes"
"97",97,"blue eyes","brown eyes"
"98",98,"blue eyes","green eyes"
"99",99,"blue eyes","green eyes"
"100",100,"blue eyes","green eyes"
"101",101,"blue eyes","green eyes"
"102",102,"blue eyes","green eyes"
"103",103,"blue eyes","green eyes"
"104",104,"blue eyes","green eyes"
"105",105,"blue eyes","green eyes"
"106",106,"blue eyes","green eyes"
"107",107,"blue eyes","green eyes"
"108",108,"blue eyes","green eyes"
"109",109,"brown eyes","blue eyes"
"110",110,"brown eyes","blue eyes"
"111",111,"brown eyes","blue eyes"
"112",112,"brown eyes","blue eyes"
"113",113,"brown eyes","blue eyes"
"114",114,"brown eyes","blue eyes"
"115",115,"brown eyes","blue eyes"
"116",116,"brown eyes","blue eyes"
"117",117,"brown eyes","blue eyes"
"118",118,"brown eyes","blue eyes"
"119",119,"brown eyes","blue eyes"
"120",120,"brown eyes","blue eyes"
"121",121,"brown eyes","blue eyes"
"122",122,"brown eyes","blue eyes"
"123",123,"brown eyes","blue eyes"
"124",124,"brown eyes","blue eyes"
"125",125,"brown eyes","blue eyes"
"126",126,"brown eyes","blue eyes"
"127",127,"brown eyes","blue eyes"
"128",128,"brown eyes","blue eyes"
"129",129,"brown eyes","blue eyes"
"130",130,"brown eyes","blue eyes"
"131",131,"brown eyes","blue eyes"
"132",132,"brown eyes","brown eyes"
"133",133,"brown eyes","brown eyes"
"134",134,"brown eyes","brown eyes"
"135",135,"brown eyes","brown eyes"
"136",136,"brown eyes","brown eyes"
"137",137,"brown eyes","brown eyes"
"138",138,"brown eyes","brown eyes"
"139",139,"brown eyes","brown eyes"
"140",140,"brown eyes","brown eyes"
"141",141,"brown eyes","brown eyes"
"142",142,"brown eyes","brown eyes"
"143",143,"brown eyes","brown eyes"
"144",144,"brown eyes","brown eyes"
"145",145,"brown eyes","brown eyes"
"146",146,"brown eyes","brown eyes"
"147",147,"brown eyes","brown eyes"
"148",148,"brown eyes","brown eyes"
"149",149,"brown eyes","brown eyes"
"150",150,"brown eyes","brown eyes"
"151",151,"brown eyes","brown eyes"
"152",152,"brown eyes","brown eyes"
"153",153,"brown eyes","brown eyes"
"154",154,"brown eyes","brown eyes"
"155",155,"brown eyes","green eyes"
"156",156,"brown eyes","green eyes"
"157",157,"brown eyes","green eyes"
"158",158,"brown eyes","green eyes"
"159",159,"brown eyes","green eyes"
"160",160,"brown eyes","green eyes"
"161",161,"brown eyes","green eyes"
"162",162,"brown eyes","green eyes"
"163",163,"brown eyes","green eyes"
"164",164,"green eyes","blue eyes"
"165",165,"green eyes","blue eyes"
"166",166,"green eyes","blue eyes"
"167",167,"green eyes","blue eyes"
"168",168,"green eyes","blue eyes"
"169",169,"green eyes","blue eyes"
"170",170,"green eyes","blue eyes"
"171",171,"green eyes","blue eyes"
"172",172,"green eyes","blue eyes"
"173",173,"green eyes","blue eyes"
"174",174,"green eyes","blue eyes"
"175",175,"green eyes","blue eyes"
"176",176,"green eyes","blue eyes"
"177",177,"green eyes","brown eyes"
"178",178,"green eyes","brown eyes"
"179",179,"green eyes","brown eyes"
"180",180,"green eyes","brown eyes"
"181",181,"green eyes","brown eyes"
"182",182,"green eyes","brown eyes"
"183",183,"green eyes","brown eyes"
"184",184,"green eyes","brown eyes"
"185",185,"green eyes","brown eyes"
"186",186,"green eyes","brown eyes"
"187",187,"green eyes","brown eyes"
"188",188,"green eyes","brown eyes"
"189",189,"green eyes","green eyes"
"190",190,"green eyes","green eyes"
"191",191,"green eyes","green eyes"
"192",192,"green eyes","green eyes"
"193",193,"green eyes","green eyes"
"194",194,"green eyes","green eyes"
