center,type,Rel,Fem,Antibullying,LGTB,Ecol,Exam,Coop,Dep,Cri,Pluril,score,qualif
Colegio San Prudencio Ikastetxea,COOP,NO,1,1,1,0,1,1,1,1,1,8.888888889,NOTABLE
Colegio NCLIC School de Vitoria-Gasteiz,CON,NO,1,1,0,1,0,1,1,1,1,7.777777778,NOTABLE
Colegio Aiurri Montessori de Vitoria-Gasteiz ,CON,NO,1,0,0,1,0,1,1,1,1,6.666666667,BIEN
Colegio Nazareth de Vitoria-Gasteiz,CON,SI,0,1,0,1,0,1,1,1,1,6.666666667,SUFICIENTE
Colegio Ramón Bajo,PU,NO,1,1,1,0,0,0,1,1,1,6.666666667,BIEN
Colegio Calasanz de Vitoria-Gasteiz,CON,SI,0,1,0,1,0,1,1,0,1,5.555555556,SUFICIENTE
Colegio Hogar San José de Vitoria-Gasteiz ,CON,SI,1,0,0,1,0,1,1,0,1,5.555555556,SUFICIENTE
Armentia Ikastola,COOP,NO,0,0,0,0,0,1,1,1,1,4.444444444,SUSPENSO
Colegio A. Lpz. De Guereñu-jose Mardones,PU,NO,0,0,0,0,0,1,1,1,1,4.444444444,SUSPENSO
Colegio Ceu Virgen Niña de Vitoria-Gasteiz ,CON,SI,0,0,0,1,0,0,1,1,1,4.444444444,SUSPENSO
Colegio Lakuabizkarra de Vitoria-Gasteiz ,PU,NO,1,0,1,0,0,0,0,1,1,4.444444444,SUSPENSO
Colegio Luis Dorao Ikastetxea,PU,NO,0,0,0,1,0,1,1,0,1,4.444444444,SUSPENSO
Colegio N.S. de Las Mercedes de Vitoria-Gasteiz ,CON,SI,0,0,0,0,0,1,1,1,1,4.444444444,SUSPENSO
Colegio Olabide Ikastola,COOP,NO,0,0,0,0,0,1,1,1,1,4.444444444,SUSPENSO
Colegio Urkide de Vitoria-Gasteiz,COOP,SI,0,1,1,0,0,0,1,0,1,4.444444444,SUSPENSO
Colegio Vera Cruz Ikastetxea,CON,SI,0,0,1,0,0,0,1,1,1,4.444444444,SUSPENSO
Colegio Abetxuko Ikastola,PU,NO,0,0,0,1,0,0,1,0,1,3.333333333,SUSPENSO
Colegio Ángel Ganivet-santa Lucía de Vitoria-Gasteiz,PU,NO,0,0,0,1,0,0,1,0,1,3.333333333,SUSPENSO
Colegio Aranzabela Ikastola,PU,NO,1,0,0,1,0,0,0,0,1,3.333333333,SUSPENSO
Colegio Carmelitas Sagrado Corazón,CON,SI,0,0,0,1,0,0,1,0,1,3.333333333,SUSPENSO
Colegio Inmaculada Concepción de Vitoria-Gasteiz,CON,SI,0,0,0,0,0,0,1,1,1,3.333333333,SUSPENSO
Colegio San Viator Ikastetxea,CON,SI,0,0,0,0,0,1,1,0,1,3.333333333,SUSPENSO
Colegio Abendaño Ikastola de Vitoria-Gasteiz ,PU,NO,0,0,0,0,0,0,1,0,1,2.222222222,SUSPENSO
Colegio Candido Ruiz De Garibay-andra Mari,PU,NO,0,0,0,0,0,0,1,0,1,2.222222222,SUSPENSO
Colegio Divino Maestro-María De Maeztu de Vitoria-Gasteiz ,PU,NO,0,0,0,0,0,0,1,0,1,2.222222222,SUSPENSO
Colegio Errekabarri de Vitoria-Gasteiz ,PU,NO,0,0,0,0,0,0,1,0,1,2.222222222,SUSPENSO
Colegio Eulogio Gómez,PU,NO,0,0,0,0,0,0,1,0,1,2.222222222,SUSPENSO
Colegio Judimendi,PU,NO,0,0,0,0,0,0,0,1,1,2.222222222,SUSPENSO
Colegio Mariturri Ikastetxea,PU,NO,0,0,0,0,0,0,1,0,1,2.222222222,SUSPENSO
Colegio Odon De Apraiz Ikastola,PU,NO,0,0,0,0,0,0,1,0,1,2.222222222,SUSPENSO
Colegio Paula Montal,CON,SI,0,0,0,0,0,0,1,0,1,2.222222222,SUSPENSO
Colegio Sagrado Corazón de Vitoria-Gasteiz ,CON,SI,0,0,0,0,0,0,1,0,1,2.222222222,SUSPENSO
Colegio San Ignacio de Vitoria-Gasteiz ,PU,NO,0,0,0,0,0,0,1,0,1,2.222222222,SUSPENSO
Colegio Santa María (Marianistas),CON,SI,0,0,0,0,0,0,1,0,1,2.222222222,SUSPENSO
Colegio Santa María De Estibaliz de Vitoria-Gasteiz,PU,NO,0,0,0,1,0,0,0,0,1,2.222222222,SUSPENSO
Colegio Toki Eder Ikastola,PU,NO,0,0,0,0,0,0,1,0,1,2.222222222,SUSPENSO
Colegio Adurza Ikastola,PU,NO,0,0,0,0,0,0,0,0,1,1.111111111,SUSPENSO
Colegio Aranbizkarra Ikastola Komunitatea,PU,NO,0,0,0,0,0,0,0,0,1,1.111111111,SUSPENSO
Colegio De Educación Primaria De Vitoria-gasteiz,PU,NO,0,0,0,0,0,0,0,0,1,1.111111111,SUSPENSO
Colegio Ibaiondo de Vitoria-Gasteiz,PU,NO,0,0,0,0,0,0,0,0,1,1.111111111,SUSPENSO
Colegio Landazuri Ikastola de Vitoria-Gasteiz ,PU,NO,0,0,0,0,0,0,0,0,1,1.111111111,SUSPENSO
Colegio Padre Orbiso,PU,NO,0,0,0,0,0,0,0,0,1,1.111111111,SUSPENSO
Colegio Pedro Ignacio Barrutia ,PU,NO,0,0,0,0,0,0,0,0,1,1.111111111,SUSPENSO
Colegio Sansomendi Ikastetxea,PU,NO,0,0,0,0,0,0,0,0,1,1.111111111,SUSPENSO
Colegio Umandi Ikastola,PU,NO,0,0,0,0,0,0,0,0,1,1.111111111,SUSPENSO
Colegio Valle Inclan-ignacio Aldecoa-n.s.Itziar,PU,NO,0,0,0,0,0,0,0,0,1,1.111111111,SUSPENSO
