"","country","code","male","female"
"1","Afghanistan","AFG",17.6431546464286,17.7703397682143
"2","Albania","ALB",10.7846401939286,11.1611085989286
"3","Algeria","DZA",14.1661590696429,15.0526361935714
"4","American Samoa","ASM",10.6791567621429,11.00980863
"5","Andean Latin America","",11.9442962721429,12.7958929292857
"6","Andorra","AND",13.6566897635714,15.8605866689286
"7","Angola","AGO",12.5358325385714,12.3864053353571
"8","Antigua and Barbuda","ATG",12.9435599271429,13.3482811332143
"9","Argentina","ARG",13.5834091225,17.5124834585714
"10","Armenia","ARM",10.6729203125,10.6151880982143
"11","Australasia","",17.5402756171429,19.3718845371429
"12","Australia","AUS",17.5930251592857,19.2016664596429
"13","Austria","AUT",13.1909020585714,15.7246949060714
"14","Azerbaijan","AZE",10.4077396275,10.4531732007143
"15","Bahamas","BHS",13.1356648796429,13.4736973646429
"16","Bahrain","BHR",14.1778888014286,15.1029297292857
"17","Bangladesh","BGD",12.1364204007143,13.8061937614286
"18","Barbados","BRB",13.4134134714286,13.5518472882143
"19","Belarus","BLR",12.0621848725,12.1200200582143
"20","Belgium","BEL",14.2990320260714,15.3810271146429
"21","Belize","BLZ",13.3388889907143,13.4115845021429
"22","Benin","BEN",11.8662764428571,11.7031379725
"23","Bermuda","BMU",13.5485417482143,14.015133375
"24","Bhutan","BTN",11.7458635782143,12.4223788517857
"25","Bolivia","BOL",12.2224565446429,13.4137680067857
"26","Bosnia and Herzegovina","BIH",11.1578994296429,11.3470699675
"27","Botswana","BWA",12.9002993028571,12.1125558585714
"28","Brazil","BRA",13.2185133560714,16.2396380221429
"29","Brunei","BRN",11.1093171517857,11.7295257335714
"30","Bulgaria","BGR",11.1193148910714,11.5445246182143
"31","Burkina Faso","BFA",12.0743937417857,11.6775539214286
"32","Burundi","BDI",12.7762630610714,13.6322398339286
"33","Cambodia","KHM",11.9333479735714,12.91157189
"34","Cameroon","CMR",11.7740496010714,11.7172357167857
"35","Canada","CAN",14.9802054410714,15.6922873939286
"36","Cape Verde","CPV",12.6283128917857,11.8066119610714
"37","Caribbean","",13.5139140214286,14.0214410621429
"38","Central African Republic","CAF",12.8274934014286,12.5467334446429
"39","Central Asia","",10.8712502642857,10.8451582978571
"40","Central Europe","",11.0539148189286,11.1718227135714
"41","Central Europe, Eastern Europe, and Central Asia","",11.4058266417857,11.4982234971429
"42","Central Latin America","",10.4254712810714,10.8576831882143
"43","Central Sub-Saharan Africa","",12.6715981028571,12.4366622175
"44","Chad","TCD",12.1417891964286,12.2176742742857
"45","Chile","CHL",13.9338934796429,18.1397780075
"46","China","CHN",11.3980941921429,11.6601763385714
"47","Colombia","COL",10.3834637821429,9.89733947457143
"48","Comoros","COM",11.7971898796429,12.6376187146429
"49","Congo","COG",12.3937412071429,12.3898687242857
"50","Costa Rica","CRI",10.8694559814286,10.9237788996429
"51","Cote d'Ivoire","CIV",11.5523007164286,11.2737075296429
"52","Croatia","HRV",11.4712676185714,11.6417878789286
"53","Cuba","CUB",14.0574992357143,14.6919133007143
"54","Cyprus","CYP",13.1534829085714,15.2518458571429
"55","Czech Republic","CZE",11.2975968364286,11.4951714632143
"56","Democratic Republic of Congo","COD",12.7257850307143,12.4555172192857
"57","Denmark","DNK",13.5409230910714,15.4230368121429
"58","Djibouti","DJI",12.1204973032143,12.8620373378571
"59","Dominica","DMA",13.1220812210714,13.3128412828571
"60","Dominican Republic","DOM",13.2053297553571,13.8106528239286
"61","East Asia","",11.4067764207143,11.6508898642857
"62","Eastern Europe","",11.8158031221429,11.8900064767857
"63","Eastern Sub-Saharan Africa","",12.5001915417857,13.2859974821429
"64","Ecuador","ECU",12.25295339,13.0915961978571
"65","Egypt","EGY",14.4885477678571,15.0912225257143
"66","El Salvador","SLV",10.7326214039286,11.2167725214286
"67","England","",14.0460094560714,15.0108547089286
"68","Equatorial Guinea","GNQ",12.5199296839286,12.3815623814286
"69","Eritrea","ERI",12.4625729310714,13.2557806078571
"70","Estonia","EST",11.9185263182143,12.63200189
"71","Ethiopia","ETH",13.0743225564286,13.5861349542857
"72","Fiji","FJI",10.8826728953571,11.2748583475
"73","Finland","FIN",14.970002815,15.4241911503571
"74","France","FRA",14.383366185,18.5751283757143
"75","Gabon","GAB",12.5121163507143,12.178242615
"76","Gambia","GMB",11.5511261321429,13.0212771842857
"77","Georgia","GEO",10.7673524364286,10.7180422442857
"78","Germany","DEU",13.2480795889286,17.1022248357143
"79","Ghana","GHA",11.7168766314286,11.2934352814286
"80","Greece","GRC",14.0387678039286,16.9061214296429
"81","Greenland","GRL",16.5573121421429,19.1500402910714
"82","Grenada","GRD",13.3477331935714,13.3690251771429
"83","Guam","GUM",11.3108991746429,11.3978571846429
"84","Guatemala","GTM",10.9493148853571,11.5102136921429
"85","Guinea","GIN",11.5662406453571,11.6522447521429
"86","Guinea-Bissau","GNB",11.5947667242857,11.7148151314286
"87","Guyana","GUY",14.1018575846429,14.7414579821429
"88","Haiti","HTI",13.23563096,13.7434582014286
"89","High SDI","",14.0200166414286,15.6240896432143
"90","High-income","",14.3866729353571,16.4128586028571
"91","High-income Asia Pacific","",11.8612063942857,11.95838495
"92","High-middle SDI","",12.2123035764286,12.9191769942857
"93","Honduras","HND",10.4371039971429,10.7629056071429
"94","Hungary","HUN",11.3144149117857,11.6484453789286
"95","Iceland","ISL",13.14593239,15.3767703585714
"96","India","IND",14.8045626596429,15.1340354267857
"97","Indonesia","IDN",10.5407699957143,11.5557774085714
"98","Iran","IRN",17.2220003378571,18.4000540992857
"99","Iraq","IRQ",12.8090788317857,15.0335122325
"100","Ireland","IRL",14.3678953332143,16.67759149
"101","Israel","ISR",12.5305123067857,13.3336966228571
"102","Italy","ITA",13.5602565978571,15.9370493103571
"103","Jamaica","JAM",13.0368832082143,13.3167317914286
"104","Japan","JPN",12.3471153139286,11.8459648967857
"105","Jordan","JOR",14.2813120603571,15.1411758464286
"106","Kazakhstan","KAZ",11.180195805,11.1445182771429
"107","Kenya","KEN",11.9925060375,12.8111355996429
"108","Kiribati","KIR",11.3205418478571,11.4106884896429
"109","Kuwait","KWT",13.6060784875,14.8497344339286
"110","Kyrgyzstan","KGZ",11.093770025,11.0124211057143
"111","Laos","LAO",12.2642569435714,13.1294079982143
"112","Latin America and Caribbean","",11.94860376,13.4526271125
"113","Latvia","LVA",11.8007373828571,11.6619654725
"114","Lebanon","LBN",15.1278275921429,16.7363160089286
"115","Lesotho","LSO",13.96034807,13.8403469257143
"116","Liberia","LBR",11.6092450585714,12.5695357428571
"117","Libya","LBY",13.88477648,14.8646692282143
"118","Lithuania","LTU",12.0916816942857,12.2793507160714
"119","Low SDI","",13.7447845517857,14.1049232989286
"120","Low-middle SDI","",13.3746316360714,14.0182399667857
"121","Luxembourg","LUX",13.57609326,15.9417070432143
"122","Macedonia","MKD",10.8128549378571,11.2208512914286
"123","Madagascar","MDG",12.2810548628571,13.0548011739286
"124","Malawi","MWI",11.9175195889286,12.6948327457143
"125","Malaysia","MYS",11.4270409846429,12.8605761853571
"126","Maldives","MDV",11.1494655157143,12.3630592735714
"127","Mali","MLI",11.3586605253571,11.1748567732143
"128","Malta","MLT",13.3285836146429,15.3710371160714
"129","Marshall Islands","MHL",11.12741828,11.3710286107143
"130","Mauritania","MRT",11.632543525,11.0113387782143
"131","Mauritius","MUS",11.0060033925,12.1593138217857
"132","Mexico","MEX",10.1729435448929,11.1514260967857
"133","Micronesia (country)","FSM",11.1479579096429,11.3632657025
"134","Middle SDI","",11.7171163653571,12.2707457053571
"135","Moldova","MDA",11.5733702567857,11.6379421635714
"136","Mongolia","MNG",11.3052703539286,11.2378967557143
"137","Montenegro","MNE",10.9866739207143,11.4284754528571
"138","Morocco","MAR",15.8179720632143,17.2062872025
"139","Mozambique","MOZ",12.5014441164286,13.2127184614286
"140","Myanmar","MMR",11.0190532839286,11.6676983307143
"141","Namibia","NAM",12.6382213439286,11.5037152907143
"142","Nepal","NPL",13.0017878835714,13.5174924375
"143","Netherlands","NLD",14.6978137371429,17.6302221414286
"144","New Zealand","NZL",17.2887367603571,20.2117064714286
"145","Nicaragua","NIC",10.8029384739286,10.9671437864286
"146","Niger","NER",12.0683783714286,12.0201616742857
"147","Nigeria","NGA",11.9880323010714,12.3184640214286
"148","North Africa and Middle East","",15.0529267407143,15.9364929435714
"149","North America","",16.2268750632143,18.0153715428571
"150","North Korea","PRK",11.7289721167857,11.5622208639286
"151","Northern Ireland","",16.3142501242857,19.0309410839286
"152","Northern Mariana Islands","MNP",11.020424805,11.0218133896429
"153","Norway","NOR",14.8869134357143,17.4326213110714
"154","Oceania","",11.2419987060714,11.5678573489286
"155","Oman","OMN",13.5055133392857,14.5117574021429
"156","Pakistan","PAK",11.8283821225,12.7621692189286
"157","Palestine","PSE",15.9222654685714,16.3380858403571
"158","Panama","PAN",10.6465154592857,10.7541390664286
"159","Papua New Guinea","PNG",11.3214644946429,11.6568538507143
"160","Paraguay","PRY",12.8225193046429,15.3193808871429
"161","Peru","PER",11.7151682692857,12.4652044578571
"162","Philippines","PHL",10.7394089635714,11.5882879514286
"163","Poland","POL",11.0385622264286,10.86899475
"164","Portugal","PRT",14.07719016,16.8182549135714
"165","Puerto Rico","PRI",13.5824746371429,13.4592658814286
"166","Qatar","QAT",13.6930729896429,14.78753664
"167","Romania","ROU",10.7389517721429,10.8303017617857
"168","Russia","RUS",11.6781742935714,11.722354745
"169","Rwanda","RWA",12.2538619896429,13.5594689403571
"170","Saint Lucia","LCA",13.4118146717857,13.4519265232143
"171","Saint Vincent and the Grenadines","VCT",13.3453302403571,13.3186544064286
"172","Samoa","WSM",10.9715575667857,11.1758963028571
"173","Sao Tome and Principe","STP",11.3483881260714,11.2081354942857
"174","Saudi Arabia","SAU",13.1729790392857,14.2668819742857
"175","Scotland","",13.453585195,15.03175228
