"V1","V2"
"ABBIE HOFFMAN","JENNY"
"ABBIE HOFFMAN","POLICEMAN"
"ANCHORMAN","FORREST"
"ANCHORMAN","LT DAN"
"ANCHORMAN","MARGO"
"ANCHORMAN","MRS GUMP"
"ANCHORMAN","PRESIDENT JOHNSON"
"ANNOUNCER","FORREST"
"ANNOUNCER","JENNY"
"ANNOUNCER","LT DAN"
"ANOTHER DAY","BUBBA"
"ANOTHER DAY","NIGHT"
"ANOTHER DAY","SONG"
"ASSISTANT COACH","FOOTBALL COACH"
"ASSISTANT COACH","FORREST"
"BERT","ERNIE"
"BERT","FORREST JR"
"BILLY","BLACK WOMAN"
"BLACK WOMAN","JENNY"
"BLACK WOMAN","WHITE WOMAN"
"BOB HOPE","LT DAN"
"BOY","JENNY"
"BOY #1","BOY #2"
"BOY #1","BOY #3"
"BOY #1","FORREST"
"BOY #1","JENNY"
"BOY #1","SLOW MOTION"
"BOY #2","BOY #3"
"BOY #2","FORREST"
"BOY #2","JENNY"
"BOY #2","SLOW MOTION"
"BOY #3","FORREST"
"BOY #3","JENNY"
"BOY #3","SLOW MOTION"
"BUBBA","DALLAS"
"BUBBA","MAN"
"BUBBA","NIGHT"
"BUBBA","SGT SIMS"
"BUBBA","SOLDIER"
"BUBBA","STRONGARM"
"BUS STOP - PRESENT - DAY","DICK CAVETT"
"BUS STOP - PRESENT - DAY","JOHN LENNON"
"CAB DRIVER","JENNY"
"CARLA","FORREST"
"CARLA","LT DAN"
"ASSISTANT COACH","CHET HUNTLEY"
"CHET HUNTLEY","FOOTBALL COACH"
"CHET HUNTLEY","FORREST"
"CHET HUNTLEY","GOVERNOR WALLACE"
"DALLAS","MAN"
"DALLAS","STRONGARM"
"DEAN","FORREST"
"DEAN","MRS GUMP"
"DICK CAVETT","JOHN LENNON"
"CARLA","DICK CLARK"
"DICK CLARK","FORREST"
"DICK CLARK","LENORE"
"DICK CLARK","LT DAN"
"DOCTOR","FORREST"
"ANOTHER DAY","DRILL SERGEANT"
"BUBBA","DRILL SERGEANT"
"DRILL SERGEANT","FORREST"
"DRILL SERGEANT","NIGHT"
"DRILL SERGEANT","SONG"
"ELVIS","MRS GUMP"
"EMCEE","JENNY"
"EMCEE","MAN #"
"EMCEE","MAN #1"
"EMCEE","MAN #2"
"EMCEE","MAN #3"
"EMCEE","MAN #5"
"EMCEE","MEN"
"ERNIE","FORREST JR"
"FOOTBALL COACH","FORREST"
"ABBIE HOFFMAN","FORREST"
"AGING HIPPIE","FORREST"
"ANOTHER DAY","FORREST"
"BERT","FORREST"
"BILLY","FORREST"
"BLACK PANTHER","FORREST"
"BLACK WOMAN","FORREST"
"BOB HOPE","FORREST"
"BUBBA","FORREST"
"BUS DRIVER","FORREST"
"BUS STOP - PRESENT - DAY","FORREST"
"DALLAS","FORREST"
"DICK CAVETT","FORREST"
"DJ","FORREST"
"DRIVER","FORREST"
"EARL","FORREST"
"ELDERLY WOMAN","FORREST"
"ELVIS","FORREST"
"EMCEE","FORREST"
"ERNIE","FORREST"
"FORREST","HILARY"
"FORREST","ISABEL"
"FORREST","JENNY'S DAD"
"FORREST","JOHN LENNON"
"FORREST","LITTLE BOY"
"FORREST","LYNN MARIE"
"FORREST","MALE NURSE"
"FORREST","MAN"
"FORREST","MAN #"
"FORREST","MAN #1"
"FORREST","MAN #2"
"FORREST","MAN #3"
"FORREST","MAN #5"
"FORREST","MASAI"
"FORREST","MEN"
"FORREST","MRS BLUE"
"FORREST","NEWSCASTER"
"FORREST","NIGHT"
"FORREST","NURSE"
"FORREST","OLD SHRIMPER"
"FORREST","OLDER BOY #1"
"FORREST","OLDER BOY #2"
"FORREST","POLICEMAN"
"FORREST","PRESIDENT KENNEDY"
"FORREST","PRINCIPAL"
"FORREST","RUBEN"
"FORREST","STRONGARM"
"FORREST","SUSAN"
"FORREST","VET"
"FORREST","WESLEY"
"FORREST","WHITE WOMAN"
"FORREST","WILD-EYED MAN"
"FORREST","YOUNG HIPPIE"
"FORREST","YOUNG MAN"
"FORREST","FORREST JR"
"FORREST","GIRL"
"GIRL","JENNY"
"ABBIE HOFFMAN","HILARY"
"HILARY","JENNY"
"HILARY","POLICEMAN"
"HILARY","VET"
"ABBIE HOFFMAN","ISABEL"
"HILARY","ISABEL"
"ISABEL","JENNY"
"ISABEL","POLICEMAN"
"ISABEL","VET"
"BERT","JENNY"
"BILLY","JENNY"
"BLACK PANTHER","JENNY"
"DJ","JENNY"
"DRIVER","JENNY"
"ERNIE","JENNY"
"FORREST","JENNY"
"FORREST JR","JENNY"
"JENNY","JENNY'S DAD"
"JENNY","LITTLE BOY"
"JENNY","LT DAN"
"JENNY","LYNN MARIE"
"JENNY","MAN #"
"JENNY","MAN #1"
"JENNY","MAN #2"
"JENNY","MAN #3"
"JENNY","MAN #5"
"JENNY","MASAI"
"JENNY","MEN"
"JENNY","OLDER BOY #2"
"JENNY","SLOW MOTION"
"JENNY","SUSAN"
"JENNY","WESLEY"
"JENNY","YOUNG HIPPIE"
"EARL","KATZENBACH"
"FORREST","KATZENBACH"
"CARLA","LENORE"
"FORREST","LENORE"
"LENORE","LT DAN"
"BERT","LITTLE BOY"
"ERNIE","LITTLE BOY"
"FORREST JR","LITTLE BOY"
"FORREST","LOUISE"
"JENNY","LOUISE"
"LOUISE","LT DAN"
"LOUISE","SUSAN"
"BUBBA","LT DAN"
"DALLAS","LT DAN"
"FORREST","LT DAN"
"LT DAN","MAN"
"LT DAN","SGT SIMS"
"LT DAN","STRONGARM"
"LT DAN","SUSAN"
"BERT","LYNN MARIE"
"ERNIE","LYNN MARIE"
"FORREST JR","LYNN MARIE"
"LITTLE BOY","LYNN MARIE"
"MALE NURSE","SOLDIER"
"ELDERLY WOMAN","MAN"
"MAN #","MAN #5"
"MAN #","MEN"
"MAN #","MAN #1"
"MAN #1","MAN #2"
"MAN #1","MAN #3"
"MAN #1","MAN #5"
"MAN #1","MEN"
"MAN #","MAN #2"
"MAN #2","MAN #3"
"MAN #2","MAN #5"
"MAN #2","MEN"
"MAN #","MAN #3"
"MAN #3","MAN #5"
"MAN #3","MEN"
"LT DAN","MARGO"
"BLACK PANTHER","MASAI"
"MASAI","WESLEY"
"MAN #5","MEN"
"FORREST","MINISTER"
"JENNY","MINISTER"
"LOUISE","MINISTER"
"LT DAN","MINISTER"
"MINISTER","SUSAN"
"BUS DRIVER","MRS GUMP"
"DOCTOR","MRS GUMP"
"FORREST","MRS GUMP"
"LOUISE","MRS GUMP"
"JENNY","NEWSCASTER"
"LOUISE","NEWSCASTER"
"NEWSCASTER","NEWSMAN"
"FORREST","NEWSMAN"
"GOVERNOR WALLACE","NEWSMAN"
"JENNY","NEWSMAN"
"NEWSMAN","REPORTER"
"NIGHT","SONG"
"FORREST","OFFICER"
"FOOTBALL COACH","OLDER BOY"
"FORREST","OLDER BOY"
"BOY","OLDER BOY #1"
"JENNY","OLDER BOY #1"
"OLDER BOY #1","OLDER BOY #2"
"FORREST","PATRONS"
"JENNY","POLICEMAN"
"FORREST","PRESIDENT JOHNSON"
"FORREST","PRESIDENT NIXON"
"OFFICER","PRESIDENT NIXON"
"MRS GUMP","PRINCIPAL"
"FORREST","REPORTER"
"FORREST","REVEREND"
"BLACK PANTHER","RUBEN"
"JENNY","RUBEN"
"MASAI","RUBEN"
"RUBEN","WESLEY"
"FORREST","SECURITY GUARD"
"DALLAS","SGT SIMS"
"FORREST","SGT SIMS"
"MAN","SGT SIMS"
"SGT SIMS","SOLDIER"
"SGT SIMS","STRONGARM"
"FORREST","SLOW MOTION"
"ANNOUNCER","SOLDIER"
"DALLAS","SOLDIER"
"FORREST","SOLDIER"
"LT DAN","SOLDIER"
"MAN","SOLDIER"
"SOLDIER","STRONGARM"
"BUBBA","SONG"
"DALLAS","SONG"
"FORREST","SONG"
"LT DAN","SONG"
"MAN","SONG"
"SGT SIMS","SONG"
"SOLDIER","SONG"
"SONG","STRONGARM"
"MAN","STRONGARM"
"ABBIE HOFFMAN","VET"
"JENNY","VET"
"POLICEMAN","VET"
"BLACK PANTHER","WESLEY"
"BILLY","WHITE WOMAN"
"JENNY","WHITE WOMAN"
"NEWSCASTER","YOUNG MAN"
