name,quantity,3yr30nohand,3yr45nohand,3yr30hand,3yr45hand,author30nohand,author45nohand,author30hand,author45hand,woman30nohand,woman45nohand,woman30hand,woman45hand,man30nohand,man45nohand,man30hand,man45hand,height30nohand,height45nohand,height30hand,height45hand,VOLUME
BlastComac,1,106,105.9,108.4,107.3,105.3,88.3,107.3,107,105.2,89,106.5,106.2,88,88.4,105.8,106.2,105.7,105.7,107.9,107.4,102.875
BobrickB400,2,87.2,86.3,102.1,84.1,85.9,85.8,85.4,82.4,82.6,84.8,85.5,82.6,83.4,87.6,83.7,83.2,87.9,85,89.4,85,85.995
BobrickB710,2,102.7,83.9,101.6,83.6,83.6,83.6,85.1,84.4,84.6,84,84.9,84.8,84.9,82.8,84.8,86.1,84.1,84.2,86.7,84.5,86.245
BobrickB750,1,84.4,84.6,84.6,84,84.4,84,84.1,84.1,83.9,84.2,84.1,78.6,84,83.8,83.8,84.5,84.5,85.4,84.9,84.9,84.04
DysonAirblade,2,105.6,105.1,105.7,105.6,102.3,102.4,105.8,105.7,88.2,87.8,102.8,103,86.9,103.2,103.1,102.4,105.9,105.3,107.1,105.7,101.98
DysonAirblade db,3,86.1,83.6,103.6,86.6,85.4,84.8,88,87.2,84.3,83.6,87.2,86.7,83.3,81.9,87.6,86,85.4,83.3,101,87.3,87.145
DysonAirblade v,4,107.8,107.3,108,107.3,106.1,105.4,106.8,105.6,100.3,88.3,105.2,105,99.9,88,104.4,100.1,108,107,121.1,107.7,104.465
DysonTap,1,106.3,106.3,106.9,106.6,106.4,106.4,106.1,106.5,105.5,105.5,105.4,105.7,88.8,88.8,88.6,105,108.6,106.8,107.7,106.6,103.725
ElectricAire,1,84.9,83.3,84.2,86.3,83.5,84.2,83.8,84,83.2,82.5,83.4,83.2,83.5,69,83.1,83.1,83.7,87.4,83.6,84.2,83.205
GHWood,3,100.2,84.2,100.7,83.7,81.4,82.6,81.7,82.1,81.5,82.3,80.5,80.5,80.4,80.6,79.9,79.2,100.7,82.8,101.4,82.2,85.43
Lovair,1,87.1,86.7,88.8,86.8,87.9,86.4,105.1,88.3,86.4,86.3,87.3,87.3,86.5,87.3,88.7,87.7,88.6,87.1,105.3,88.1,89.185
MitsibushiJT,1,85.4,84.8,105.7,104.9,84,85.9,105.2,87.3,83.8,88.1,87.4,87.3,85.2,86.6,86.6,86.4,84.7,84.3,105.3,87.2,89.805
Nova1,1,85.2,85.2,85.7,81.1,84.8,84.6,86,85.5,84.9,84.6,85,86.8,79.5,84.6,85.3,85.6,84.9,84.8,85.6,85.7,84.77
NovaMT10,1,88.4,85.1,85.9,84.2,105.5,84.9,104.6,85.3,84.9,83.4,85.6,86.9,87.8,85.2,85.2,83.9,107.2,84.7,87.7,83.6,88.5
OneComac,1,84,83.6,84.1,83.6,83.7,83.5,84,84.1,83.4,83.2,83.5,83.1,83.3,83.2,83.4,83.4,83.7,83.3,84,84,83.605
OuelletGalaxy,1,87.8,83.5,84.2,83.2,67,65.8,67.1,66.5,65.6,62,66.6,63.1,63.6,62.6,64,63.2,83.5,67.5,74.8,67.7,70.465
WorldDyer A,1,104.1,87.5,84.9,87,86.4,85.1,85.8,85,86,85.3,85.1,83.5,85.1,83.5,87.8,85.7,105,85.9,104.7,86.7,88.505
WorldDryer B,1,107.7,87.3,105,86.9,84.9,86.9,86,86.1,85.9,86.3,85.4,86,83.7,83.2,83.6,83.4,106.2,87.7,107.7,88.1,89.9
WorldDryer RA5,1,81.6,80.1,85.4,80.5,81.6,79.8,82.4,80.4,80.2,85.8,79.8,80.2,71.1,83.7,81.1,77.8,83.4,80.5,83.5,81.5,81.02
Xlerator,3,106.6,103.2,117,103.8,100.6,100.5,105.4,105.4,85.5,86.9,105.2,102.7,86.3,86.2,101,100.2,105.8,100.6,107.1,102.2,100.61
XleratorEHD,1,105.7,105.8,106,106.9,106.8,106.2,108.2,106.4,105.2,105.2,105.6,103.7,105.2,104.6,105.7,106,106.9,106,108.5,107.1,106.085
XleratorXL,9,86.3,88.3,105.9,105.4,84.8,84,106.1,104.5,84,83.3,105.8,105.8,83.9,83.2,104.6,104.7,86.1,84.1,106.7,105.5,95.15
XleratorXLSB,1,105.2,105.1,106.2,105.6,105,106.4,105.7,105.1,88.4,85.7,105.5,105.8,87.6,86.7,105.7,104.7,105.1,105.1,104.9,105.1,101.73
