"occupation","house_count"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","1 House"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","2 Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
