genero,incidencia,pais,codigo
hombre,17.64315465,Afghanistan,AFG
hombre,10.78464019,Albania,ALB
hombre,14.16615907,Algeria,DZA
hombre,10.67915676,American Samoa,ASM
hombre,13.65668976,Andorra,AND
hombre,12.53583254,Angola,AGO
hombre,12.94355993,Antigua and Barbuda,ATG
hombre,13.58340912,Argentina,ARG
hombre,10.67292031,Armenia,ARM
hombre,17.59302516,Australia,AUS
hombre,13.19090206,Austria,AUT
hombre,10.40773963,Azerbaijan,AZE
hombre,13.13566488,Bahamas,BHS
hombre,14.1778888,Bahrain,BHR
hombre,12.1364204,Bangladesh,BGD
hombre,13.41341347,Barbados,BRB
hombre,12.06218487,Belarus,BLR
hombre,14.29903203,Belgium,BEL
hombre,13.33888899,Belize,BLZ
hombre,11.86627644,Benin,BEN
hombre,13.54854175,Bermuda,BMU
hombre,11.74586358,Bhutan,BTN
hombre,12.22245654,Bolivia,BOL
hombre,11.15789943,Bosnia and Herzegovina,BIH
hombre,12.9002993,Botswana,BWA
hombre,13.21851336,Brazil,BRA
hombre,11.10931715,Brunei,BRN
hombre,11.11931489,Bulgaria,BGR
hombre,12.07439374,Burkina Faso,BFA
hombre,12.77626306,Burundi,BDI
hombre,11.93334797,Cambodia,KHM
hombre,11.7740496,Cameroon,CMR
hombre,14.98020544,Canada,CAN
hombre,12.62831289,Cape Verde,CPV
hombre,12.8274934,Central African Republic,CAF
hombre,12.1417892,Chad,TCD
hombre,13.93389348,Chile,CHL
hombre,11.39809419,China,CHN
hombre,10.38346378,Colombia,COL
hombre,11.79718988,Comoros,COM
hombre,12.39374121,Congo,COG
hombre,10.86945598,Costa Rica,CRI
hombre,11.55230072,Cote d'Ivoire,CIV
hombre,11.47126762,Croatia,HRV
hombre,14.05749924,Cuba,CUB
hombre,13.15348291,Cyprus,CYP
hombre,11.29759684,Czech Republic,CZE
hombre,12.72578503,Democratic Republic of Congo,COD
hombre,13.54092309,Denmark,DNK
hombre,12.1204973,Djibouti,DJI
hombre,13.12208122,Dominica,DMA
hombre,13.20532976,Dominican Republic,DOM
hombre,12.25295339,Ecuador,ECU
hombre,14.48854777,Egypt,EGY
hombre,10.7326214,El Salvador,SLV
hombre,12.51992968,Equatorial Guinea,GNQ
hombre,12.46257293,Eritrea,ERI
hombre,11.91852632,Estonia,EST
hombre,13.07432256,Ethiopia,ETH
hombre,10.8826729,Fiji,FJI
hombre,14.97000282,Finland,FIN
hombre,14.38336619,France,FRA
hombre,12.51211635,Gabon,GAB
hombre,11.55112613,Gambia,GMB
hombre,10.76735244,Georgia,GEO
hombre,13.24807959,Germany,DEU
hombre,11.71687663,Ghana,GHA
hombre,14.0387678,Greece,GRC
hombre,16.55731214,Greenland,GRL
hombre,13.34773319,Grenada,GRD
hombre,11.31089917,Guam,GUM
hombre,10.94931489,Guatemala,GTM
hombre,11.56624065,Guinea,GIN
hombre,11.59476672,Guinea-Bissau,GNB
hombre,14.10185758,Guyana,GUY
hombre,13.23563096,Haiti,HTI
hombre,10.437104,Honduras,HND
hombre,11.31441491,Hungary,HUN
hombre,13.14593239,Iceland,ISL
hombre,14.80456266,India,IND
hombre,10.54077,Indonesia,IDN
hombre,17.22200034,Iran,IRN
hombre,12.80907883,Iraq,IRQ
hombre,14.36789533,Ireland,IRL
hombre,12.53051231,Israel,ISR
hombre,13.5602566,Italy,ITA
hombre,13.03688321,Jamaica,JAM
hombre,12.34711531,Japan,JPN
hombre,14.28131206,Jordan,JOR
hombre,11.18019581,Kazakhstan,KAZ
hombre,11.99250604,Kenya,KEN
hombre,11.32054185,Kiribati,KIR
hombre,13.60607849,Kuwait,KWT
hombre,11.09377003,Kyrgyzstan,KGZ
hombre,12.26425694,Laos,LAO
hombre,11.80073738,Latvia,LVA
hombre,15.12782759,Lebanon,LBN
hombre,13.96034807,Lesotho,LSO
hombre,11.60924506,Liberia,LBR
hombre,13.88477648,Libya,LBY
hombre,12.09168169,Lithuania,LTU
hombre,13.57609326,Luxembourg,LUX
hombre,10.81285494,Macedonia,MKD
hombre,12.28105486,Madagascar,MDG
hombre,11.91751959,Malawi,MWI
hombre,11.42704098,Malaysia,MYS
