sueno.padre,sueno.bebe,malhumor
7.59,10.18,56
7.91,11.66,60
5.14,7.92,82
7.71,9.61,55
6.68,9.75,67
5.99,5.04,72
8.19,10.45,53
7.19,8.27,60
7.4,6.06,60
6.58,7.09,71
6.49,11.68,72
6.27,6.13,65
5.95,7.83,74
6.65,5.6,67
6.41,6.03,66
6.33,8.19,69
6.3,6.38,73
8.47,11.11,52
7.21,5.51,61
7.53,6.69,53
8,9.74,54
7.35,9.02,63
6.86,6.44,74
7.86,9.43,56
4.86,3.46,82
5.87,6.32,72
8.4,7.95,59
6.93,7.69,66
7.21,7.45,60
6.99,7.56,67
8.17,7.95,44
7.85,11.61,53
6.27,4.7,76
8.66,8.52,41
4.98,4.7,86
6.19,8.32,60
6.41,9.38,63
4.84,4.18,89
7.03,5.98,61
7.66,9.29,57
7.51,6.01,59
7.92,10.54,60
8.12,11.78,48
7.47,11.6,53
7.99,11.35,50
5.44,5.63,72
8.16,6.98,57
7.62,6.03,60
5.87,4.66,70
9,9.81,46
8.31,12.07,58
6.71,7.57,68
7.43,11.35,58
5.9,5.47,71
8.52,8.29,52
6.03,6.8,74
7.29,10.63,59
7.32,8.59,59
6.88,7.82,67
6.22,7.18,67
6.94,8.29,61
7.01,11.08,64
7.2,6.46,61
6.3,3.25,61
8.72,9.74,54
7.82,8.75,62
8.14,11.75,52
7.27,9.31,64
6.7,7.73,65
7.55,8.68,65
7.38,9.77,57
7.73,9.71,59
5.32,4.17,79
7.86,10.18,53
6.35,9.28,67
7.11,7.23,61
5.45,6.38,82
7.8,9.2,68
7.13,8.2,67
8.35,10.16,54
6.93,8.95,53
7.07,6.8,62
8.66,8.34,50
5.09,6.25,80
4.91,6.75,91
7.03,9.09,62
7.02,10.42,64
7.67,8.89,57
8.15,9.43,54
5.88,6.79,72
5.72,6.91,78
6.66,6.05,63
6.85,6.32,59
5.57,8.62,74
5.16,7.84,76
5.31,5.89,79
7.77,9.77,51
5.38,6.97,82
7.02,6.56,55
6.45,7.93,74
