"affiliation","marijuana_use"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","never"
"conservative","sometimes"
"conservative","sometimes"
"conservative","sometimes"
"conservative","sometimes"
"conservative","sometimes"
"conservative","sometimes"
"conservative","sometimes"
"conservative","sometimes"
"conservative","sometimes"
"conservative","sometimes"
"conservative","sometimes"
"conservative","sometimes"
"conservative","sometimes"
"conservative","sometimes"
"conservative","sometimes"
"conservative","sometimes"
"conservative","sometimes"
"conservative","sometimes"
