genero;pais;fumador;edad;avion;tormenta;obscuridad;altura;arana;serpiente;rata;envejecer;perros;publico;autoestima;miedo
masculino;US;si;22;1;1;1;1;1;5;3;1;3;2;72,5;38
masculino;US;si;18;1;1;1;2;1;1;1;3;1;4;65;32
femenino;US;si;19;1;1;1;1;1;1;1;1;1;2;67,5;22
masculino;US;no;20;2;1;1;3;5;5;5;4;5;5;70;72
masculino;EU;si;23;1;2;1;1;1;1;2;2;4;3;62,5;36
femenino;CA;no;26;3;2;2;2;1;2;2;1;1;3;62,5;38
masculino;US;si;18;1;3;2;1;1;5;1;4;1;1;77,5;40
masculino;US;si;23;3;2;4;3;1;5;3;1;2;4;55;56
masculino;US;si;19;2;3;1;5;5;5;2;2;3;4;62,5;64
femenino;US;si;19;4;5;4;5;3;4;4;3;5;3;57,5;80
masculino;US;si;20;1;1;2;2;2;1;1;1;4;2;77,5;34
femenino;SE;no;23;4;1;1;3;5;5;5;5;5;5;77,5;78
femenino;GB;si;23;1;1;1;1;1;3;1;5;2;2;65;36
masculino;US;si;19;2;3;3;4;3;4;3;2;1;3;60;56
masculino;GB;no;21;5;5;3;3;2;5;1;5;5;3;67,5;74
masculino;GB;si;18;5;1;1;1;1;1;1;1;1;2;65;30
femenino;NZ;si;24;1;3;5;4;5;3;1;2;5;4;80;66
masculino;CA;si;22;3;5;5;5;4;4;1;5;5;3;60;80
masculino;DE;si;23;1;1;1;1;1;1;1;1;1;2;72,5;22
femenino;AE;no;26;3;2;2;4;4;2;2;2;2;3;65;52
femenino;US;si;23;2;2;2;2;2;2;2;1;1;2;77,5;36
femenino;BE;si;19;1;1;1;1;1;1;1;1;1;1;67,5;20
masculino;GB;si;25;1;2;1;1;5;5;3;1;3;3;77,5;50
masculino;DE;no;20;2;4;5;3;3;3;2;3;3;3;72,5;62
masculino;US;no;22;1;1;2;1;5;5;4;5;5;5;77,5;68
femenino;GB;no;24;3;2;2;3;5;2;1;4;4;2;65;56
masculino;IN;no;18;1;1;1;1;1;2;1;2;2;3;82,5;30
masculino;IN;si;22;3;5;2;2;5;5;1;4;1;2;70;60
masculino;US;no;21;1;1;2;4;4;4;3;4;1;2;62,5;52
femenino;US;si;19;3;3;4;5;5;5;5;5;5;3;60;86
masculino;US;si;18;1;1;1;3;5;3;3;4;3;4;70;56
masculino;US;si;26;1;1;1;1;2;5;3;1;3;2;65;40
masculino;US;no;24;3;5;5;5;5;5;5;1;5;2;65;82
femenino;US;no;18;1;5;2;4;4;5;3;1;2;4;57,5;62
masculino;US;si;25;1;2;2;1;2;2;2;1;2;3;62,5;36
femenino;US;no;24;3;5;3;3;4;5;4;5;5;1;80;76
femenino;US;no;19;3;1;4;3;5;4;1;3;2;5;62,5;62
femenino;US;no;26;1;1;1;3;;1;1;3;3;2;72,5;32
masculino;NZ;no;23;3;4;2;4;5;1;1;1;3;2;67,5;52
femenino;US;no;23;3;3;2;2;5;5;5;3;4;4;67,5;72
masculino;HU;si;23;1;3;5;3;5;2;5;3;5;3;67,5;70
femenino;GB;no;25;2;1;1;1;1;1;1;1;1;2;70;24
masculino;US;no;18;1;1;3;1;5;1;1;1;3;5;62,5;44
masculino;FR;no;23;1;3;4;5;5;5;3;2;4;1;72,5;66
femenino;BE;si;26;3;2;4;5;5;5;3;3;5;3;67,5;76
masculino;SG;no;19;5;2;2;5;5;4;1;5;4;4;67,5;74
femenino;US;no;21;1;1;1;1;1;2;1;1;2;1;57,5;24
masculino;US;no;18;1;2;1;3;1;3;5;3;4;4;62,5;54
masculino;US;si;21;3;1;2;2;2;3;3;5;3;1;62,5;50
femenino;MX;si;22;3;1;5;4;5;3;2;3;2;5;72,5;66
masculino;US;si;23;1;2;1;2;2;2;4;2;5;4;67,5;50
masculino;US;si;26;3;1;3;1;5;1;1;1;2;2;67,5;40
masculino;GB;no;26;3;3;5;4;5;5;4;3;1;3;65;72
other;PL;no;19;3;1;1;1;5;1;3;1;3;5;62,5;48
masculino;CA;no;21;3;2;5;5;3;5;4;1;5;2;70;70
femenino;CA;no;21;2;2;5;3;5;5;5;3;5;4;67,5;78
masculino;AU;si;24;3;1;5;3;3;5;1;5;1;3;72,5;60
masculino;CA;si;24;2;2;2;2;5;3;3;4;4;5;62,5;64
femenino;CA;no;26;1;1;2;5;1;5;3;5;4;3;72,5;60
masculino;AU;si;19;5;1;1;4;2;3;1;1;2;5;52,5;50
femenino;AL;si;22;1;1;1;2;2;3;2;2;3;5;65;44
masculino;US;si;22;1;1;1;3;3;4;4;4;4;2;70;54
femenino;BR;si;18;5;5;5;5;5;5;5;5;5;4;70;98
masculino;US;si;21;3;2;2;4;;4;3;2;3;3;47,5;52
masculino;AE;no;26;1;2;5;3;5;1;3;5;4;3;65;64
masculino;DE;no;25;1;1;2;2;1;2;1;4;2;4;70;40
masculino;DE;si;19;3;2;3;5;1;3;2;1;1;3;65;48
femenino;RO;si;26;1;1;2;4;1;3;2;2;5;2;75;46
masculino;RO;si;20;3;5;2;2;4;5;3;1;3;5;67,5;66
masculino;PT;no;22;2;5;1;1;1;5;5;1;5;3;60;58
femenino;GB;no;19;2;2;2;2;4;3;3;3;4;3;62,5;56
femenino;AU;no;24;1;1;1;4;3;4;3;5;5;1;67,5;56
femenino;GB;no;22;1;3;3;3;5;5;4;3;4;4;65;70
femenino;GB;no;18;5;2;1;3;3;3;3;5;3;5;60;66
masculino;CA;si;18;5;5;1;4;3;4;3;3;5;2;70;70
femenino;US;si;19;2;1;2;5;1;2;1;1;2;1;62,5;36
masculino;US;no;23;2;3;2;3;1;5;2;1;3;3;62,5;50
masculino;US;no;25;1;1;1;3;5;5;2;2;5;3;57,5;56
femenino;AU;si;19;1;1;1;1;3;3;3;5;3;4;67,5;50
masculino;SE;no;26;2;3;2;4;5;5;5;2;3;4;57,5;70
