value,eu
5,1
200,1
100,1
2,0
10,0
200,1
5,0
2,0
5,0
2,0
50,0
100,1
10,0
100,1
1,0
5,0
2,0
5,0
5,0
10,0
2,0
200,1
10,1
10,0
2,0
50,1
20,1
5,0
20,0
100,0
20,0
20,0
100,0
2,0
20,0
200,1
10,1
5,0
100,0
50,0
50,1
200,0
5,0
10,1
1,0
2,0
5,0
20,1
2,0
5,0
2,0
2,0
100,0
2,0
20,0
20,0
50,1
20,0
200,1
1,0
100,1
200,1
2,0
50,0
100,1
20,1
20,0
50,1
200,1
50,1
10,0
5,0
200,0
20,1
200,0
20,0
200,0
10,0
20,1
10,0
50,0
5,0
5,0
100,1
10,1
50,1
100,1
20,1
10,0
