Name,height_inch, weight_pnd
Quincy Acy,79,233
Steven Adams,84,250
Jeff Adrien,79,243
Arron Afflalo,77,215
Alexis Ajinca,84,220
Cole Aldrich,83,245
LaMarcus Aldridge,83,240
Lavoy Allen,81,225
Ray Allen,77,205
Tony Allen,76,213
Al-Farouq Aminu,81,215
Louis Amundson,81,225
Chris Andersen,82,230
Alan Anderson,78,220
James Anderson,78,215
Ryan Anderson,82,240
Giannis Antetokounmpo,81,210
Carmelo Anthony,80,230
Joel Anthony,81,245
Pero Antic,83,260
Trevor Ariza,80,200
Hilton Armstrong,83,235
Darrell Arthur,81,225
Omer Asik,84,255
D.J. Augustin,72,180
Gustavo Ayon,82,250
Jeff Ayres,81,240
Chris Babb,77,225
Luke Babbitt,81,225
Leandro Barbosa,75,176
Jose Barea,72,175
Andrea Bargnani,84,225
Harrison Barnes,80,210
Matt Barnes,79,235
Will Barton,78,174
Brandon Bass,80,240
Shane Battier,80,220
Nicolas Batum,80,200
Jerryd Bayless,75,200
Aron Baynes,82,260
Kent Bazemore,77,201
Bradley Beal,75,207
Michael Beasley,81,235
Marco Belinelli,77,192
Anthony Bennett,80,240
Patrick Beverley,73,180
Andris Biedrins,83,240
Chauncey Billups,75,202
Bismack Biyombo,81,229
DeJuan Blair,79,265
Steve Blake,75,172
Andray Blatche,83,235
Eric Bledsoe,73,190
Vander Blue,76,200
Keith Bogans,77,215
Andrew Bogut,84,245
Matt Bonner,82,240
Trevor Booker,79,240
Carlos Boozer,81,258
Chris Bosh,82,228
Avery Bradley,74,180
Elton Brand,80,275
Corey Brewer,81,185
Ronnie Brewer,79,220
Aaron Brooks,72,161
MarShon Brooks,77,200
Lorenzo Brown,77,189
Shannon Brown,76,205
Kobe Bryant,78,200
Chase Budinger,79,218
Reggie Bullock,79,205
Trey Burke,72,190
Alec Burks,78,195
Caron Butler,79,217
Jimmy Butler,79,220
Rasual Butler,79,205
Dwight Buycks,75,190
Andrew Bynum,84,285
Will Bynum,72,185
Nick Calathes,78,213
Jose Calderon,75,210
Kentavious Caldwell-Pope,77,205
Isaiah Canaan,72,188
DeMarre Carroll,80,212
Vince Carter,78,215
Michael Carter-Williams,78,185
Omri Casspi,81,225
Mario Chalmers,73,190
Tyson Chandler,85,235
Wilson Chandler,80,220
Josh Childress,80,210
Dionte Christmas,77,205
Earl Clark,82,225
Ian Clark,75,175
Victor Claver,81,224
Norris Cole,74,170
Jason Collins,84,255
Darren Collison,72,160
Nick Collison,81,255
Mike Conley,73,180
Chris Copeland,81,235
DeMarcus Cousins,83,270
