Name,Mother,Sex,age.yr,obs.hr,obs.min,bouts.hr,bout.length.min,min.play,object.play.rate,obj.play.perc.,species,habitat,source
Mugisha,Mitsu,M,0.7,4.7,282,2.11,3.4,33.7178,7.174,11.95666667,chimpanzee,wild,Koops et al (2015)
Hayato,Haro,M,0.9,9.7,582,2.05,1.7,33.8045,3.485,5.808333333,chimpanzee,wild,Koops et al (2015)
Eta,Esunzu,M,1.3,9.5,570,0.84,1.4,11.172,1.176,1.96,chimpanzee,wild,Koops et al (2015)
Picasso,Pinka,M,2.6,9,540,0.89,1.6,12.816,1.424,2.373333333,chimpanzee,wild,Koops et al (2015)
Max,Mami,M,3.5,6,360,3.33,2,39.96,6.66,11.1,chimpanzee,wild,Koops et al (2015)
Taro,Tae,M,5.3,10,600,0.8,1.4,11.2,1.12,1.866666667,chimpanzee,wild,Koops et al (2015)
Milk,Mitsu,M,6.1,3.4,204,0.59,1.4,2.8084,0.826,1.376666667,chimpanzee,wild,Koops et al (2015)
Ayu,Asa,F,2.6,5.4,324,0.92,1,4.968,0.92,1.533333333,chimpanzee,wild,Koops et al (2015)
Iyo,Ida,F,2.9,9.2,552,0.98,2.7,24.3432,2.646,4.41,chimpanzee,wild,Koops et al (2015)
Gale,Gai,F,4,9.7,582,0.51,2.5,12.3675,1.275,2.125,chimpanzee,wild,Koops et al (2015)
Haruka,Haro,F,4.8,9.4,564,0.42,2.8,11.0544,1.176,1.96,chimpanzee,wild,Koops et al (2015)
Ua,Ume,F,6.1,5.8,348,0.35,1,2.03,0.35,0.583333333,chimpanzee,wild,Koops et al (2015)
Piriko,Pinka,F,6.8,7.4,444,0.14,1,1.036,0.14,0.233333333,chimpanzee,wild,Koops et al (2015)
Iku,Ida,F,7.1,10,600,0.4,1.4,5.6,0.56,0.933333333,chimpanzee,wild,Koops et al (2015)
Kale,Kabo,M,1.2,12,720,0.5,1.9,11.4,0.95,1.583333333,bonobo,wild,Koops et al (2015)
Isao,Ichi,M,1.3,12.7,762,0.55,1.9,13.2715,1.045,1.741666667,bonobo,wild,Koops et al (2015)
