Id,species,age,sex,concioussness
Schulman,Pan troglodytes,184,emea,1
Misty,Pan troglodytes,130,emea,1
Christy,Pan troglodytes,133,emea,1
Chakema,Pan troglodytes,115,emea,1
Gilda,Pan troglodytes,143,emea,1
Cindy,Pan troglodytes,101,emea,1
Keetah,Pan troglodytes,126,emea,1
Lisa,Pan troglodytes,154,emea,1
Angela,Pan troglodytes,121,emea,1
Liz,Pan troglodytes,191,emea,0
Christine,Pan troglodytes,133,emea,0
Abby,Pan troglodytes,125,emea,0
X,Pan troglodytes,330,arra,0
X,Pan troglodytes,330,arra,1
X,Pan troglodytes,330,emea,1
X,Pan troglodytes,330,emea,0
X,Pan troglodytes,108,arra,1
X,Pan troglodytes,108,emea,1
Megan,Pan troglodytes,39,emea,1
Loi,Pan troglodytes,120,arra,1
Zamba,Pan troglodytes,120,arra,0
Tsubaki,Pan troglodytes,120,emea,1
Mizuki,Pan troglodytes,108,emea,1
Misaki,Pan troglodytes,84,emea,0
X,Pan troglodytes,54,emea,1
X,Pan troglodytes,54,emea,1
X,Pan troglodytes,54,arra,1
X,Pan troglodytes,54,emea,0
X,Pan troglodytes,54,emea,0
X,Pan troglodytes,54,arra,0
Homer,Pan troglodytes,252,arra,1
Tai,Pan troglodytes,192,emea,1
Hoboh,Pan troglodytes,240,arra,1
William,Pan troglodytes,98,arra,0
X,Pan troglodytes,72,emea,0
James,Pan troglodytes,48,arra,1
Barash,Pan troglodytes,36,arra,1
Leslie,Pan troglodytes,288,emea,1
Lux,Pan troglodytes,156,arra,1
Columbus,Pan troglodytes,204,arra,1
Ossobaw,Pan troglodytes,216,arra,1
Joseph,Pan troglodytes,168,arra,1
Su,Pan troglodytes,432,emea,1
Murphy,Pan paniscus,27,arra,0
Brian,Pan paniscus,43,arra,0
Jill,Pan paniscus,85,emea,1
Zalia,Pan paniscus,100,emea,1
Mabruki,Pan paniscus,114,arra,0
Bosondjo,Pan paniscus,259,arra,1
Lorel,Pan paniscus,279,emea,0
Laura,Pan paniscus,300,emea,1
Linda,Pan paniscus,463,emea,0
Lisala,Pan paniscus,405,emea,1
Kirembo,Pan paniscus,253,arra,1
Ulindi,Pan paniscus,243,emea,1
Diwani,Pan paniscus,209,arra,1
David,Pan paniscus,150,arra,1
Khaya,Pan paniscus,147,emea,1
Lingala,Pan paniscus,126,emea,1
Kelele,Pan paniscus,114,arra,1
Bosondjo,Pan paniscus,276,arra,1
Jill,Pan paniscus,108,emea,1
Zalia,Pan paniscus,120,emea,1
