age,pitch,sex
68,670.9824377,male
15,717.7678731,female
61,719.4798435,male
10,658.227151,male
10,661.5290102,male
39,736.569007,female
28,709.2574436,female
30,794.4894582,female
61,636.9907712,male
15,678.7283105,female
66,771.6515041,female
25,823.6975927,female
44,655.7799176,male
19,691.6354165,female
20,622.9682443,male
64,669.0327616,female
8,730.2888256,female
9,775.4823492,female
41,798.6088605,female
62,614.9319036,male
41,684.2235279,male
16,848.5163218,female
46,624.9957088,female
47,711.5698223,female
28,716.60546,male
65,775.7823371,female
32,644.0331878,female
10,700.4954828,female
30,741.8301236,female
67,739.6497968,female
57,650.4041405,male
78,536.5802547,male
37,784.2717887,female
8,664.2228965,male
20,766.3241258,female
53,765.9079911,female
15,722.6059986,female
7,661.6494423,female
48,623.8847539,female
49,800.2486657,female
76,626.8001737,male
13,583.5247764,male
15,739.9588079,female
47,655.2542192,female
25,738.2363206,female
64,650.358676,male
30,806.7681603,female
45,680.3557627,male
34,668.1299068,male
11,705.6345995,male
78,683.7975719,male
21,751.7349559,female
65,751.5506182,female
49,637.0043648,female
62,654.1833002,female
49,672.3187219,female
5,872.0553635,female
52,742.403031,female
11,721.4942678,male
70,641.8588492,male
61,669.4296812,female
21,725.7210869,male
20,738.9966432,male
33,619.2189659,male
76,635.3491188,male
64,635.8988852,male
46,696.1998709,male
45,730.0367713,female
56,769.1284574,female
42,637.4602594,male
24,740.0099933,male
50,740.891715,male
31,682.0200583,male
59,758.6041095,female
9,648.1694192,male
63,591.9358959,male
-1,684.5679929,male
17,766.3681418,female
23,643.9725575,female
41,644.4546588,male
10,702.5189466,male
46,662.7031697,male
50,757.4591685,female
50,706.7433685,female
58,662.277931,male
67,660.4812289,female
37,778.5268096,female
11,833.9855845,female
28,705.228518,male
54,760.4194397,female
50,690.1248226,female
14,625.3709762,male
67,745.7552894,female
55,702.9348364,female
10,731.5560605,female
53,758.5771009,female
19,688.467646,male
27,779.1795655,male
16,724.7935364,female
21,817.0695344,female
49,767.439003,female
53,739.6591696,male
44,703.3775061,male
56,702.1148221,female
55,706.1749396,female
29,735.4762257,female
10,667.7235012,male
51,727.3461096,female
27,685.7124346,female
20,695.213421,female
19,737.6509335,male
39,718.0925231,female
24,712.9392391,female
62,725.234362,female
43,756.9728846,female
58,655.0202276,male
23,770.5061456,female
47,583.4715378,male
70,676.4983678,male
10,718.890469,male
49,737.5722821,male
55,719.70524,female
26,630.8948736,male
47,665.7675383,male
53,665.5247234,male
40,672.0776115,female
13,716.0681984,male
35,662.6266184,female
73,735.7860507,female
52,705.6311017,male
47,688.307013,female
51,744.2622724,female
27,702.25334,male
32,729.2480464,female
53,671.4557683,female
29,713.4301918,male
75,714.1899296,female
44,762.5456609,female
63,793.2732468,female
56,680.9575177,male
53,861.3139728,female
20,699.3326217,male
64,696.9499101,female
41,670.280221,female
43,781.6435792,female
73,593.4204215,male
48,832.0020427,female
24,638.3791739,male
58,628.9832999,male
43,697.4237961,male
