"activity_type","school_design"
"Active_social","Concrete"
"Active_social","Concrete"
"Active_social","Concrete"
"Active_social","Concrete"
"Active_social","Concrete"
"Active_social","Concrete"
"Active_social","Concrete"
"Active_social","Concrete"
"Active_social","Concrete"
"Active_social","Concrete"
"Active_social","Concrete"
"Active_social","Concrete"
"Active_social","Concrete"
"Active_social","Concrete"
"Active_social","Concrete"
"Active_social","Concrete"
"Active_social","Concrete"
"Active_social","Concrete"
"Active_social","Concrete"
"Active_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Passive_social","Concrete"
"Solitary","Concrete"
"Solitary","Concrete"
"Solitary","Concrete"
"Solitary","Concrete"
"Solitary","Concrete"
"Solitary","Concrete"
"Solitary","Concrete"
"Solitary","Concrete"
"Solitary","Concrete"
"Solitary","Concrete"
"Solitary","Concrete"
"Solitary","Concrete"
"Solitary","Concrete"
"Solitary","Concrete"
"Solitary","Concrete"
"Solitary","Concrete"
"Solitary","Concrete"
"Solitary","Concrete"
"Solitary","Concrete"
"Solitary","Concrete"
"Solitary","Concrete"
"Solitary","Concrete"
"Solitary","Concrete"
"Solitary","Concrete"
"Solitary","Concrete"
"Solitary","Concrete"
"Solitary","Concrete"
"Solitary","Concrete"
"Solitary","Concrete"
"Solitary","Concrete"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Active_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Passive_social","Mixed"
"Solitary","Mixed"
"Solitary","Mixed"
"Solitary","Mixed"
"Solitary","Mixed"
"Solitary","Mixed"
"Solitary","Mixed"
"Solitary","Mixed"
"Solitary","Mixed"
"Solitary","Mixed"
"Solitary","Mixed"
"Solitary","Mixed"
"Solitary","Mixed"
"Solitary","Mixed"
"Solitary","Mixed"
"Solitary","Mixed"
"Solitary","Mixed"
"Solitary","Mixed"
"Solitary","Mixed"
"Solitary","Mixed"
"Solitary","Mixed"
"Solitary","Mixed"
"Solitary","Mixed"
"Solitary","Mixed"
"Solitary","Mixed"
"Solitary","Mixed"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Active_social","Nature"
"Passive_social","Nature"
"Passive_social","Nature"
"Passive_social","Nature"
"Passive_social","Nature"
"Passive_social","Nature"
"Passive_social","Nature"
"Passive_social","Nature"
"Passive_social","Nature"
"Passive_social","Nature"
"Passive_social","Nature"
"Passive_social","Nature"
"Passive_social","Nature"
"Passive_social","Nature"
"Passive_social","Nature"
"Passive_social","Nature"
"Passive_social","Nature"
"Passive_social","Nature"
"Passive_social","Nature"
"Passive_social","Nature"
"Passive_social","Nature"
"Passive_social","Nature"
"Passive_social","Nature"
"Passive_social","Nature"
"Passive_social","Nature"
"Passive_social","Nature"
"Solitary","Nature"
"Solitary","Nature"
"Solitary","Nature"
"Solitary","Nature"
"Solitary","Nature"
"Solitary","Nature"
"Solitary","Nature"
"Solitary","Nature"
"Solitary","Nature"
"Solitary","Nature"
"Solitary","Nature"
"Solitary","Nature"
"Solitary","Nature"
"Solitary","Nature"
"Solitary","Nature"
"Solitary","Nature"
"Solitary","Nature"
"Solitary","Nature"
"Solitary","Nature"
"Solitary","Nature"
