species,Endocranial volume,Endocranial volume mm3,Log ECV,Mass_g,Log mass,Relative brain size,Encephalization quotient,Log neocortex,Neocortex volume,Neocortex rest of brain,Log neocortex ROB,Relative neocortex size,Log cerebellum,Cerebellum volume,Cerebellum rest of brain,Log cerebellum ROB,Relative cerebellum size,Group size,Log group size,Social cohesion,Diet,Dietary breadth,Habitat variability,Home range,Log home range,Gestation length,Log gestation length ,Maximum longevity,Log maximum longevity,Fertility,Log fertility,Age at first reproduction,Log age at first reproduction,Weaning age,Log weaning age,taxa
Alouatta_caraya_ATELIDAE_PRIMATES,49.23,49230,1.69,4240,3.627365857,0.036296011,0.85,,,,,,,,,,,6.7,0.826074803,4,Foli,2,2,2.2,0.342422681,187,2.271841607,32.4,1.51054501,1.1,0.041392685,3.71,0.56937391,325,2.511883361,primate
Alouatta_palliata_ATELIDAE_PRIMATES,48.92,48920,1.69,5350,3.728353782,-0.030405545,0.7,4.455758203,28560,20360,4.308777774,-0.022542828,,,,,,15.5,1.190331698,4,Foli,2,1,31.1,1.492760389,186,2.269512944,24,1.380211242,0.6,-0.22184875,4,0.602059991,365,2.562292864,primate
Alouatta_seniculus_ATELIDAE_PRIMATES,55.29,55290,1.74,5210,3.716837723,0.027200702,0.81,4.500510911,31660,23630,4.373463722,0.030184272,3.668975759,4666.333333,50623.66667,4.704353598,-0.20135081,7,0.84509804,4,Foli,2,2,22,1.342422681,191,2.281033367,25,1.397940009,0.72,-0.142667504,5.17,0.713490543,380,2.579783597,primate
Aotus_azarae_AOTIDAE_PRIMATES,20.14,20140,1.3,1250,3.096910013,-0.00334299,0.92,,,,,,,,,,,3.071428571,0.48734042,2,Frug,6,3,7,0.84509804,126.5,2.102090526,21.2,1.326335861,0.99,-0.004364805,5,0.698970004,229.7,2.361160995,primate
Aotus_trivirgatus_AOTIDAE_PRIMATES,16.07,16070,1.21,988.9,2.995152377,-0.026133048,0.88,3.927370363,8460,7610,3.881384657,-0.04321922,3.249100477,1774.6,14295.4,4.155196312,-0.068635288,3.5,0.544068044,2,Frug,6,1,10,1,133,2.123851641,30.1,1.478566496,1.33,0.123851641,4,0.602059991,76,1.880813592,primate
Ateles_geoffroyi_ATELIDAE_PRIMATES,103.46,103460,2.01,7700,3.886490725,0.185146521,1.1,4.77719475,59868,43592,4.639406795,0.18939047,4.094750552,12438,91022,4.959146374,0.094521542,28,1.447158031,4,Frug,5,1,168,2.225309282,228,2.357934847,47.1,1.673020907,0.49,-0.30980392,7,0.84509804,790,2.897627091,primate
Ateles_paniscus_ATELIDAE_PRIMATES,107.57,107570,2.03,8070,3.906873535,0.19168387,1.1,,,,,,4.015639134,10366.66667,97203.33333,4.987681158,-0.000196891,25.5,1.40654018,4,Frug,5,1,255,2.40654018,228,2.357934847,46,1.662757832,0.25,-0.602059991,5,0.698970004,1094,3.039017322,primate
Cacajao_calvus_PITHECIIDAE_PRIMATES,70.75,70750,1.85,2880,3.459392488,0.307240811,1.66,,,,,,,,,,,41.9,1.622214023,4,Frug,4,1,525,2.720159303,180,2.255272505,35.8,1.553883027,0.48,-0.318758763,3.58,0.553883027,638,2.804820679,primate
Callicebus_moloch_PITHECIIDAE_PRIMATES,15.4,15400,1.19,988,2.994756945,-0.045871868,0.85,3.903984797,8016.5,7383.5,3.868262279,-0.066330966,3.109578547,1287,14113,4.149619342,-0.207854438,3.4,0.531478917,2,Frug,3,1,9.25,0.966141733,164,2.214843848,26.2,1.418301291,1.01,0.004321374,3,0.477121255,106.53,2.027471927,primate
Callimico_goeldii_CALLITRICHIDAE_PRIMATES,11.24,11240,1.05,396.9,2.598681099,0.07573243,1.28,3.81130684,6476,4764,3.677971753,0.115257111,3.093421685,1240,10000,4,0.079261963,6.5,0.812913357,2,Omni,3,1,100,2,148.5,2.171726454,22.2,1.346352974,1.17,0.068185862,1.49,0.173186268,67,1.826074803,primate
Callithrix_jacchus_CALLITRICHIDAE_PRIMATES,7.49,7490,0.87,320,2.505149978,-0.042491162,1.02,3.640580806,4371,3119,3.494015375,0.009297484,2.87909588,757,6733,3.828208614,-0.063447538,7.9,0.897627091,2,Omni,4,2,4.6,0.666517981,144,2.158362492,22.8,1.357934847,4.04,0.606381365,1.67,0.222716471,77,1.886490725,primate
Cebuella_pygmaea_CALLITRICHIDAE_PRIMATES,4.19,4190,0.62,116,2.064457989,-0.001418329,1.28,3.403977964,2535,1655,3.218797998,0.077855497,2.670245853,468,3722,3.570776369,0.065138053,5.6,0.748188027,2,Omni,3,1,0.5,-0.292429824,142,2.152288344,18.6,1.269512944,4.2,0.62324929,1.9,0.278753601,91,1.959041392,primate
Cebus_albifrons_CEBIDAE_PRIMATES,66,66000,1.82,2013,3.303843775,0.379979244,2.06,4.66678933,46429,19571,4.291613017,0.482443806,3.896029912,7871,58129,4.764392852,0.341930711,21.1,1.324282455,4,Omni,6,2,207.5,2.317018101,158,2.198657087,44,1.643452676,1.005,0.002166062,4.01,0.603144373,270.32,2.431878179,primate
Sapajus_apella_CEBIDAE_PRIMATES,64.14,64140,1.81,2539,3.404662701,0.30338931,1.66,4.653212514,45000,19140,4.281941933,0.399054081,3.810232518,6460,57680,4.761025252,0.178936778,12.1,1.08278537,4,Omni,6,2,161.6,2.208441356,152,2.181843588,46,1.662757832,0.62,-0.207608311,6.67,0.824125834,265,2.423245874,primate
Cebus_capucinus_CEBIDAE_PRIMATES,69.22,69220,1.84,2437,3.386855529,0.345150777,1.85,,,,,,,,,,,16.4,1.214843848,4,Omni,6,2,147,2.167317335,161,2.206825876,54,1.73239376,0.44,-0.356547324,6,0.77815125,517,2.713490543,primate
Cebus_olivaceus_CEBIDAE_PRIMATES,70.09,70090,1.85,2202,3.342817315,0.384237595,2.03,,,,,,,,,,,21,1.322219295,4,Omni,6,1,274,2.437750563,160,2.204119983,47,1.672097858,0.46,-0.337242168,6,0.77815125,547,2.737987326,primate
Cercocebus_atys_CERCOPITHECIDAE_PRIMATES,86.8,86800,1.94,6200,3.792391689,0.177298032,1.1,4.881327584,76090,10710,4.029789471,0.358682969,3.942504106,8760,78040,4.892317261,0.014326249,50,1.698970004,4,Frug,3,3,500,2.698970004,167,2.222716471,32.5,1.511883361,0.92,-0.036212173,4.71,0.673020907,126,2.100370545,primate
Cercopithecus_ascanius_CERCOPITHECIDAE_PRIMATES,56.68,56680,1.75,2901,3.462547729,0.205156804,1.32,4.65481163,45166,11514,4.061226225,0.360570225,3.765519543,5828,50852,4.706308038,0.089901531,26.3,1.419955748,3,Frug,5,1,34,1.531478917,172,2.235528447,31.2,1.494154594,0.23,-0.638272164,5,0.698970004,183,2.26245109,primate
Cercopithecus_campbelli_CERCOPITHECIDAE_PRIMATES,54.06,54060,1.73,2365,3.373831145,0.243753257,1.48,,,,,,,,,,,14.75,1.16879202,3,Frug,5,4,59.5,1.774516966,180,2.255272505,29.3,1.46686762,1,0,3.5,0.544068044,365,2.562292864,primate
Cercopithecus_diana_CERCOPITHECIDAE_PRIMATES,57.29,57290,1.76,3900,3.591064607,0.130272639,1.05,,,,,,,,,,,22.4,1.350248018,3,Frug,4,1,50,1.698970004,150,2.176091259,35.1,1.545307116,1,0,5.37,0.729974286,365,2.562292864,primate
Cercopithecus_mitis_CERCOPITHECIDAE_PRIMATES,65.62,65620,1.82,3930,3.59439255,0.188074565,1.2,4.698387659,49933,15687,4.195539897,0.312849204,3.829818187,6758,58862,4.769835014,0.053247265,21.3,1.328379603,4,Frug,4,2,48.5,1.685741739,176,2.245512668,30,1.477121255,0.26,-0.585026652,316,2.499687083,316,2.499687083,primate
