"","age","gender","control","time"
"1","16-24","F","T",1.36007516082989
"2","16-24","M","T",1.46793926451497
"3","16-24","M","T",1.51203577079852
"4","16-24","F","T",1.39064698511248
"5","16-24","M","T",1.38420796553537
"6","16-24","M","C",1.39387514659079
"7","16-24","M","T",1.4190429016653
"8","16-24","F","T",1.46118691161318
"9","16-24","F","T",1.38246093101882
"10","16-24","M","C",1.26015181574544
"11","16-24","M","T",1.29291651498347
"12","16-24","F","T",1.33109203336538
"13","16-24","M","T",1.36917068493201
"14","16-24","F","C",1.33047050936775
"15","16-24","F","T",1.34450593198899
"16","16-24","M","C",1.35786910755937
"17","16-24","F","T",1.5202444746304
"18","16-24","M","T",1.35239720135104
"19","16-24","F","T",1.34842042185113
"20","16-24","F","T",1.37300033908173
"21","25+","M","C",1.30681250339675
"22","25+","F","C",1.3841919670845
"23","25+","M","T",1.34564309002793
"24","25+","M","C",1.5949012551549
"25","25+","M","T",1.3419719608626
"26","25+","F","T",1.47221158862326
"27","25+","F","T",1.44068494526369
"28","25+","M","T",1.50275742337737
"29","25+","F","T",1.50154112048402
"30","25+","F","T",1.56281309654974
"31","25+","F","C",1.47585109185953
"32","25+","F","T",1.47545552911086
"33","25+","M","C",1.31237552383618
"34","25+","F","T",1.4471601062916
"35","25+","M","T",1.46311793810177
"36","25+","M","C",1.29342524825963
"37","25+","F","C",1.4028597654443
"38","25+","M","C",1.24549747982726
"39","25+","F","T",1.47580641092096
"40","25+","M","T",1.52010552757513
"41","25+","F","T",1.43707931904797
"42","25+","F","C",1.58361040318297
"43","25+","F","T",1.49924646115717
"44","25+","M","C",1.43670132756475
"45","25+","F","T",1.52405555359857
"46","25+","F","T",1.51092884296659
"47","25+","F","C",1.52256305554873
"48","25+","M","C",1.46241228593224
"49","25+","F","C",1.31393512977287
"50","25+","F","T",1.44038240637648
"51","25+","M","T",1.4445034714597
"52","25+","F","C",1.31695557241702
"53","25+","M","T",1.51743517262991
"54","25+","M","T",1.53644567779342
"55","25+","M","T",1.44486464490253
"56","25+","M","C",1.44259920088304
"57","25+","M","C",1.35520628558141
"58","25+","F","T",1.61497948629694
"59","25+","M","T",1.52769852391707
"60","25+","M","T",1.46659060353493
