"religion","covering"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Islam","Yes"
"Christian","Yes"
"Christian","Yes"
"Christian","Yes"
"Jewish","Yes"
"Jewish","Yes"
"Jewish","Yes"
"Jewish","Yes"
"Jewish","Yes"
"Jewish","Yes"
"Jewish","Yes"
"Jewish","Yes"
"Jewish","Yes"
"Jewish","Yes"
"Jewish","Yes"
"Jewish","Yes"
"Jewish","Yes"
"Jewish","Yes"
"Jewish","Yes"
"Jewish","Yes"
"Jewish","Yes"
"Jewish","Yes"
"Jewish","Yes"
"Jewish","Yes"
"Jewish","Yes"
"Jewish","Yes"
"Jewish","Yes"
"Jewish","Yes"
"Islam","No"
"Islam","No"
"Islam","No"
"Islam","No"
"Islam","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Christian","No"
"Jewish","No"
"Jewish","No"
"Jewish","No"
"Jewish","No"
"Jewish","No"
"Jewish","No"
"Jewish","No"
"Jewish","No"
"Jewish","No"
"Jewish","No"
"Jewish","No"
"Jewish","No"
"Jewish","No"
"Jewish","No"
"Jewish","No"
"Jewish","No"
"Jewish","No"
"Jewish","No"
"Jewish","No"
"Jewish","No"
"Jewish","No"
"Jewish","No"
"Jewish","No"
"Jewish","No"
"Jewish","No"
"Jewish","No"
