t,autorizo,sex,edad,prov,p.sex,p.edad,raza,Aitem1,Aitem2,Aitem3,Aitem4,Aitem5,Aitem6,Aitem7,Aitem8,Aitem9,Aitem10,Aitem11,Aitem12,Aitem13,Aitem14,Aitem15,Aitem16,Aitem17,Aitem18,Aitem19,Aitem20,Aitem21,Aitem22,Aitem23,Aitem24,Aitem25,Aitem26,Bitem1,Bitem2,Bitem3,Bitem4,Bitem5,Bitem6,Bitem7,Bitem8,Bitem9,Bitem10,Bitem11,Bitem12,Bitem13,Bitem14,Bitem15,Bitem16,Bitem17,Bitem18,Bitem19,Bitem20,Bitem21,Bitem22,Bitem23,Bitem24,Bitem25,Bitem26,COVIef,Notas
26/07/2021 14:02,Autorizo,Mujer,23,Gipuzkoa,Macho,13,Border Collie,"4
",3,5,5,3,5,3,5,5,3,4,5,4,5,4,5,5,2,2,2,5,2,2,3,2,1,5,3,5,5,3,5,2,5,5,3,4,5,4,5,4,5,5,2,2,2,5,2,2,3,2,1,4,Estaba más estresado 
26/07/2021 14:03,Autorizo,Mujer,22,Gipuzkoa,Macho,2,American Pit Bull Terrier,5,4,3,4,1,5,4,3,4,2,4,4,3,5,2,3,5,2,5,5,5,2,5,3,2,1,5,4,3,4,4,5,3,5,4,2,4,4,3,5,4,4,5,3,5,2,5,2,5,3,2,1,2,
26/07/2021 14:06,Autorizo,Mujer,55,Bizkaia,Macho,13,York Shire,4,1,4,5,1,5,4,5,5,5,5,5,4,5,5,4,5,1,2,2,2,1,2,2,1,1,4,1,4,5,1,5,4,5,5,5,5,5,4,5,5,4,5,1,2,2,2,1,5,5,1,1,5,
26/07/2021 14:10,Autorizo,Hombre,43,Bizkaia,Hembra,5,Mestiza,5,5,5,5,1,5,3,5,5,5,5,5,5,5,5,5,5,3,3,2,3,2,5,2,2,1,5,5,5,5,3,5,4,5,5,5,5,5,5,5,5,5,5,2,3,2,2,2,5,2,2,2,5,
26/07/2021 14:41,Autorizo,Mujer,50,Gipuzkoa,Macho,7,Yorkshire terrier,5,5,5,5,1,5,3,5,5,4,5,5,5,5,5,3,5,2,5,5,4,1,5,3,2,1,4,4,3,3,1,5,3,5,5,4,5,5,5,4,4,3,5,1,5,5,3,1,5,4,2,1,5,"Estaba más pendiente de mí, me notaba triste y venía a consolarme. Además, cuando salía a hacer las compras, al volver el recibimiento, sus muestras de cariño eran mucho más efusivas, me mostraba más cariño y atención "
26/07/2021 14:43,Autorizo,Mujer,53,Bizkaia,Macho,8,Mestizo ratonero con yorshire,5,1,4,4,1,5,1,4,5,4,4,5,4,4,4,4,5,1,2,2,2,1,2,3,1,1,4,1,1,1,1,5,1,5,5,4,4,5,4,4,5,3,5,1,2,2,2,2,2,2,2,1,5,Estaba mas controlador e irritable porque estabamos más en casa todos los miembros de la familia mis hijos y se dedicaba a ladrarles si discutian y estaba más tensionado
26/07/2021 14:50,Autorizo,Mujer,55,Bizkaia,Hembra,10,Golden Retriever,5,4,5,5,1,5,4,5,5,5,5,5,5,4,4,5,5,1,2,2,2,2,2,2,1,1,5,1,5,5,1,5,4,5,5,4,4,5,5,5,5,5,5,1,2,2,2,2,2,2,1,1,2,"No observé muchos cambios, vivo en una casa con jardín y pudo estar en la calle todo el tiempo que quiso, lo único que le faltaron fueron sus largos paseos."
26/07/2021 15:17,Autorizo,Mujer,39,Bizkaia,Macho,5,Micts,4,4,5,5,4,5,3,5,4,3,3,3,4,4,3,5,3,2,2,2,4,3,5,5,2,2,5,1,4,4,1,5,1,5,4,3,5,4,3,3,4,4,5,2,3,3,4,3,5,5,3,2,3,
26/07/2021 15:21,Autorizo,Hombre,69,Bizkaia,Hembra,3,Gato común,4,4,1,1,1,2,1,4,5,3,4,5,4,5,4,4,5,3,4,2,4,4,2,4,2,2,1,4,1,1,3,2,1,4,4,4,4,4,4,4,4,2,4,3,3,3,3,2,2,4,2,2,5,
26/07/2021 15:56,,Mujer,32,Gipuzkoa,Hembra,4,Mestiza,5,1,5,5,4,5,1,5,4,3,5,5,3,2,4,5,5,1,5,5,4,2,5,5,2,1,5,5,5,5,4,5,1,5,4,3,5,5,3,3,4,5,5,1,5,5,4,2,5,5,2,2,5,Después del confinamiento ladraba mucho más a personas desconocidas durante el paseo habitual
